concept_code,concept_id,substance_name,new_atc_code,year_of_change
A11CC07,NA,paricalcitol,H05BX02,2010
B01AC14,NA,anagrelide,L01XX35,2006
B02AB03,NA,"c1-inhibitor, plasma derived",B06AC01,2012
C01EB12,NA,tedisamil,C01BD06,2009
C01EB19,NA,icatibant,B06AC02,2012
C04AX13,NA,piribedil,N04BC08,2006
C10AA51,NA,"simvastatin, combinations",C10BX01,2006
C10AA52,NA,"lovastatin, combinations",C10BA01,2006
C10AA53,NA,"pravastatin, combinations",C10BX02,2006
C10AA55,NA,"atorvastatin, combinations",C10BX03,2006
C10AX04,NA,benfluorex,A10BX06,2009
D03AX07,NA,glyceryl trinitrate,C05AE01,2008
D03AX08,NA,isosorbide dinitrate,C05AE02,2008
D11AX14,NA,tacrolimus,D11AH01,2010
D11AX15,NA,pimecrolimus,D11AH02,2010
D11AX17,NA,cromoglicic acid,D11AH03,2010
D11AX19,NA,alitretinoin,D11AH04,2012
G03DC05,NA,tibolone,G03CX01,2008
G04BE05,NA,phentolamine,V03AB36,2011
J01DA01,NA,cefalexin,J01DB01,2005
J01DA02,NA,cefaloridine,J01DB02,2005
J01DA03,NA,cefalotin,J01DB03,2005
J01DA04,NA,cefazolin,J01DB04,2005
J01DA05,NA,cefoxitin,J01DC01,2005
J01DA06,NA,cefuroxime,J01DC02,2005
J01DA07,NA,cefamandole,J01DC03,2005
J01DA08,NA,cefaclor,J01DC04,2005
J01DA09,NA,cefadroxil,J01DB05,2005
J01DA10,NA,cefotaxime,J01DD01,2005
J01DA11,NA,ceftazidime,J01DD02,2005
J01DA12,NA,cefsulodin,J01DD03,2005
J01DA13,NA,ceftriaxone,J01DD04,2005
J01DA14,NA,cefotetan,J01DC05,2005
J01DA15,NA,cefazedone,J01DB06,2005
J01DA16,NA,cefmenoxime,J01DD05,2005
J01DA17,NA,cefonicid,J01DC06,2005
J01DA18,NA,latamoxef,J01DD06,2005
J01DA19,NA,cefotiam,J01DC07,2005
J01DA21,NA,cefatrizine,J01DB07,2005
J01DA22,NA,ceftizoxime,J01DD07,2005
J01DA23,NA,cefixime,J01DD08,2005
J01DA24,NA,cefepime,J01DE01,2005
J01DA25,NA,cefodizime,J01DD09,2005
J01DA26,NA,cefetamet,J01DD10,2005
J01DA27,NA,cefpiramide,J01DD11,2005
J01DA30,NA,cefapirin,J01DB08,2005
J01DA31,NA,cefradine,J01DB09,2005
J01DA32,NA,cefoperazone,J01DD12,2005
J01DA33,NA,cefpodoxime,J01DD13,2005
J01DA34,NA,cefacetrile,J01DB10,2005
J01DA35,NA,cefroxadine,J01DB11,2005
J01DA36,NA,ceftezole,J01DB12,2005
J01DA37,NA,cefpirome,J01DE02,2005
J01DA38,NA,loracarbef,J01DC08,2005
J01DA39,NA,ceftibuten,J01DD14,2005
J01DA40,NA,cefmetazole,J01DC09,2005
J01DA41,NA,cefprozil,J01DC10,2005
J01DA42,NA,cefdinir,J01DD15,2005
J01DA63,NA,"ceftriaxone, combinations",J01DD54,2005
J05AB54,NA,"ribavirin, combinations",L03AB60,2007
J05AF30,NA,combinations,J05AR,2007
J05AX69,NA,sofosbuvir and velpatasvir,J05AP55,2018
L01XD02,NA,verteporfin,S01LA01,2007
L01XX28,NA,imatinib,L01XE01,2007
L01XX31,NA,gefitinib,L01XE02,2007
L01XX34,NA,erlotinib,L01XE03,2007
L04AA01,NA,ciclosporin,L04AD01,2008
L04AA05,NA,tacrolimus,L04AD02,2008
L04AA08,NA,daclizumab,L04AC01,2008
L04AA09,NA,basiliximab,L04AC02,2008
L04AA11,NA,etanercept,L04AB01,2008
L04AA12,NA,infliximab,L04AB02,2008
L04AA14,NA,anakinra,L04AC03,2008
L04AA16,NA,afelimomab,L04AB03,2008
L04AA17,NA,adalimumab,L04AB04,2008
N01AB03,NA,methoxyflurane,N02BG09,2009
N05AK01,NA,tetrabenazine,N07XX06,2008
N05AX09,NA,clotiapine,N05AH06,2010
N05CM17,NA,melatonin,N05CH01,2008
N07BA02,NA,bupropion,N06AX12,2009
P01BE52,NA,artemether and lumefantrine 26),P01BF01,2011
S01XA16,NA,anecortave,S01LA02,2007
S01XA17,NA,pegaptanib,S01LA03,2007
V09AX02,NA,fludeoxyglucose [18F],V09IX04,2005
