concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,temp_mapping_type
21603343,1105775,Maps to,20200601,20991231,NA,OMOP
21601475,1316354,Maps to,20200601,20991231,NA,OMOP
21602575,1549254,Maps to,20200601,20991231,NA,OMOP
21602656,1326901,Maps to,20200601,20991231,NA,OMOP
1501776,793741,Maps to,20200601,20991231,NA,OMOP
21600582,948515,Maps to,20200601,20991231,NA,OMOP
21601346,523212,Maps to,20200601,20991231,NA,OMOP
1123746,1510235,Maps to,20200601,20991231,NA,OMOP
21601660,19029488,Maps to,20200601,20991231,NA,OMOP
21601811,1363749,Maps to,20200601,20991231,NA,OMOP
21601383,529411,Maps to,20200601,20991231,NA,OMOP
21600347,40798779,Maps to,20200601,20991231,NA,OMOP
21602420,19000811,Maps to,20200601,20991231,NA,OMOP
21602587,1549254,Maps to,20200601,20991231,NA,OMOP
21604107,19092290,Maps to,20200601,20991231,NA,OMOP
21600440,42899987,Maps to,20200601,20991231,NA,OMOP
21603038,19000820,Maps to,20200601,20991231,NA,OMOP
21601786,1342001,Maps to,20200601,20991231,NA,OMOP
21600582,986417,Maps to,20200601,20991231,NA,OMOP
21600796,43009094,Maps to,20200601,20991231,NA,OMOP
21601256,35198193,Maps to,20200601,20991231,NA,OMOP
715895,37497383,Maps to,20200601,20991231,NA,OMOP
715931,35200800,Maps to,20200601,20991231,NA,OMOP
21600575,986417,Maps to,20200601,20991231,NA,OMOP
21601303,40173207,Maps to,20200601,20991231,NA,OMOP
21602479,1521592,Maps to,20200601,20991231,NA,OMOP
21600582,42899937,Maps to,20200601,20991231,NA,OMOP
21601551,1316354,Maps to,20200601,20991231,NA,OMOP
21605429,43526404,Maps to,20200601,20991231,NA,OMOP
21602024,40799080,Maps to,20200601,20991231,NA,OMOP
45893478,43560385,Maps to,20200601,20991231,NA,OMOP
21601209,43526717,Maps to,20200601,20991231,NA,OMOP
21601847,1308842,Maps to,20200601,20991231,NA,OMOP
21602258,42898711,Maps to,20200601,20991231,NA,OMOP
21602582,19054876,Maps to,20200601,20991231,NA,OMOP
21602420,42899454,Maps to,20200601,20991231,NA,OMOP
21602420,906902,Maps to,20200601,20991231,NA,OMOP
21602011,40799166,Maps to,20200601,20991231,NA,OMOP
40252856,19018511,Maps to,20200601,20991231,NA,OMOP
21603629,40798844,Maps to,20200601,20991231,NA,OMOP
21601479,948787,Maps to,20200601,20991231,NA,OMOP
21600624,36878773,Maps to,20200601,20991231,NA,OMOP
21601133,19001311,Maps to,20200601,20991231,NA,OMOP
43534753,1580747,Maps to,20200601,20991231,NA,OMOP
1502091,1559930,Maps to,20200601,20991231,NA,OMOP
21604154,1512480,Maps to,20200601,20991231,NA,OMOP
21602001,40172153,Maps to,20200601,20991231,NA,OMOP
1588648,46275719,Maps to,20200601,20991231,NA,OMOP
21602490,19092358,Maps to,20200601,20991231,NA,OMOP
715910,43009030,Maps to,20200601,20991231,NA,OMOP
1502094,43009051,Maps to,20200601,20991231,NA,OMOP
715826,1366610,Maps to,20200601,20991231,NA,OMOP
21602451,1549254,Maps to,20200601,20991231,NA,OMOP
21603038,1836391,Maps to,20200601,20991231,NA,OMOP
21601303,40173198,Maps to,20200601,20991231,NA,OMOP
21603039,1778162,Maps to,20200601,20991231,NA,OMOP
21602582,1549254,Maps to,20200601,20991231,NA,OMOP
21601048,19054702,Maps to,20200601,20991231,NA,OMOP
45893478,1736971,Maps to,20200601,20991231,NA,OMOP
21602265,19010400,Maps to,20200601,20991231,NA,OMOP
21604217,1366610,Maps to,20200601,20991231,NA,OMOP
21602561,1549254,Maps to,20200601,20991231,NA,OMOP
1123749,36444840,Maps to,20200601,20991231,NA,OMOP
40256434,1332418,Maps to,20200601,20991231,NA,OMOP
21602482,1588000,Maps to,20200601,20991231,NA,OMOP
21602420,40798918,Maps to,20200601,20991231,NA,OMOP
1502051,1373225,Maps to,20200601,20991231,NA,OMOP
715862,1336926,Maps to,20200601,20991231,NA,OMOP
21603038,19136493,Maps to,20200601,20991231,NA,OMOP
21601133,36878963,Maps to,20200601,20991231,NA,OMOP
21601305,19033193,Maps to,20200601,20991231,NA,OMOP
715839,37496518,Maps to,20200601,20991231,NA,OMOP
40252140,40238930,Maps to,20200601,20991231,NA,OMOP
21602493,1588000,Maps to,20200601,20991231,NA,OMOP
21601293,19033193,Maps to,20200601,20991231,NA,OMOP
21603654,975125,Maps to,20200601,20991231,NA,OMOP
21603275,1343916,Maps to,20200601,20991231,NA,OMOP
40252856,1760039,Maps to,20200601,20991231,NA,OMOP
21604830,1133201,Maps to,20200601,20991231,NA,OMOP
21604851,40798671,Maps to,20200601,20991231,NA,OMOP
1501782,44785086,Maps to,20200601,20991231,NA,OMOP
715811,1355650,Maps to,20200601,20991231,NA,OMOP
21602708,36878844,Maps to,20200601,20991231,NA,OMOP
715854,43560385,Maps to,20200601,20991231,NA,OMOP
21601661,19043154,Maps to,20200601,20991231,NA,OMOP
21602583,1549254,Maps to,20200601,20991231,NA,OMOP
715782,792764,Maps to,20200601,20991231,NA,OMOP
1123742,42903942,Maps to,20200601,20991231,NA,OMOP
21600329,19022446,Maps to,20200601,20991231,NA,OMOP
1502113,43009008,Maps to,20200601,20991231,NA,OMOP
45893481,1332418,Maps to,20200601,20991231,NA,OMOP
21600772,1580747,Maps to,20200601,20991231,NA,OMOP
21604227,751698,Maps to,20200601,20991231,NA,OMOP
715908,35198145,Maps to,20200601,20991231,NA,OMOP
21601293,529411,Maps to,20200601,20991231,NA,OMOP
21602606,1563600,Maps to,20200601,20991231,NA,OMOP
21600692,1143374,Maps to,20200601,20991231,NA,OMOP
1588636,44506794,Maps to,20200601,20991231,NA,OMOP
21601818,1332418,Maps to,20200601,20991231,NA,OMOP
715885,35200800,Maps to,20200601,20991231,NA,OMOP
21601893,19016670,Maps to,20200601,20991231,NA,OMOP
715804,35200783,Maps to,20200601,20991231,NA,OMOP
21602595,1549254,Maps to,20200601,20991231,NA,OMOP
715852,40240664,Maps to,20200601,20991231,NA,OMOP
21601292,529411,Maps to,20200601,20991231,NA,OMOP
21602980,35198144,Maps to,20200601,20991231,NA,OMOP
21603896,19003999,Maps to,20200601,20991231,NA,OMOP
21602587,19092358,Maps to,20200601,20991231,NA,OMOP
21602926,19123344,Maps to,20200601,20991231,NA,OMOP
1588655,1308842,Maps to,20200601,20991231,NA,OMOP
21602579,1549254,Maps to,20200601,20991231,NA,OMOP
21602420,35200261,Maps to,20200601,20991231,NA,OMOP
21604103,704943,Maps to,20200601,20991231,NA,OMOP
1588685,42903978,Maps to,20200601,20991231,NA,OMOP
21600766,19033909,Maps to,20200601,20991231,NA,OMOP
21601714,1338005,Maps to,20200601,20991231,NA,OMOP
21602589,1549254,Maps to,20200601,20991231,NA,OMOP
21600900,19124906,Maps to,20200601,20991231,NA,OMOP
21600575,42899937,Maps to,20200601,20991231,NA,OMOP
21601818,1373225,Maps to,20200601,20991231,NA,OMOP
1588648,1308842,Maps to,20200601,20991231,NA,OMOP
21602420,19056614,Maps to,20200601,20991231,NA,OMOP
1123780,1370109,Maps to,20200601,20991231,NA,OMOP
21602595,1588000,Maps to,20200601,20991231,NA,OMOP
