concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,mappingStatus
21604228,Amides,Drug,ATC,ATC 4th,C,N01BB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604186,Halogenated hydrocarbons,Drug,ATC,ATC 4th,C,N01AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604092,Carbamic acid esters,Drug,ATC,ATC 4th,C,M03BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
40254475,"doxylamine, combinations",Drug,ATC,ATC 5th,C,R06AA59,1970-01-01,2099-12-31,NA,MAPPED
21605302,vitamin A concentrates,Drug,ATC,ATC 5th,C,V04CB01,1970-01-01,2099-12-31,NA,MAPPED
21605290,medical air,Drug,ATC,ATC 5th,C,V03AN05,1970-01-01,2099-12-31,NA,MAPPED
21605288,helium,Drug,ATC,ATC 5th,C,V03AN03,1970-01-01,2099-12-31,NA,MAPPED
40256693,fluoroethylcholine (18F),Drug,ATC,ATC 5th,C,V09IX08,1970-01-01,2099-12-31,NA,NOT_MAPPED
40256481,mipomersen,Drug,ATC,ATC 5th,C,C10AX11,1970-01-01,2099-12-31,NA,MAPPED
40255264,aspoxicillin,Drug,ATC,ATC 5th,C,J01CA19,1970-01-01,2099-12-31,NA,MAPPED
40254881,tesamorelin,Drug,ATC,ATC 5th,C,H01AC06,1970-01-01,2099-12-31,NA,MAPPED
40254301,dienogest,Drug,ATC,ATC 5th,C,G03DB08,1970-01-01,2099-12-31,NA,MAPPED
21604857,metronidazole,Drug,ATC,ATC 5th,C,P01AB01,1970-01-01,2099-12-31,NA,MAPPED
21604846,tetrabenazine,Drug,ATC,ATC 5th,C,N07XX06,1970-01-01,2099-12-31,NA,MAPPED
21605425,gadoversetamide,Drug,ATC,ATC 5th,C,V08CA06,1970-01-01,2099-12-31,NA,MAPPED
21605422,gadodiamide,Drug,ATC,ATC 5th,C,V08CA03,1970-01-01,2099-12-31,NA,MAPPED
21605387,iohexol,Drug,ATC,ATC 5th,C,V08AB02,1970-01-01,2099-12-31,NA,MAPPED
21604415,clonazepam,Drug,ATC,ATC 5th,C,N03AE01,1970-01-01,2099-12-31,NA,MAPPED
21604385,clonidine,Drug,ATC,ATC 5th,C,N02CX02,1970-01-01,2099-12-31,NA,MAPPED
21604381,eletriptan,Drug,ATC,ATC 5th,C,N02CC06,1970-01-01,2099-12-31,NA,MAPPED
21604380,almotriptan,Drug,ATC,ATC 5th,C,N02CC05,1970-01-01,2099-12-31,NA,MAPPED
21604378,zolmitriptan,Drug,ATC,ATC 5th,C,N02CC03,1970-01-01,2099-12-31,NA,MAPPED
21604376,sumatriptan,Drug,ATC,ATC 5th,C,N02CC01,1970-01-01,2099-12-31,NA,MAPPED
21604334,nifenazone,Drug,ATC,ATC 5th,C,N02BB05,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604301,tapentadol,Drug,ATC,ATC 5th,C,N02AX06,1970-01-01,2099-12-31,NA,MAPPED
21604300,meptazinol,Drug,ATC,ATC 5th,C,N02AX05,1970-01-01,2099-12-31,NA,MAPPED
21604204,phenoperidine,Drug,ATC,ATC 5th,C,N01AH04,1970-01-01,2099-12-31,NA,MAPPED
21604201,fentanyl,Drug,ATC,ATC 5th,C,N01AH01,1970-01-01,2099-12-31,NA,MAPPED
21604192,desflurane,Drug,ATC,ATC 5th,C,N01AB07,1970-01-01,2099-12-31,NA,MAPPED
21604163,dibotermin alfa,Drug,ATC,ATC 5th,C,M05BC01,1970-01-01,2099-12-31,NA,MAPPED
21604152,alendronic acid,Drug,ATC,ATC 5th,C,M05BA04,1970-01-01,2099-12-31,NA,MAPPED
21604151,pamidronic acid,Drug,ATC,ATC 5th,C,M05BA03,1970-01-01,2099-12-31,NA,MAPPED
21604141,colchicine,Drug,ATC,ATC 5th,C,M04AC01,1970-01-01,2099-12-31,NA,MAPPED
21604232,prilocaine,Drug,ATC,ATC 5th,C,N01BB04,1970-01-01,2099-12-31,NA,MAPPED
21604218,xenon,Drug,ATC,ATC 5th,C,N01AX15,1970-01-01,2099-12-31,NA,MAPPED
21604214,propofol,Drug,ATC,ATC 5th,C,N01AX10,1970-01-01,2099-12-31,NA,MAPPED
21604212,alfaxalone,Drug,ATC,ATC 5th,C,N01AX05,1970-01-01,2099-12-31,NA,MAPPED
21604188,chloroform,Drug,ATC,ATC 5th,C,N01AB02,1970-01-01,2099-12-31,NA,MAPPED
21604187,halothane,Drug,ATC,ATC 5th,C,N01AB01,1970-01-01,2099-12-31,NA,MAPPED
21604518,melperone,Drug,ATC,ATC 5th,C,N05AD03,1970-01-01,2099-12-31,NA,MAPPED
21604509,perazine,Drug,ATC,ATC 5th,C,N05AB10,1970-01-01,2099-12-31,NA,MAPPED
21604500,dixyrazine,Drug,ATC,ATC 5th,C,N05AB01,1970-01-01,2099-12-31,NA,MAPPED
21604494,promazine,Drug,ATC,ATC 5th,C,N05AA03,1970-01-01,2099-12-31,NA,MAPPED
21604479,apomorphine,Drug,ATC,ATC 5th,C,N04BC07,1970-01-01,2099-12-31,NA,MAPPED
21604150,clodronic acid,Drug,ATC,ATC 5th,C,M05BA02,1970-01-01,2099-12-31,NA,MAPPED
21604136,probenecid,Drug,ATC,ATC 5th,C,M04AB01,1970-01-01,2099-12-31,NA,MAPPED
21604133,febuxostat,Drug,ATC,ATC 5th,C,M04AA03,1970-01-01,2099-12-31,NA,MAPPED
21604123,eperisone,Drug,ATC,ATC 5th,C,M03BX09,1970-01-01,2099-12-31,NA,MAPPED
21604121,tetrazepam,Drug,ATC,ATC 5th,C,M03BX07,1970-01-01,2099-12-31,NA,MAPPED
21604119,thiocolchicoside,Drug,ATC,ATC 5th,C,M03BX05,1970-01-01,2099-12-31,NA,MAPPED
21604117,pridinol,Drug,ATC,ATC 5th,C,M03BX03,1970-01-01,2099-12-31,NA,MAPPED
21603817,ethinylestradiol,Drug,ATC,ATC 5th,C,L02AA03,1970-01-01,2099-12-31,NA,MAPPED
21603816,polyestradiol phosphate,Drug,ATC,ATC 5th,C,L02AA02,1970-01-01,2099-12-31,NA,MAPPED
21603809,vorinostat,Drug,ATC,ATC 5th,C,L01XX38,1970-01-01,2099-12-31,NA,MAPPED
21603791,masoprocol,Drug,ATC,ATC 5th,C,L01XX10,1970-01-01,2099-12-31,NA,MAPPED
21603784,amsacrine,Drug,ATC,ATC 5th,C,L01XX01,1970-01-01,2099-12-31,NA,MAPPED
21603782,pazopanib,Drug,ATC,ATC 5th,C,L01XE11,1970-01-01,2099-12-31,NA,MAPPED
21603760,cetuximab,Drug,ATC,ATC 5th,C,L01XC06,1970-01-01,2099-12-31,NA,MAPPED
21603751,satraplatin,Drug,ATC,ATC 5th,C,L01XA04,1970-01-01,2099-12-31,NA,MAPPED
21603730,dactinomycin,Drug,ATC,ATC 5th,C,L01DA01,1970-01-01,2099-12-31,NA,MAPPED
21603717,dapiprazole,Drug,ATC,ATC 5th,C,S01EX02,1970-01-01,2099-12-31,NA,MAPPED
21603704,befunolol,Drug,ATC,ATC 5th,C,S01ED06,1970-01-01,2099-12-31,NA,MAPPED
21603691,"aceclidine, combinations",Drug,ATC,ATC 5th,C,S01EB58,1970-01-01,2099-12-31,NA,MAPPED
21603687,aceclidine,Drug,ATC,ATC 5th,C,S01EB08,1970-01-01,2099-12-31,NA,MAPPED
21603681,carbachol,Drug,ATC,ATC 5th,C,S01EB02,1970-01-01,2099-12-31,NA,MAPPED
21603666,hydrocortisone,Drug,ATC,ATC 5th,C,S01CB03,1970-01-01,2099-12-31,NA,MAPPED
21603918,rilonacept,Drug,ATC,ATC 5th,C,L04AC04,1970-01-01,2099-12-31,NA,MAPPED
21603915,daclizumab,Drug,ATC,ATC 5th,C,L04AC01,1970-01-01,2099-12-31,NA,MAPPED
21603893,muromonab-CD3,Drug,ATC,ATC 5th,C,L04AA02,1970-01-01,2099-12-31,NA,MAPPED
21603886,glatiramer acetate,Drug,ATC,ATC 5th,C,L03AX13,1970-01-01,2099-12-31,NA,MAPPED
21603865,interferon beta-1b,Drug,ATC,ATC 5th,C,L03AB08,1970-01-01,2099-12-31,NA,MAPPED
21603860,interferon gamma,Drug,ATC,ATC 5th,C,L03AB03,1970-01-01,2099-12-31,NA,MAPPED
21603844,exemestane,Drug,ATC,ATC 5th,C,L02BG06,1970-01-01,2099-12-31,NA,MAPPED
21603820,megestrol,Drug,ATC,ATC 5th,C,L02AB01,1970-01-01,2099-12-31,NA,MAPPED
21603779,nilotinib,Drug,ATC,ATC 5th,C,L01XE08,1970-01-01,2099-12-31,NA,MAPPED
21603777,dasatinib,Drug,ATC,ATC 5th,C,L01XE06,1970-01-01,2099-12-31,NA,MAPPED
21603775,sunitinib,Drug,ATC,ATC 5th,C,L01XE04,1970-01-01,2099-12-31,NA,MAPPED
21603773,gefitinib,Drug,ATC,ATC 5th,C,L01XE02,1970-01-01,2099-12-31,NA,MAPPED
21603769,temoporfin,Drug,ATC,ATC 5th,C,L01XD05,1970-01-01,2099-12-31,NA,MAPPED
21603740,valrubicin,Drug,ATC,ATC 5th,C,L01DB09,1970-01-01,2099-12-31,NA,MAPPED
21603738,mitoxantrone,Drug,ATC,ATC 5th,C,L01DB07,1970-01-01,2099-12-31,NA,MAPPED
21603721,demecolcine,Drug,ATC,ATC 5th,C,L01CC01,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603718,etoposide,Drug,ATC,ATC 5th,C,L01CB01,1970-01-01,2099-12-31,NA,MAPPED
21603713,travoprost,Drug,ATC,ATC 5th,C,S01EE04,1970-01-01,2099-12-31,NA,MAPPED
21603705,"timolol, combinations",Drug,ATC,ATC 5th,C,S01ED51,1970-01-01,2099-12-31,NA,MAPPED
21603694,diclofenamide,Drug,ATC,ATC 5th,C,S01EC02,1970-01-01,2099-12-31,NA,MAPPED
21603693,acetazolamide,Drug,ATC,ATC 5th,C,S01EC01,1970-01-01,2099-12-31,NA,MAPPED
21603668,fluorometholone,Drug,ATC,ATC 5th,C,S01CB05,1970-01-01,2099-12-31,NA,MAPPED
21603664,dexamethasone,Drug,ATC,ATC 5th,C,S01CB01,1970-01-01,2099-12-31,NA,MAPPED
21602957,sulfaphenazole,Drug,ATC,ATC 5th,C,J01ED08,1970-01-01,2099-12-31,NA,MAPPED
21602950,sulfadimethoxine,Drug,ATC,ATC 5th,C,J01ED01,1970-01-01,2099-12-31,NA,MAPPED
21602937,sulfadimidine,Drug,ATC,ATC 5th,C,J01EB03,1970-01-01,2099-12-31,NA,MAPPED
21602933,iclaprim,Drug,ATC,ATC 5th,C,J01EA03,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602932,brodimoprim,Drug,ATC,ATC 5th,C,J01EA02,1970-01-01,2099-12-31,NA,MAPPED
21602926,panipenem and betamipron,Drug,ATC,ATC 5th,C,J01DH55,1970-01-01,2099-12-31,NA,MAPPED
21602919,aztreonam,Drug,ATC,ATC 5th,C,J01DF01,1970-01-01,2099-12-31,NA,MAPPED
21602907,cefpodoxime,Drug,ATC,ATC 5th,C,J01DD13,1970-01-01,2099-12-31,NA,MAPPED
21602903,cefodizime,Drug,ATC,ATC 5th,C,J01DD09,1970-01-01,2099-12-31,NA,MAPPED
21602895,cefotaxime,Drug,ATC,ATC 5th,C,J01DD01,1970-01-01,2099-12-31,NA,MAPPED
21602893,ceforanide,Drug,ATC,ATC 5th,C,J01DC11,1970-01-01,2099-12-31,NA,MAPPED
21602892,cefprozil,Drug,ATC,ATC 5th,C,J01DC10,1970-01-01,2099-12-31,NA,MAPPED
21602889,cefotiam,Drug,ATC,ATC 5th,C,J01DC07,1970-01-01,2099-12-31,NA,MAPPED
21603299,nedocromil,Drug,ATC,ATC 5th,C,R03BC03,1970-01-01,2099-12-31,NA,MAPPED
21603150,indinavir,Drug,ATC,ATC 5th,C,J05AE02,1970-01-01,2099-12-31,NA,MAPPED
21603135,ganciclovir,Drug,ATC,ATC 5th,C,J05AB06,1970-01-01,2099-12-31,NA,MAPPED
21602589,megestrol and estrogen,Drug,ATC,ATC 5th,C,G03FB04,1970-01-01,2099-12-31,NA,MAPPED
21602191,desoximetasone,Drug,ATC,ATC 5th,C,D07XC02,1970-01-01,2099-12-31,NA,MAPPED
21602074,Sulfonamides,Drug,ATC,ATC 4th,C,D06BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602019,Anesthetics for topical use,Drug,ATC,ATC 4th,C,D04AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602004,Antihistamines for topical use,Drug,ATC,ATC 4th,C,D04AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21601983,Protectives against UV-radiation for systemic use,Drug,ATC,ATC 4th,C,D02BB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21601977,Salicylic acid preparations,Drug,ATC,ATC 4th,C,D02AF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21601972,Soft paraffin and fat products,Drug,ATC,ATC 4th,C,D02AC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21601855,HMG CoA reductase inhibitors,Drug,ATC,ATC 4th,C,C10AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602564,Androgens and female sex hormones in combination with other drugs,Drug,ATC,ATC 4th,C,G03EK,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602538,Pregnen (4) derivatives,Drug,ATC,ATC 4th,C,G03DA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602507,3-oxoandrosten (4) derivatives,Drug,ATC,ATC 4th,C,G03BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602469,Other gynecologicals,Drug,ATC,ATC 4th,C,G02CX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602464,Antiinflammatory products for vaginal administration,Drug,ATC,ATC 4th,C,G02CC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602431,Ergot alkaloids,Drug,ATC,ATC 4th,C,G02AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602425,Quinoline derivatives and corticosteroids,Drug,ATC,ATC 4th,C,G01BC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602424,Antibiotics and corticosteroids,Drug,ATC,ATC 4th,C,G01BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602408,Triazole derivatives,Drug,ATC,ATC 4th,C,G01AG,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602336,Wart and anti-corn preparations,Drug,ATC,ATC 4th,C,D11AF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602326,Medicated shampoos,Drug,ATC,ATC 4th,C,D11AC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602960,"Combinations of sulfonamides and trimethoprim, incl. derivatives",Drug,ATC,ATC 4th,C,J01EE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602934,Short-acting sulfonamides,Drug,ATC,ATC 4th,C,J01EB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602882,Second-generation cephalosporins,Drug,ATC,ATC 4th,C,J01DC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602852,Beta-lactamase resistant penicillins,Drug,ATC,ATC 4th,C,J01CF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602814,Amphenicols,Drug,ATC,ATC 4th,C,J01BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602791,Other anti-parathyroid agents,Drug,ATC,ATC 4th,C,H05BX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602728,Glucocorticoids,Drug,ATC,ATC 4th,C,H02AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602714,Somatostatin and analogues,Drug,ATC,ATC 4th,C,H01CB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602645,Drugs used in erectile dysfunction,Drug,ATC,ATC 4th,C,G04BE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21602622,Progesterone receptor modulators,Drug,ATC,ATC 4th,C,G03XB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603479,Phenothiazine derivatives,Drug,ATC,ATC 4th,C,R06AD,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603353,Leukotriene receptor antagonists,Drug,ATC,ATC 4th,C,R03DC,1970-01-01,2099-12-31,NA,NOT_MAPPED
