code,freq_finngen,freq_tays,freq_total
C07AB07,1310852,29082,1339934
C10AA01,1191498,10827,1202325
M01AE01,1046168,65553,1111721
H03AA01,982283,17231,999514
G03CA03,983867,7635,991502
N02BE01,745653,177303,922956
A10BA02,741412,8135,749547
A02BC02,604510,55882,660392
C08CA01,635322,18706,654028
C10AA05,634283,10388,644671
C07AB02,580267,18721,598988
N05CF01,547613,27886,575499
A12AX,487037,33588,520625
R03AC02,499136,12563,511699
C09AA05,489318,10995,500313
J01DB01,441928,35488,477416
J01CA04,460867,11482,472349
C03CA01,403983,61586,465569
B01AA03,430802,11273,442075
A02BC05,422635,13832,436467
C09AA02,429607,4541,434148
J01AA02,399364,6485,405849
C09CA01,379285,7269,386554
N05BA04,351236,28624,379860
M01AB05,368404,7417,375821
N06AB04,361229,2929,364158
N05AH02,359096,1214,360310
H02AB06,308718,44323,353041
C09CA06,340492,5127,345619
R06AE07,321156,15778,336934
M03BX02,326604,3326,329930
N05AH04,317467,9153,326620
S01XA20,313342,9866,323208
N06AX11,302472,9006,311478
N02AA59,271018,27644,298662
C01DA14,289761,7145,296906
N02AX02,266208,24899,291107
M01AH05,275178,7496,282674
M01AE02,266852,4568,271420
R01AD09,262075,2151,264226
R03AK06,258273,3774,262047
N03AX16,250506,10442,260948
G04CA02,249524,10549,260073
A02BC03,256147,2376,258523
C03EA01,255471,1679,257150
J01CE02,246410,3295,249705
N06AB10,235817,4100,239917
J01FA10,238163,910,239073
C10AA07,235946,2859,238805
N05BA01,195559,33494,229053
R03AK07,215705,2454,218159
R03BA05,216025,1560,217585
A02BC01,202368,14389,216757
N02AA05,80499,135690,216189
N06AX16,209656,5228,214884
N05CF02,210334,3935,214269
C09DA01,211418,2064,213482
C09BA02,205265,1301,206566
A10AE04,201283,4978,206261
J02AC01,200352,5696,206048
N05AH03,197914,2055,199969
C08CA02,195354,1948,197302
A10AC01,194212,2829,197041
C08CA13,191021,3538,194559
R03BA02,189302,1890,191192
R01AD08,181945,1913,183858
N05BA12,179752,1464,181216
G03FA01,178644,647,179291
C01DA08,168807,10188,178995
C07AA05,168542,3930,172472
N05CD07,156062,14312,170374
J01CR02,159939,9150,169089
N03AG01,165209,1933,167142
J01CA08,161029,5965,166994
A07EC02,162436,2665,165101
M04AA01,155613,9412,165025
N02CC01,163299,975,164274
A10AB05,136123,17733,153856
N06AB03,152203,630,152833
C01DA02,143843,4301,148144
N05AX08,143938,4124,148062
G04CB01,144668,1813,146481
B01AB05,95328,50653,145981
L04AX03,139418,5654,145072
C09DA06,143675,1230,144905
R03DC03,143279,1587,144866
R03BA01,140406,1057,141463
A07EC01,138794,2502,141296
R03BB04,136895,3284,140179
M01AE03,132293,5044,137337
R06AX27,132879,2128,135007
M01AC06,133094,741,133835
C09CA03,129668,2798,132466
S01ED51,125143,3749,128892
N02AJ06,113215,13883,127098
A10BB12,125775,624,126399
B01AC04,120403,5894,126297
N06AB06,124524,1334,125858
D07AC01,119408,5899,125307
J01MA02,109811,14764,124575
A10BH01,121995,2516,124511
C07AG02,121881,882,122763
N05BA06,106973,15588,122561
A10AB04,120726,846,121572
G03FB05,120206,134,120340
A06AC01,114948,4882,119830
C07AB03,117203,504,117707
G03HB01,117351,135,117486
A10AE05,110815,2796,113611
C01AA05,103898,8440,112338
C03DA01,106786,4829,111615
R01BA52,108868,1805,110673
R01AD12,106202,3907,110109
M02AA07,109076,591,109667
N06AX21,105902,2687,108589
A03FA01,50785,54609,105394
N03AE01,103247,1685,104932
C10AA04,103865,707,104572
N03AX09,101649,1347,102996
C09CA07,100692,1140,101832
A06AD11,80060,21435,101495
J01FA06,100161,334,100495
R06AX22,99487,802,100289
M05BA04,98909,915,99824
N06CA01,98996,719,99715
P01AB01,88475,9995,98470
A02BA02,96720,1742,98462
B01AC30,96065,1967,98032
R03AC03,96620,590,97210
R05FA02,93634,3304,96938
C08DB01,95002,1115,96117
C09DA03,93910,913,94823
P01BA02,90721,3799,94520
N03AX12,90799,3654,94453
J01EA01,87103,6843,93946
G04CA01,91270,2232,93502
M01AX05,91517,1827,93344
D07AC13,90837,1642,92479
N02AE01,85497,5577,91074
C03AA03,85609,3877,89486
C08CA05,87899,1558,89457
G03FB06,88762,25,88787
J05AB01,82570,5583,88153
C10AX09,84965,1068,86033
N06AA09,78650,7053,85703
N03AF01,83951,585,84536
R06AE09,83223,1192,84415
C09AA03,83762,614,84376
S01EE01,81319,2276,83595
C09AA04,80487,1087,81574
H02AB04,68643,12006,80649
S01GX01,79869,780,80649
M03BC51,78221,675,78896
R05FB02,78555,8,78563
C07BB07,78050,460,78510
N04BC05,76842,1472,78314
N05AB03,77090,349,77439
R06AX13,76962,474,77436
N05AA02,76119,989,77108
C10AA03,76324,774,77098
D07AB02,75264,1722,76986
L04AX01,73653,2776,76429
S01CA01,71789,4442,76231
N06AB05,75771,232,76003
D01BA02,75380,438,75818
NA,40881,34518,75399
A10AB01,74392,846,75238
J01FA09,74106,364,74470
J01FF01,66673,5065,71738
C09DA07,70480,550,71030
G03FA12,70763,240,71003
N05AX12,69093,840,69933
H02AB07,66487,296,66783
G04CA52,64127,1629,65756
R01AD01,64283,424,64707
G03BA03,62379,1241,63620
J01EE02,61205,2340,63545
J01MA12,38314,24530,62844
N05AN01,61449,205,61654
M01AH01,60421,566,60987
C10AA02,59431,160,59591
C01BC04,58872,643,59515
N06DX01,56329,2236,58565
C07FB02,57805,334,58139
N02CC03,57895,126,58021
A12BA01,36387,20107,56494
N07CA01,55226,884,56110
B01AC07,55369,199,55568
M03BC01,52151,2888,55039
C07AB05,54366,138,54504
L01BA01,51958,1846,53804
A04AA01,11112,42635,53747
R03AC12,52690,145,52835
A10BB01,52486,15,52501
C02AC05,50786,1143,51929
N05AF03,51071,415,51486
H02AB02,17811,33448,51259
D07AD01,48266,2917,51183
N03AF02,49500,1405,50905
M01AG02,50470,118,50588
D01AC20,48435,2054,50489
B01AB10,11914,37930,49844
J01DC02,7780,41648,49428
A10BD07,48530,658,49188
N06DA02,46833,1780,48613
D07XC01,47030,1097,48127
NA,40881,6789,47670
J05AB11,45635,1768,47403
C07AB08,46920,199,47119
R03AC13,46645,335,46980
J01AA07,46114,833,46947
B03BA03,43244,3244,46488
G03FB08,46076,327,46403
