code,freq,freq_per
NA,34518,1.255%
NA,6789,0.247%
D02AM,2427,0.088%
D02AL,2399,0.087%
V06DB30,1338,0.049%
V06DB65,1291,0.047%
D02AN,1193,0.043%
V06DB63,457,0.017%
W,357,0.013%
V06DB57,168,0.006%
V06DB03,149,0.005%
V06DB58,108,0.004%
V06DB60,98,0.004%
V06DB12,89,0.003%
V06DB04,80,0.003%
V06DC03,62,0.002%
V06DB05,60,0.002%
V06DB53,56,0.002%
V06DB64,50,0.002%
V06DB56,45,0.002%
V06DB02,44,0.002%
V06DB70,36,0.001%
A02BDXX,35,0.001%
L01XE46,32,0.001%
V06DB15,32,0.001%
V06DB50,30,0.001%
L04AX07,23,0.001%
V06DB59,23,0.001%
V06DB51,20,0.001%
V06DB13,18,0.001%
G04BXXX,17,0.001%
A11CC07,16,0.001%
D02AR,15,0.001%
V06DB09,15,0.001%
V06DB24,15,0.001%
N02CD01,14,0.001%
V06DB55,14,0.001%
B02AB03,13,0.000%
V06DF02,13,0.000%
V06DB08,12,0.000%
B02BDXX,10,0.000%
V06DB31,10,0.000%
D02AP,9,0.000%
V06DB20,8,0.000%
V06DB62,8,0.000%
V06DX06,8,0.000%
V30,8,0.000%
D11AX14,7,0.000%
V06DB22,7,0.000%
V06DX09,7,0.000%
J05AG06,6,0.000%
V06DB52,6,0.000%
C01EB19,5,0.000%
N02CD03,5,0.000%
V06BA01,5,0.000%
V06DB21,5,0.000%
V06DB23,5,0.000%
V06DB61,5,0.000%
V06DF03,5,0.000%
D11AX15,4,0.000%
L01XE50,4,0.000%
V04CX06,4,0.000%
V07AF,4,0.000%
A16AX15,3,0.000%
B06AB04,3,0.000%
G03XX01,3,0.000%
V06DB01,3,0.000%
V06DB40,3,0.000%
V07AK,3,0.000%
B06AC05,2,0.000%
J05AR24,2,0.000%
J05AX18,2,0.000%
V06BA02,2,0.000%
V06DB07,2,0.000%
V06DB11,2,0.000%
V06DF01,2,0.000%
A07XA05,1,0.000%
L01XC32,1,0.000%
L01XX59,1,0.000%
V06CB01,1,0.000%
V06DB66,1,0.000%
