concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,tmp_name_en_source
1,Finnish Hospital Leage,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
2,FHL,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
3,Anthroscopy,Procedure,FHL,FHL,NA,1210,1970-01-01,2099-12-31,NA,Antroskopia,Google
4,Arthroscopy,Procedure,FHL,FHL,NA,1220,1970-01-01,2099-12-31,NA,Artroskopia,Google
5,Arthroscopy and meniscus surgery,Procedure,FHL,FHL,NA,1221,1970-01-01,2099-12-31,NA,Artroskopia ja meniskileikkaus,Google
6,Arthroscopy and synovial surgery,Procedure,FHL,FHL,NA,1222,1970-01-01,2099-12-31,NA,Artroskopia ja synovialeikkaus,Google
7,Arthroscopy and articular cartilage surgery,Procedure,FHL,FHL,NA,1223,1970-01-01,2099-12-31,NA,Artroskopia ja nivelrustoleikkaus,Google
8,Arthroscopy and loose removal,Procedure,FHL,FHL,NA,1224,1970-01-01,2099-12-31,NA,Artroskopia ja irtopalan poisto,Google
9,Arthroscopy and other therapeutic procedure,Procedure,FHL,FHL,NA,1225,1970-01-01,2099-12-31,NA,Artroskopia ja muu terapeuttinen toimenpide,Google
10,Bronchomediastinoscopy,Procedure,FHL,FHL,NA,1230,1970-01-01,2099-12-31,NA,Bronkomediastinoskopia,Google
11,Bronchoscopy,Procedure,FHL,FHL,NA,1240,1970-01-01,2099-12-31,NA,Bronkoskopia,Google
12,Bronchoscopy and removal of foreign object,Procedure,FHL,FHL,NA,1241,1970-01-01,2099-12-31,NA,Bronkoskopia ja vierasesineen poisto,Google
13,Bronchoscopy and transbronchial lung apia,Procedure,FHL,FHL,NA,1242,1970-01-01,2099-12-31,NA,Bronkoskopia ja transbronkiaalinen keuhkobiapsia,Google
14,Bronchoscopy and other therapeutic procedure,Procedure,FHL,FHL,NA,1243,1970-01-01,2099-12-31,NA,Bronkoskopia ja muu terapeuttinen toimenpide,Google
15,Duodenoscopy,Procedure,FHL,FHL,NA,1250,1970-01-01,2099-12-31,NA,Duodenoskopia,Google
