"","CODE1","n_codes","n_patients"
"1","8113",6652,5668
"2","1412",6110,6054
"3","8811",5865,4753
"4","6421",5356,5290
"5","1220",4290,3875
"6","5611",4267,3858
"7","8502",4064,3509
"8","6123",3394,3150
"9","4452",3320,3292
"10","4451",3132,3033
"11","8511",2911,2701
"12","1221",2727,2446
"13","8306",2435,2427
"14","8221",2355,2346
"15","9128",2328,2232
"16","1410",2321,2157
"17","1413",2229,2094
"18","9271",2044,1819
"19","9211",1996,1729
"20","9165",1953,1760
"21","4122",1909,1310
"22","1530",1770,1258
"23","6453",1746,1686
"24","5612",1684,1461
"25","8513",1637,1527
"26","2402",1520,1252
"27","8801",1284,1247
"28","8305",1260,1258
"29","9733",1235,1157
"30","1225",1219,1118
"31","3626",1203,900
"32","8321",1154,1114
"33","9242",1153,1032
"34","8308",1150,1147
"35","8201",1080,1031
"36","9702",1074,1022
"37","9736",1062,1020
"38","4453",1043,1040
"39","6662",1040,1032
"40","6663",1036,1031
"41","8501",970,900
"42","1223",964,896
"43","4224",885,751
"44","1300",830,710
"45","8204",781,746
"46","1222",761,710
"47","9123",747,699
"48","9273",728,652
"49","9243",701,613
"50","6124",694,662
"51","1240",692,610
"52","4211",689,682
"53","4121",672,640
"54","7434",657,649
"55","9294",657,552
"56","9233",645,630
"57","9255",635,605
"58","1350",631,591
"59","9476",623,564
"60","4221",610,542
"61","4222",600,493
"62","4226",588,490
"63","9473",587,553
"64","5315",578,577
"65","1470",570,543
"66","9254",570,546
"67","8307",558,556
"68","6451",557,524
"69","9253",547,466
"70","7542",543,534
"71","5253",541,534
"72","9734",541,486
"73","1420",517,386
"74","9703",517,498
"75","9102",506,475
"76","7451",488,466
"77","2504",483,477
"78","9212",480,439
"79","2505",464,451
"80","9245",462,420
"81","5314",453,452
"82","9478",451,437
"83","9505",433,424
"84","1370",423,355
"85","4305",422,378
"86","4212",408,398
"87","3503",401,342
"88","8114",390,370
"89","9492",380,301
"90","7503",374,357
"91","9232",371,364
"92","4239",368,290
"93","0",366,139
"94","9481",365,338
"95","8432",364,352
"96","8832",364,349
"97","1450",357,322
"98","8302",350,344
"99","9502",341,305
"100","9491",337,311
"101","8231",336,319
"102","8351",335,324
"103","9244",334,314
"104","6122",333,314
"105","9531",332,267
"106","6241",330,326
"107","9126",327,318
"108","9707",327,318
"109","5613",321,293
"110","7325",321,178
