code,freq_finngen,freq_total
8113,6652,6652
1412,6110,6110
8811,5865,5865
6421,5356,5356
1220,4290,4290
5611,4267,4267
8502,4064,4064
6123,3394,3394
4452,3320,3320
4451,3132,3132
8511,2911,2911
1221,2727,2727
8306,2435,2435
8221,2355,2355
9128,2328,2328
1410,2321,2321
1413,2229,2229
9271,2044,2044
9211,1996,1996
9165,1953,1953
4122,1909,1909
1530,1770,1770
6453,1746,1746
5612,1684,1684
8513,1637,1637
2402,1520,1520
8801,1284,1284
8305,1260,1260
9733,1235,1235
1225,1219,1219
3626,1203,1203
8321,1154,1154
9242,1153,1153
8308,1150,1150
8201,1080,1080
9702,1074,1074
9736,1062,1062
4453,1043,1043
6662,1040,1040
6663,1036,1036
8501,970,970
1223,964,964
4224,885,885
1300,830,830
8204,781,781
1222,761,761
9123,747,747
9273,728,728
9243,701,701
6124,694,694
1240,692,692
4211,689,689
4121,672,672
7434,657,657
9294,657,657
9233,645,645
9255,635,635
1350,631,631
9476,623,623
4221,610,610
4222,600,600
4226,588,588
9473,587,587
5315,578,578
1470,570,570
9254,570,570
8307,558,558
6451,557,557
9253,547,547
7542,543,543
5253,541,541
9734,541,541
1420,517,517
9703,517,517
9102,506,506
7451,488,488
2504,483,483
9212,480,480
2505,464,464
9245,462,462
5314,453,453
9478,451,451
9505,433,433
1370,423,423
4305,422,422
4212,408,408
3503,401,401
8114,390,390
9492,380,380
7503,374,374
9232,371,371
4239,368,368
0,366,366
9481,365,365
8432,364,364
8832,364,364
1450,357,357
8302,350,350
9502,341,341
9491,337,337
8231,336,336
8351,335,335
9244,334,334
6122,333,333
9531,332,332
6241,330,330
9126,327,327
9707,327,327
5613,321,321
7325,321,321
9731,317,317
9477,307,307
8436,298,298
4471,290,290
9749,286,286
6101,283,283
6455,280,280
8831,280,280
9503,277,277
8433,269,269
4133,265,265
4141,264,264
9761,263,263
7524,262,262
1310,259,259
6459,259,259
8203,254,254
9314,252,252
1210,248,248
5619,245,245
9272,245,245
6125,242,242
8512,241,241
9124,238,238
7321,237,237
1411,236,236
1320,235,235
1490,227,227
8202,226,226
8326,224,224
8474,223,223
9522,222,222
9111,221,221
9241,219,219
8341,217,217
8841,217,217
6561,211,211
9351,208,208
9130,207,207
1224,205,205
4225,203,203
8219,201,201
6129,199,199
8514,199,199
9279,192,192
3507,191,191
8833,189,189
8473,188,188
5604,183,183
5702,181,181
9256,181,181
9524,181,181
9801,179,179
5313,171,171
9101,171,171
____,170,170
8339,170,170
9103,170,170
8115,167,167
9312,165,165
8119,164,164
9722,163,163
7505,162,162
9474,159,159
6452,158,158
8325,158,158
9729,158,158
4227,156,156
4104,154,154
9166,151,151
2506,150,150
8509,150,150
9201,149,149
4702,146,146
8803,146,146
8209,144,144
8111,143,143
9109,142,142
9284,142,142
3261,141,141
8234,140,140
9311,140,140
8232,139,139
9269,139,139
8216,137,137
4821,136,136
6664,135,135
3643,132,132
4701,128,128
8112,125,125
4403,124,124
2161,123,123
7323,122,122
8519,122,122
9112,122,122
4252,121,121
7501,120,120
8411,120,120
8117,116,116
4304,115,115
7461,115,115
8215,115,115
9234,115,115
9519,115,115
7504,114,114
9527,113,113
9719,113,113
2152,112,112
7179,111,111
9183,111,111
6402,108,108
8809,108,108
9706,108,108
6669,107,107
9561,106,106
9862,105,105
9881,105,105
6454,104,104
9289,102,102
1430,100,100
7362,100,100
9163,100,100
3708,99,99
3744,99,99
4405,99,99
2405,98,98
5312,98,98
9283,98,98
9725,98,98
2401,97,97
9321,97,97
7511,94,94
9252,94,94
4331,93,93
9359,93,93
4823,92,92
8101,92,92
9489,91,91
6419,90,90
9506,90,90
7151,89,89
7523,89,89
4704,88,88
3312,86,86
4455,85,85
6434,85,85
1390,84,84
4824,84,84
5851,84,84
2309,83,83
