"","CODE1","n_codes","n_patients"
"1","AN1",18264,13484
"2","AN4",3191,2615
"3","AN3",3063,2769
"4","81",2161,1979
"5","AN2",1879,1707
"6","AA1",1721,1687
"7","AP1",1703,1616
"8","AS4",1035,950
"9","AQ1",970,796
"10","82",702,645
"11","ANC",638,550
"12","AB2",500,486
"13","111",482,478
"14","AS2",436,408
"15","AR6",392,266
"16","AA2",356,352
"17","AQ2",348,292
"18","AP2",307,287
"19","AC4",293,287
"20","AB1",288,280
"21","AR1",267,225
"22","61",252,249
"23","AP3",216,210
"24","ANE",210,183
"25","AR5",205,180
"26","83",196,194
"27","AS7",196,181
"28","AP4",194,121
"29","ATX",164,138
"30","73",157,155
"31","AJ1",151,145
"32","72",145,131
"33","ANB",142,134
"34","71",140,130
"35","AT4",132,102
"36","AR2",131,100
"37","AJ2",124,116
"38","AS8",120,112
"39","112",102,101
"40","ASB",98,89
"41","ASC",98,70
"42","62",89,86
"43","AT2",87,75
"44","AD1",80,80
"45","AC2",76,74
"46","AH3",76,75
"47","ARB",76,68
"48","AS1",76,59
"49","211",70,70
"50","AS6",67,66
"51","ANA",62,59
"52","ANX",61,59
"53","ASX",61,51
"54","74",53,52
"55","AR3",53,46
"56","AMX",49,48
"57","AR7",49,38
"58","AS5",46,41
"59","AR8",45,33
"60","AC1",44,42
"61","AA3",41,41
"62","AJ3",41,35
"63","AF1",40,40
"64","AS3",40,37
"65","23",38,36
"66","AH2",38,38
"67","ABX",37,37
"68","AP6",35,31
"69","APX",35,30
"70","AT7",34,27
"71","AJX",33,31
"72","AM3",32,32
"73","AT1",32,28
"74","212",31,28
"75","31",31,26
"76","421",28,25
"77","ASA",28,27
"78","AJ4",26,21
"79","APK",26,25
"80","AB3",24,24
"81","AJ5",23,22
"82","AT3",23,16
"83","AAX",22,22
"84","9",21,20
"85","AK1",21,21
"86","63",19,16
"87","AM4",17,17
"88","ACX",16,14
"89","APM",16,16
"90","AM1",15,15
"91","AND",15,12
"92","AT8",15,14
"93","221",14,12
"94","59",14,12
"95","AE1",14,13
"96","AEX",14,14
"97","AT6",14,9
"98","ATA",14,14
"99","APJ",13,13
"100","AQ3",13,13
"101","422",12,12
"102","AK3",12,11
"103","AM2",12,10
"104","84",11,11
"105","424",10,10
"106","113",8,8
"107","413",8,8
"108","AP7",8,8
"109","ATB",8,8
"110","AD2",7,7
"111","AN",7,7
"112","ARX",7,7
"113","AG1",6,6
"114","APS",6,6
