code,name_fi,name_en,name_se,valid_start_date,valid_end_date,name_en_source
A00-B99,Tartunta- ja loistauteja,Certain infectious and parasitic diseases,Vissa infektionssjukdomar och parasitsjukdomar,1900-01-01,2020-12-31,THL
A00-A09,Suoliston tartuntataudit,Intestinal infectious diseases,Infektionssjukdomar utgående från mag-tarmkanalen,1900-01-01,2020-12-31,THL
A00,Kolera,Cholera,Kolera,1900-01-01,2020-12-31,THL
A00.0,Klassinen kolera,"Cholera due to Vibrio cholerae 01, biovar cholerae","Kolera orsakad av Vibrio cholerae 01, biovar cholerae",1900-01-01,2020-12-31,THL
A00.1,El Tor-kolera,"Cholera due to Vibrio cholerae 01, biovar eltor","Kolera orsakad av Vibrio cholerae 01, biovar el tor",1900-01-01,2020-12-31,THL
A00.9,Määrittämätön kolera,"Cholera, unspecified",Icke specificerad kolera,1900-01-01,2020-12-31,THL
A01,Lavantauti ja pikkulavantauti,Typhoid and paratyphoid fevers,Tyfoidfeber och paratyfoidfeber,1900-01-01,2020-12-31,THL
A01.0,Lavantauti,Typhoid fever,Tyfoidfeber,1900-01-01,2020-12-31,THL
A01.0+G01,Lavantautiin liittyvä aivokalvotulehdus,Meningitis (in) typhoid fever,Meningit vid tyfoidfeber,1900-01-01,2020-12-31,THL
A01.0+I39.8,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,Inflammation of the pericardium associated with typhoid fever,Endokardit vid tyfoidfeber,1900-01-01,2020-12-31,Google
A01.0+J17.0,Lavantautiin liittyvä keuhkokuume,Pneumonia (due to)(in) typhoid fever,Pneumoni vid tyfoidfeber,1900-01-01,2020-12-31,THL
A01.1,Pikkulavantauti A,Paratyphoid fever A,Paratyfoidfeber A,1900-01-01,2020-12-31,THL
A01.2,Pikkulavantauti B,Paratyphoid fever B,Paratyfoidfeber B,1900-01-01,2020-12-31,THL
A01.3,Pikkulavantauti C,Paratyphoid fever C,Paratyfoidfeber C,1900-01-01,2020-12-31,THL
A01.4,Määrittämätön pikkulavantauti,"Paratyphoid fever, unspecified","Paratyfoidfeber, ospecificerad",1900-01-01,2020-12-31,THL
A01.4+M01.3,Lavantautiin tai pikkulavantautiin liittyvä nivelinfektio,Arthritis in typhoid or paratyphoid fever,Artrit vid tyfoid- eller paratyfoidfeber,1900-01-01,2020-12-31,THL
A02,Muut salmonellainfektiot,Other salmonella infections,Andra salmonellainfektioner,1900-01-01,2020-12-31,THL
A02.0,Salmonellasuolitulehdus,Salmonella enteritis,Salmonellaenterit,1900-01-01,2020-12-31,THL
A02.1,Salmonellaseptikemia,Salmonella septicaemia,Salmonellaseptikemi,1900-01-01,2020-12-31,THL
A02.2,Paikallinen salmonellainfektio,Localized salmonella infection,Lokaliserad salmonellainfektion,1900-01-01,2020-12-31,THL
A02.2+G01,Salmonellan aiheuttama aivokalvotulehdus,Salmonella meningitis,Salmonellameningit,1900-01-01,2020-12-31,THL
A02.2+H22.0,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,Inflammation of the iris and radius caused by Salmonella,Salmonella iridocyklit,1900-01-01,2020-12-31,Google
