code,name_en_source,name_fi,name_en,better_name_en
A00,THL,Kolera,Cholera,
A00.0,THL,Klassinen kolera,"Cholera due to Vibrio cholerae 01, biovar cholerae",
A00.1,THL,El Tor-kolera,"Cholera due to Vibrio cholerae 01, biovar eltor",
A00.9,THL,Määrittämätön kolera,"Cholera, unspecified",
A01,THL,Lavantauti ja pikkulavantauti,Typhoid and paratyphoid fevers,
A01.0,THL,Lavantauti,Typhoid fever,
A01.0+G01,THL,Lavantautiin liittyvä aivokalvotulehdus,Meningitis (in) typhoid fever,
A01.0+I39.8,Google,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,Inflammation of the pericardium associated with typhoid fever,
A01.0+J17.0,THL,Lavantautiin liittyvä keuhkokuume,Pneumonia (due to)(in) typhoid fever,
A01.1,THL,Pikkulavantauti A,Paratyphoid fever A,
A01.2,THL,Pikkulavantauti B,Paratyphoid fever B,
A01.3,THL,Pikkulavantauti C,Paratyphoid fever C,
A01.4,THL,Määrittämätön pikkulavantauti,"Paratyphoid fever, unspecified",
A01.4+M01.3,THL,Lavantautiin tai pikkulavantautiin liittyvä nivelinfektio,Arthritis in typhoid or paratyphoid fever,
A02,THL,Muut salmonellainfektiot,Other salmonella infections,
A02.0,THL,Salmonellasuolitulehdus,Salmonella enteritis,
A02.1,THL,Salmonellaseptikemia,Salmonella septicaemia,
A02.2,THL,Paikallinen salmonellainfektio,Localized salmonella infection,
A02.2+G01,THL,Salmonellan aiheuttama aivokalvotulehdus,Salmonella meningitis,
A02.2+H22.0,Google,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,Inflammation of the iris and radius caused by Salmonella,
A02.2+J17.0,THL,Salmonellan aiheuttama keuhkokuume,Salmonella pneumonia,
A02.2+M01.3,THL,Salmonellan aiheuttama niveltulehdus,Salmonella arthritis,
A02.2+M90.2,THL,Salmonellan aiheuttama osteomyeliitti,Salmonella osteomyelitis,
A02.2+N16.0,THL,Salmonellan aiheuttama munuaisten tubulointerstitiaalinen sairaus,Salmonella renal tubulo-interstitial disease,
A02.8,THL,Muu salmonellainfektio,Other specified salmonella infections,
A02.9,THL,Määrittämätön salmonellainfektio,"Salmonella infection, unspecified",
A03,THL,Shigelloosi,Shigellosis,
A03.0,THL,Shigella dysenteriae -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella dysenteriae,
A03.1,THL,Shigella flexneri -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella flexneri,
A03.2,THL,Shigella boydii -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella boydii,
A03.3,THL,Shigella sonnei -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella sonnei,
A03.8,THL,Muu shigelloosi,Other shigellosis,
A03.9,THL,Määrittämätön shigelloosi,"Shigellosis, unspecified",
A04,THL,Muut bakteeriperäiset suolistoinfektiot,Other bacterial intestinal infections,
A04.0,THL,Enteropatogeenisen kolibakteerin aiheuttama infektio,Enteropathogenic Escherichia coli infection,
A04.1,THL,Enterotoksigeenisen kolibakteerin aiheuttama infektio,Enterotoxigenic Escherichia coli infection,
A04.2,THL,Enteroinvasiivisen kolibakteerin aiheuttama infektio,Enteroinvasive Escherichia coli infection,
A04.3,THL,Enterohemorragisen kolibakteerien aiheuttama infektio,Enterohaemorrhagic Escherichia coli infection,
A04.4,THL,Muu kolibakteerin aiheuttama suoli-infektio,Other intestinal Escherichia coli infections,
A04.5,THL,Kampylobakteerin aiheuttama suolitulehdus,Campylobacter enteritis,
A04.6,THL,Yersinia enterocolitican aiheuttama suolitulehdus,Enteritis due to Yersinia enterocolitica,
A04.6+M03.2,THL,Yersinia enterocolitica -suolitulehduksen aiheuttama nivelsairaus,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,
A04.7,THL,Clostridium difficilen aiheuttama ohut- ja paksusuolen tulehdus,Enterocolitis due to Clostridium difficile,
A04.8,THL,Muu bakteeriperäinen suolistoinfektio,Other specified bacterial intestinal infections,
A04.9,THL,Määrittämätön bakteeriperäinen suolistoinfektio,"Bacterial intestinal infection, unspecified",
A05,THL,"Muut, muualla luokittelemattomat bakteerien aiheuttamat ruokamyrkytykset","Other bacterial foodborn intoxications, not elsewhere classified",
A05.0,THL,Stafylokokin aiheuttama ruokamyrkytys,Foodborne staphylococcal intoxication,
A05.1,THL,Botulismi,Botulism,
A05.2,THL,Clostridium perfringens (Clostridium welchii) -bakteerin aiheuttama ruokamyrkytys,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,
