CodeId,English_name,ICD10who_name
A02.1,Salmonella septicaemia,Salmonella sepsis
A02.2,Localized salmonella infection,Localized salmonella infections
A05,"Other bacterial foodborn intoxications, not elsewhere classified","Other bacterial foodborne intoxications, not elsewhere classified"
A09,Diarrhoea and gastroenteritis of presumed infectious origin,Other gastroenteritis and colitis of infectious and unspecified origin
A22.7,Anthrax septicaemia,Anthrax sepsis
A24,Ghanders and melioidosis,Glanders and melioidosis
A26.7,Erysipelothrix septicaemia,Erysipelothrix sepsis
A30,Leprosy [Hansen's disease],Leprosy [Hansen disease]
A32.7,Listerial septicaemia,Listerial sepsis
A40,Streptococcal septicaemia,Streptococcal sepsis
A40.0,"Septicaemia due to streptococcus, group A","Sepsis due to streptococcus, group A"
A40.1,"Septicaemia due to streptococcus, group B","Sepsis due to streptococcus, group B"
A40.2,"Septicaemia due to streptococcus, group D","Sepsis due to streptococcus, group D"
A40.3,Septicaemia due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae
A40.8,Other streptococcal septicaemia,Other streptococcal sepsis
A40.9,"Streptococcal septicaemia, unspecified","Streptococcal sepsis, unspecified"
A41,Other septicaemia,Other sepsis
A41.0,Septicaemia due to Staphylococcus aureus,Sepsis due to Staphylococcus aureus
A41.1,Septicaemia due to other specified staphylococcus,Sepsis due to other specified staphylococcus
A41.2,Septicaemia due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus
A41.3,Septicaemia due to Haemophilus influenzae,Sepsis due to Haemophilus influenzae
A41.4,Septicaemia due to anaerobes,Sepsis due to anaerobes
A41.5,Septicaemia due to other Gram-negative organisms,Sepsis due to other Gram-negative organisms
A41.8,Other specified septicaemia,Other specified sepsis
A41.9,"Septicaemia, unspecified","Sepsis, unspecified"
A42.7,Actinomycotic septicaemia,Actinomycotic sepsis
A48.1,Legionnaires' disease,Legionnaires disease
A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever],Nonpneumonic Legionnaires disease [Pontiac fever]
A49.0,"Staphylococcal infection, unspecified","Staphylococcal infection, unspecified site"
A49.1,"Streptococcal infection, unspecified","Streptococcal and enterococcal infection, unspecified site"
A49.2,"Haemophilus influenzae infection, unspecified","Haemophilus influenzae infection, unspecified site"
A49.3,"Mycoplasma infection, unspecified","Mycoplasma infection, unspecified site"
A69.1,Other Vincent's infections,Other Vincent infections
A74.0,Paratrachoma,Chlamydial conjunctivitis
A75.1,Recrudescent typhus [Brill's disease],Recrudescent typhus [Brill disease]
A81.8,Other slow virus infections of central nervous system,Other atypical virus infections of central nervous system
A85.0,Enteroviral encephalomyelitis,Enteroviral encephalitis
A85.1,Adenoviral meningoencephalitis,Adenoviral encephalitis
A91,Dengue haemorrhagic fever,Dengue hemorrhagic fever
B00.4,Herpes causing meningitis or encephalitis,Herpesviral encephalitis
B05.0+,"Encephalitis, myelitis or encephalomyelitis (in) measles",Measles complicated by encephalitis
B05.0+G05.1,"Encephalitis, myelitis or encephalomyelitis (in) measles",Measles complicated by encephalitis
B05.1+,Meningitis (due to) measles,Measles complicated by meningitis
B05.1+G02.0,Meningitis (due to) measles,Measles complicated by meningitis
B05.2+,Pneumonia in measles,Measles complicated by pneumonia
