CodeId,LongName,English_name,freq_finngen,freq_tays,freq_total,ICD10who_match_level
A01.0+G01,Lavantautiin liittyvä aivokalvotulehdus,Meningitis (in) typhoid fever,0,0,0,match_first_code
A01.0+I39.8,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,NA,0,0,0,match_first_code
A01.0+J17.0,Lavantautiin liittyvä keuhkokuume,Pneumonia (due to)(in) typhoid fever,0,0,0,match_first_code
A01.4+M01.3,Lavantautiin tai pikkulavantautiin liittyvä nivelinfektio,Arthritis in typhoid or paratyphoid fever,0,0,0,match_first_code
A02.2+G01,Salmonellan aiheuttama aivokalvotulehdus,Salmonella meningitis,0,0,0,match_first_code
A02.2+H22.0,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,NA,0,0,0,match_first_code
A02.2+J17.0,Salmonellan aiheuttama keuhkokuume,Salmonella pneumonia,0,0,0,match_first_code
A02.2+M01.3,Salmonellan aiheuttama niveltulehdus,Salmonella arthritis,0,0,0,match_first_code
A02.2+M90.2,Salmonellan aiheuttama osteomyeliitti,Salmonella osteomyelitis,0,0,0,match_first_code
A02.2+N16.0,Salmonellan aiheuttama munuaisten tubulointerstitiaalinen sairaus,Salmonella renal tubulo-interstitial disease,0,0,0,match_first_code
A04.6+M03.2,Yersinia enterocolitica -suolitulehduksen aiheuttama nivelsairaus,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,0,0,0,match_first_code
A06.5+J99.8,Ameban aiheuttama keuhkopaise,Amoebic lung abscess,0,0,0,match_first_code
A06.6+G07,Ameban aiheuttama aivopaise,Amoebic brain abscess,0,0,0,match_first_code
A06.8+N51.2,Ameban aiheuttama terskatulehdus,Amoebic balanitis+,0,0,0,match_first_code
A17.0+G01,Tuberkuloottinen meningiitti,Tuberculous meningitis,0,0,0,match_first_code
A17.1+G07,Aivokalvojen tuberkulooma,Meningeal tuberculoma,0,0,0,match_first_code
A17.8+G05.0,Tuberkuloottinen aivokalvo-aivotulehdus,Tuberculous meningoencephalitis,0,0,0,match_first_code
A17.8+G07,Aivojen tuberkuloosi,Tuberculoma or tuberculosis of brain or spinal cord,0,0,0,match_first_code
A17.8+G63.0,Tuberkuloottinen monihermosairaus,Tuberculous polyneuropathy,0,0,0,match_first_code
A18.0+H75.0,Tuberkuloottinen kartiolisäkkeen tulehdus,Tuberculous mastoiditis,0,0,0,match_first_code
A18.0+M01.1,Tuberkuloottinen nivelinfektio,NA,0,0,0,match_first_code
A18.0+M68.0,Tuberkuloottinen nivelkalvotulehdus,Tuberculous synovitis,0,0,0,match_first_code
