sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:LongName,matchScore,mappingStatus,conceptId,comment
N16.3*E83.50,Nefrocalcinosis NEC,227,,Määrittämättömän hyperkalsemian aiheuttama munuaissairaus,0.6246095299720764,UNCHECKED,4280820,
E34.30,Short stature NOS,166,,Rakenteellinen lyhytkasvuisuus,0.8442989587783813,UNCHECKED,440076,
P29.31,Persistent fetal circulation,46,,Vastasyntyneen korkea keuhkovaltimopaine,0.6759459972381592,UNCHECKED,4121462,
D33.04&,Temporal lobe,165,,Isoaivojen lateraalinen gangliongliooma,1.0,UNCHECKED,4302313,
E23.03,Deficiency of the adrenal regulating hormone,1296,,Lisämunuaista säätelevän hormonin puutos,0.5952726602554321,APPROVED,4029439,
K04.60,Periapical abscess and stent in the upper jaw antrum,266,,Periapikaalinen absess ja avanne yläleuan antrumiin,0.5875916481018066,UNCHECKED,4025325,
Q23.10,Congenital insufficiency of aortic valve,225,,Synnynnäinen aorttaläpän vuoto,1.0,UNCHECKED,321107,
C34.22&,Cancer of the middle lobe of the right lung or its bronchus adenocarcinoma,3373,,Oikean keuhkon keskilohkon tai sen keuhkoputken syöpä adenokarsinooma,0.6680198311805725,APPROVED,44502329,
C34.22&,Cancer of the middle lobe of the right lung or its bronchus adenocarcinoma,3373,,Oikean keuhkon keskilohkon tai sen keuhkoputken syöpä adenokarsinooma,0.6680198311805725,APPROVED,36712981,
C34.22&,Cancer of the middle lobe of the right lung or its bronchus adenocarcinoma,3373,,Oikean keuhkon keskilohkon tai sen keuhkoputken syöpä adenokarsinooma,0.6680198311805725,APPROVED,44500290,
F33.00,Mild depressive episodes of recurrent depression are not somatic syndrome,9864,,Toistuvan masennuksen lievä masennusjakso ei somaattista oireyhtymää,0.6049878597259521,APPROVED,438998,
I20.08,Unstable angina,266,,Epästabiili angina sepelvaltimon muu tukos,1.0,UNCHECKED,315296,
Z52.89,Donor of another organ,163,,Muun elimen luovuttaja,0.7556120753288269,UNCHECKED,4078655,
C49.30&,Cancer of thoracic connective tissue or other soft tissue is not histologically confirmed,347,,Rintakehän sidekudoksen tai muun pehmytkudoksen syöpä ei histologista vahvistusta,0.44797682762145996,UNCHECKED,4095016,
O26.84,Renal disease pregnancy-related,46,,Raskauteen liittyvä munuaissairaus,0.7376741170883179,UNCHECKED,4210126,
I41.8*D86.8,Sarcoid myocarditis+,3371,,Sarkoidoottinen sydänlihastulehdus,0.8808006644248962,APPROVED,4111541,
K59.09,Unspecified constipation,9665,,Määrittämätön ummetus,0.691259503364563,APPROVED,75860,
K07.50,Abnormal jaw closure,45,,Poikkeava suun sulkemisliike,1.0,APPROVED,433805,
P07.01,Extremely low birth weight 500-749 g,162,,Hyvin pieni syntymäpaino 500-749 g,0.5635231733322144,UNCHECKED,4173323,
Q50.11,Multiple ovarian / ovarian developmental cysts,225,,Useat munasarjan/munasarjojen kehityskystat,0.5731103420257568,UNCHECKED,4007020,
D32.04&,Other or multiple benign tumors of the meninges above the marrow,1291,,Muu tai multippeli aivoteltan yläpuolinen aivokalvojen hyvänlaatuinen kasvain,0.5521425008773804,APPROVED,4003171,
Q20.40,Double inlet left ventricle,346,,Kahden sisäänvirtausaukon vasen kammio,1.0,UNCHECKED,4101008,
O99.80,Fear of childbirth,9611,,Synnytyspelko,1.0,APPROVED,4012105,
L85.81,Keratosis pilaris,161,,Keratosis pilaris,1.0,UNCHECKED,4197127,
G05.8*M32.1,Encephalitis in systemic lupus erythematosus,265,,Systeemiseen lupus erythematosukseen (SLE) liittyvä aivotulehdus,0.9598091244697571,UNCHECKED,4318863,
C69.32&,Ocular choroidal cancer melanoma,3369,,Silmän suonikalvon syöpä melanoma,0.5616673231124878,APPROVED,4116224,
I20.09,Unstable angina,9597,,Epästabiili angina määrittämätön sepelvaltimotilanne,1.0,APPROVED,315296,
H19.2*B30.0,Epidemic keratoconjunctivitis,224,,Epideeminen sarveiskalvotulehdus,1.0,UNCHECKED,378361,
D70.82#,Drug-induced neutropenia,9530,,Lääkeaineiden aiheuttama neutropenia,1.0,APPROVED,432289,
D10.34&,Hard-mouthed benign tumor,224,,Kovan suulaen hyvänlaatuinen kasvain,0.557940661907196,UNCHECKED,4303106,
I21.91,"Unspecified myocardial infarction, constricted coronary artery",346,,"Tarkemmin määrittämätön sydäninfarkti, ahtautunut sepelvaltimo",0.6460764408111572,UNCHECKED,4108215,
Q61.40,Secondary (multiple) vesicular dysplasia (multicystic),161,,Toisen munuaisen (moni)rakkulainen dysplasia (multikystinen),0.5224787592887878,UNCHECKED,42537890,
F43.00,Acute stress reaction mild disorder,3353,,Akuutti stressireaktio lieväasteinen häiriö,0.7072212100028992,APPROVED,440083,
F31.21,Psychotic manic episode of bipolar disorder psychotic symptoms against mood,1291,,Kaksisuuntaisen mielialahäiriön psykoottinen maaninen jakso mielialan vastaisia psykoottisia oireita,0.5654639601707458,APPROVED,4102603,
G71.03,"Muscular dystrophy autosomal recessive, childhood type, resembling Duchenne or Becker",45,,"Autosomissa peittyvästi periytyvä , Duchennen tai Beckerin dystrofiaa muistuttava lapsuuden lihasdystrofia",0.6582486629486084,UNCHECKED,4172671,
Q25.41,Persistent right aortic arch,224,,Pysyväksi jäänyt oikeanpuoleinen aortankaari,1.0,UNCHECKED,4009628,
