concept_id,concept_code,concept_name,tmp_name_fi,freq_tays,freq_finngen,freq_total
13,A01.0+G01,Meningitis (in) typhoid fever,Lavantautiin liittyvä aivokalvotulehdus,0,0,0
14,A01.0+I39.8,Inflammation of the pericardium associated with typhoid fever,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,0,0,0
15,A01.0+J17.0,Pneumonia (due to)(in) typhoid fever,Lavantautiin liittyvä keuhkokuume,0,0,0
20,A01.4+M01.3,Arthritis in typhoid or paratyphoid fever,Lavantautiin tai pikkulavantautiin liittyvä nivelinfektio,0,0,0
25,A02.2+G01,Salmonella meningitis,Salmonellan aiheuttama aivokalvotulehdus,0,0,0
26,A02.2+H22.0,Inflammation of the iris and radius caused by Salmonella,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,0,0,0
27,A02.2+J17.0,Salmonella pneumonia,Salmonellan aiheuttama keuhkokuume,0,0,0
28,A02.2+M01.3,Salmonella arthritis,Salmonellan aiheuttama niveltulehdus,0,0,0
29,A02.2+M90.2,Salmonella osteomyelitis,Salmonellan aiheuttama osteomyeliitti,0,0,0
30,A02.2+N16.0,Salmonella renal tubulo-interstitial disease,Salmonellan aiheuttama munuaisten tubulointerstitiaalinen sairaus,0,0,0
48,A04.6+M03.2,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,Yersinia enterocolitica -suolitulehduksen aiheuttama nivelsairaus,0,0,0
67,A06.5+J99.8,Amoebic lung abscess,Ameban aiheuttama keuhkopaise,0,0,0
69,A06.6+G07,Amoebic brain abscess,Ameban aiheuttama aivopaise,0,0,0
72,A06.8+N51.2,Amoebic balanitis+,Ameban aiheuttama terskatulehdus,0,0,0
112,A17.0+G01,Tuberculous meningitis,Tuberkuloottinen meningiitti,0,0,0
114,A17.1+G07,Meningeal tuberculoma,Aivokalvojen tuberkulooma,0,0,0
116,A17.8+G05.0,Tuberculous meningoencephalitis,Tuberkuloottinen aivokalvo-aivotulehdus,0,0,0
117,A17.8+G07,Tuberculoma or tuberculosis of brain or spinal cord,Aivojen tuberkuloosi,0,0,0
118,A17.8+G63.0,Tuberculous polyneuropathy,Tuberkuloottinen monihermosairaus,0,0,0
123,A18.0+H75.0,Tuberculous mastoiditis,Tuberkuloottinen kartiolisäkkeen tulehdus,0,0,0
124,A18.0+M01.1,Tuberculous joint infection,Tuberkuloottinen nivelinfektio,0,0,0
126,A18.0+M68.0,Tuberculous synovitis,Tuberkuloottinen nivelkalvotulehdus,0,0,0
127,A18.0+M90.0,Luutuberkuloosi,Luutuberkuloosi,0,0,0
129,A18.1+N29.1,Kidney or ureteral disease associated with tuberculosis,Tuberkuloosiin liittyvä munuais- tai virtsanjohdinsairaus,0,0,0
130,A18.1+N33.0,Tuberculous cystitis,Virtsarakon tuberkuloosi,0,0,0
131,A18.1+N51.0,Prostatitis tuberculous,Tuberkuloottinen eturauhastulehdus,0,0,0
132,A18.1+N51.1,Tuberculosis of epididymis,Kiveksen tuberkuloosi,0,0,0
133,A18.1+N51.8,Male genital tuberculosis,Miehen sukupuolielinten tuberkuloosi,0,0,0
136,A18.1+N77.0,Ulceration of vulva in tuberculosis,Tuberkuloosiin liittyvä ulkosynnyttimien haavauma,0,0,0
142,A18.4+H03.1,Lupus vulgaris: of eyelid+,Silmäluomen lupus vulgaris,0,0,0
144,A18.5+H19.0,Lupus episcleritis,Tuberkuloottinen episkleriitti,0,0,0
145,A18.5+H19.2,Keratitis and keratoconjunctivitis (interstitial) in tuberculosis,Tuberkuloosiin liittyvä sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,0,0,0
146,A18.5+H22.0,Lupus iridocyclitis,Tuberkuloottinen värikalvon ja sädekehän tulehdus,0,0,0
147,A18.5+H32.0,Lupus chorioretinitis,Tuberkuloottinen suoni- ja verkkokalvon tulehdus,0,0,0
149,A18.6+H67.0,Tuberculous otitis media,Tuberkuloottinen välikorvan tulehdus,0,0,0
153,A18.8+D77,Tuberculosis of spleen,Pernan tuberkuloosi,0,0,0
154,A18.8+E35.0,Tuberculosis of thyroid gland,Kilpirauhasen tuberkuloosi,0,0,0
155,A18.8+I32.0,Tuberculosis of pericardium,Sydänpussin tuberkuloosi,0,0,0
156,A18.8+I39.8,Tuberculosis of endocardium,Sydämen sisäkalvon tuberkuloosi,0,0,0
157,A18.8+I41.0,Tuberculosis of myocardium,Sydänlihaksen tuberkuloosi,0,0,0
158,A18.8+I68.1,Tuberculous cerebral arteritis,Tuberkuloottinen aivovaltimotulehdus,0,0,0
160,A18.8+K77.0,Liver tuberculosis,Maksan tuberkuloosi,0,0,0
161,A18.8+K87.1,Tuberculosis of pancreas,Haiman tuberkuloosi,0,0,0
180,A21.2+J17.0,Pneumonia (due to)(in) tularaemia,Tularemiaan liittyvä keuhkokuume,0,0,0
188,A22.1+J17.0,Pneumonia (due to)(in) anthrax,Pernaruttoon liittyvä keuhkokuume,0,0,0
192,A22.8+G01,Anthrax meningitis+,Pernaruton aiheuttama aivokalvotulehdus,0,0,0
201,A23.9+M49.1,Brucella spondylitis,Määrittämättömän bruselloosin aiheuttama nikamatulehdus,0,0,0
202,A23.9+N16.0,Renal tubulo-interstitial disorders (due to)(in) brucellosis,Bruselloosiin liittyvä tubulointerstitiaalinen munuaissairaus,0,0,0
222,A27.9+G01,Meningitis (in) leptospirosis,Leptospiroosiin liittyvä aivokalvotulehdus,0,0,0
241,A30.9+G63.0,Polyneuropathy (in) leprosy,Lepraan liittyvä monihermosairaus,0,0,0
242,A30.9+M01.3,Arthritis in leprosy [Hansen's disease],Lepraan liittyvä nivelinfektio,0,0,0
254,A32.1+G01,Listerial meningitis,Listerian aiheuttama aivokalvotulehdus,0,0,0
