CodeId,English_name_ICD10fi,ICD10who_name,English_name_match_level,accept
V14.2,Pedal cyclist injured in collision with motor vehicle,"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in nontraffic accident",77,1
C96.0,Letterer-Siwe disease,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease],76,1
V14.9,Pedal cyclist injured in collision with motor vehicle,"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident",74,1
O14,Gestational [pregnancy-induced] hypertension with significant proteinuria,Pre-eclampsia,65,1
V88,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified - non-traffic accident",Nontraffic accident of specified type but victim's mode of transport unknown,64,1
V87,"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",Traffic accident of specified type but victim's mode of transport unknown,61,1
R84.0,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal level of enzymes,"Abnormal findings in specimens from respiratory organs and thorax, abnormal level of enzymes",59,1
R84.1,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal level of hormones,"Abnormal findings in specimens from respiratory organs and thorax, abnormal level of hormones",59,1
R84.2,"Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal level of other drugs, medicaments and biological substances","Abnormal findings in specimens from respiratory organs and thorax, abnormal level of other drugs, medicaments and biological substances",59,1
R84.3,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal level of substances chiefly nonmedicinal as to source,"Abnormal findings in specimens from respiratory organs and thorax, abnormal level of substances chiefly nonmedicinal as to source",59,1
R84.4,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal immunological findings,"Abnormal findings in specimens from respiratory organs and thorax, abnormal immunological findings",59,1
R84.5,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal microbiological findings,"Abnormal findings in specimens from respiratory organs and thorax, abnormal microbiological findings",59,1
R84.6,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal cytological findings,"Abnormal findings in specimens from respiratory organs and thorax, abnormal cytological findings",59,1
R84.7,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Abnormal histological findings,"Abnormal findings in specimens from respiratory organs and thorax, abnormal histological findings",59,1
R84.8,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Other abnormal findings,"Abnormal findings in specimens from respiratory organs and thorax, other abnormal findings",59,1
R84.9,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings - Unspecified abnormal finding,"Abnormal findings in specimens from respiratory organs and thorax, unspecified abnormal finding",59,1
