CodeId,CODE1,CODE2,orginal
A00-B99,A00,B99,NA
A00-A09,A00,A09,NA
A00,A00,NA,NA
A00.0,A00.0,NA,NA
A00.1,A00.1,NA,NA
A00.9,A00.9,NA,NA
A01,A01,NA,NA
A01.0,A01.0,NA,NA
A01.0+G01,A01.0,G01,NA
A01.0+I39.8,A01.0,I39.8,NA
A01.0+J17.0,A01.0,J17.0,NA
A01.1,A01.1,NA,NA
A01.2,A01.2,NA,NA
A01.3,A01.3,NA,NA
A01.4,A01.4,NA,NA
A01.4+M01.3,A01.4,M01.3,NA
A02,A02,NA,NA
A02.0,A02.0,NA,NA
A02.1,A02.1,NA,NA
A02.2,A02.2,NA,NA
A02.2+G01,A02.2,G01,NA
A02.2+H22.0,A02.2,H22.0,NA
A02.2+J17.0,A02.2,J17.0,NA
A02.2+M01.3,A02.2,M01.3,NA
A02.2+M90.2,A02.2,M90.2,NA
A02.2+N16.0,A02.2,N16.0,NA
A02.8,A02.8,NA,NA
A02.9,A02.9,NA,NA
A03,A03,NA,NA
A03.0,A03.0,NA,NA
A03.1,A03.1,NA,NA
A03.2,A03.2,NA,NA
A03.3,A03.3,NA,NA
A03.8,A03.8,NA,NA
A03.9,A03.9,NA,NA
A04,A04,NA,NA
A04.0,A04.0,NA,NA
A04.1,A04.1,NA,NA
A04.2,A04.2,NA,NA
A04.3,A04.3,NA,NA
A04.4,A04.4,NA,NA
A04.5,A04.5,NA,NA
A04.6,A04.6,NA,NA
A04.6+M03.2,A04.6,M03.2,NA
A04.7,A04.7,NA,NA
A04.8,A04.8,NA,NA
A04.9,A04.9,NA,NA
A05,A05,NA,NA
A05.0,A05.0,NA,NA
A05.1,A05.1,NA,NA
A05.2,A05.2,NA,NA
A05.3,A05.3,NA,NA
A05.4,A05.4,NA,NA
A05.8,A05.8,NA,NA
A05.9,A05.9,NA,NA
A06,A06,NA,NA
A06.0,A06.0,NA,NA
A06.1,A06.1,NA,NA
A06.2,A06.2,NA,NA
A06.3,A06.3,NA,NA
A06.4,A06.4,NA,NA
A06.5,A06.5,NA,NA
A06.5+J99.8,A06.5,J99.8,NA
A06.6,A06.6,NA,NA
A06.6+G07,A06.6,G07,NA
A06.7,A06.7,NA,NA
A06.8,A06.8,NA,NA
A06.8+N51.2,A06.8,N51.2,NA
A06.9,A06.9,NA,NA
A07,A07,NA,NA
A07.0,A07.0,NA,NA
A07.1,A07.1,NA,NA
A07.2,A07.2,NA,NA
A07.3,A07.3,NA,NA
A07.8,A07.8,NA,NA
A07.9,A07.9,NA,NA
A08,A08,NA,NA
A08.0,A08.0,NA,NA
A08.1,A08.1,NA,NA
A08.2,A08.2,NA,NA
A08.3,A08.3,NA,NA
A08.4,A08.4,NA,NA
A08.5,A08.5,NA,NA
A09,A09,NA,NA
A15-A19,A15,A19,NA
A15,A15,NA,NA
A15.0,A15.0,NA,NA
A15.1,A15.1,NA,NA
A15.2,A15.2,NA,NA
A15.3,A15.3,NA,NA
A15.4,A15.4,NA,NA
A15.5,A15.5,NA,NA
A15.6,A15.6,NA,NA
A15.7,A15.7,NA,NA
A15.8,A15.8,NA,NA
A15.9,A15.9,NA,NA
A16,A16,NA,NA
A16.0,A16.0,NA,NA
A16.1,A16.1,NA,NA
A16.2,A16.2,NA,NA
A16.3,A16.3,NA,NA
A16.4,A16.4,NA,NA
A16.5,A16.5,NA,NA
A16.7,A16.7,NA,NA
A16.8,A16.8,NA,NA
A16.9,A16.9,NA,NA
A17,A17,NA,NA
A17.0,A17.0,NA,NA
A17.0+G01,A17.0,G01,NA
A17.1,A17.1,NA,NA
A17.1+G07,A17.1,G07,NA
A17.8,A17.8,NA,NA
A17.8+G05.0,A17.8,G05.0,NA
A17.8+G07,A17.8,G07,NA
A17.8+G63.0,A17.8,G63.0,NA
A17.9+,A17.9,NA,NA
A17.9+G99.8,A17.9,G99.8,NA
A18,A18,NA,NA
A18.0,A18.0,NA,NA
A18.0+H75.0,A18.0,H75.0,NA
A18.0+M01.1,A18.0,M01.1,NA
A18.0+M49.0,A18.0,M49.0,NA
A18.0+M68.0,A18.0,M68.0,NA
A18.0+M90.0,A18.0,M90.0,NA
A18.1,A18.1,NA,NA
A18.1+N29.1,A18.1,N29.1,NA
A18.1+N33.0,A18.1,N33.0,NA
A18.1+N51.0,A18.1,N51.0,NA
A18.1+N51.1,A18.1,N51.1,NA
A18.1+N51.8,A18.1,N51.8,NA
A18.1+N74.0,A18.1,N74.0,NA
A18.1+N74.1,A18.1,N74.1,NA
A18.1+N77.0,A18.1,N77.0,NA
A18.2,A18.2,NA,NA
A18.3,A18.3,NA,NA
A18.3+K67.3,A18.3,K67.3,NA
A18.3+K93.0,A18.3,K93.0,NA
A18.4,A18.4,NA,NA
A18.4+H03.1,A18.4,H03.1,NA
A18.5,A18.5,NA,NA
A18.5+H19.0,A18.5,H19.0,NA
A18.5+H19.2,A18.5,H19.2,NA
A18.5+H22.0,A18.5,H22.0,NA
A18.5+H32.0,A18.5,H32.0,NA
A18.6,A18.6,NA,NA
A18.6+H67.0,A18.6,H67.0,NA
A18.7+,A18.7,NA,NA
A18.7+E35.1,A18.7,E35.1,NA
A18.8,A18.8,NA,NA
A18.8+D77,A18.8,D77,NA
A18.8+E35.0,A18.8,E35.0,NA
A18.8+I32.0,A18.8,I32.0,NA
A18.8+I39.8,A18.8,I39.8,NA
A18.8+I41.0,A18.8,I41.0,NA
A18.8+I68.1,A18.8,I68.1,NA
A18.8+K23.0,A18.8,K23.0,NA
A18.8+K77.0,A18.8,K77.0,NA
A18.8+K87.1,A18.8,K87.1,NA
A19,A19,NA,NA
A19.0,A19.0,NA,NA
A19.1,A19.1,NA,NA
A19.2,A19.2,NA,NA
A19.8,A19.8,NA,NA
A19.9,A19.9,NA,NA
A20-A28,A20,A28,NA
A20,A20,NA,NA
A20.0,A20.0,NA,NA
A20.1,A20.1,NA,NA
A20.2,A20.2,NA,NA
A20.3,A20.3,NA,NA
A20.7,A20.7,NA,NA
A20.8,A20.8,NA,NA
A20.9,A20.9,NA,NA
A21,A21,NA,NA
A21.0,A21.0,NA,NA
A21.1,A21.1,NA,NA
A21.2,A21.2,NA,NA
A21.2+J17.0,A21.2,J17.0,NA
A21.3,A21.3,NA,NA
A21.7,A21.7,NA,NA
A21.8,A21.8,NA,NA
A21.9,A21.9,NA,NA
A22,A22,NA,NA
A22.0,A22.0,NA,NA
A22.1,A22.1,NA,NA
A22.1+J17.0,A22.1,J17.0,NA
A22.2,A22.2,NA,NA
A22.7,A22.7,NA,NA
A22.8,A22.8,NA,NA
A22.8+G01,A22.8,G01,NA
A22.9,A22.9,NA,NA
A23,A23,NA,NA
A23.0,A23.0,NA,NA
A23.1,A23.1,NA,NA
A23.2,A23.2,NA,NA
A23.3,A23.3,NA,NA
A23.8,A23.8,NA,NA
A23.9,A23.9,NA,NA
A23.9+M49.1,A23.9,M49.1,NA
A23.9+N16.0,A23.9,N16.0,NA
A24,A24,NA,NA
A24.0,A24.0,NA,NA
A24.1,A24.1,NA,NA
A24.2,A24.2,NA,NA
A24.3,A24.3,NA,NA
A24.4,A24.4,NA,NA
A25,A25,NA,NA
A25.0,A25.0,NA,NA
A25.1,A25.1,NA,NA
A25.9,A25.9,NA,NA
A26,A26,NA,NA
A26.0,A26.0,NA,NA
A26.7,A26.7,NA,NA
A26.8,A26.8,NA,NA
A26.9,A26.9,NA,NA
A27,A27,NA,NA
A27.0,A27.0,NA,NA
A27.8,A27.8,NA,NA
A27.9,A27.9,NA,NA
A27.9+G01,A27.9,G01,NA
A28,A28,NA,NA
A28.0,A28.0,NA,NA
A28.1,A28.1,NA,NA
A28.10,A28.10,NA,NA
A28.11,A28.11,NA,NA
A28.19,A28.19,NA,NA
A28.2,A28.2,NA,NA
A28.8,A28.8,NA,NA
A28.9,A28.9,NA,NA
A30-A49,A30,A49,NA
A30,A30,NA,NA
A30.0,A30.0,NA,NA
A30.1,A30.1,NA,NA
A30.2,A30.2,NA,NA
A30.3,A30.3,NA,NA
A30.4,A30.4,NA,NA
A30.5,A30.5,NA,NA
A30.8,A30.8,NA,NA
A30.9,A30.9,NA,NA
A30.9+G63.0,A30.9,G63.0,NA
A30.9+M01.3,A30.9,M01.3,NA
A31,A31,NA,NA
A31.0,A31.0,NA,NA
A31.1,A31.1,NA,NA
A31.80,A31.80,NA,NA
A31.81,A31.81,NA,NA
A31.84,A31.84,NA,NA
A31.89,A31.89,NA,NA
A31.9,A31.9,NA,NA
A32,A32,NA,NA
A32.0,A32.0,NA,NA
A32.1,A32.1,NA,NA
A32.1+G01,A32.1,G01,NA
A32.1+G05.0,A32.1,G05.0,NA
A32.7,A32.7,NA,NA
A32.8,A32.8,NA,NA
A32.8+I39.8,A32.8,I39.8,NA
A32.8+I68.1,A32.8,I68.1,NA
A32.9,A32.9,NA,NA
A33,A33,NA,NA
A34,A34,NA,NA
A35,A35,NA,NA
A36,A36,NA,NA
A36.0,A36.0,NA,NA
A36.1,A36.1,NA,NA
A36.2,A36.2,NA,NA
A36.3,A36.3,NA,NA
A36.8,A36.8,NA,NA
A36.8+G63.0,A36.8,G63.0,NA
A36.8+H13.1,A36.8,H13.1,NA
A36.8+I41.0,A36.8,I41.0,NA
A36.8+I43.0,A36.8,I43.0,NA
A36.8+N16.0,A36.8,N16.0,NA
A36.9,A36.9,NA,NA
