CodeId,CODE1,CODE2,freq_finngen,freq_finngen_per
NA,-,-,9048,0.0521077%
NA,-1,NA,993,0.0057187%
NA,-2,NA,984,0.0056669%
NA,A020,A020,10,0.0000576%
NA,A045,A045,8,0.0000461%
NA,A047,A047,16,0.0000921%
NA,A048,A048,65,0.0003743%
NA,A049,A049,18,0.0001037%
NA,A080,A080,6,0.0000346%
NA,A084,A084,293,0.0016874%
NA,A09,A09,584,0.0033633%
NA,A099,NA,9,0.0000518%
NA,A150,A150,29,0.0001670%
NA,A151,A151,14,0.0000806%
NA,A310,A310,36,0.0002073%
NA,A379,A379,9,0.0000518%
NA,A410,A410,16,0.0000921%
NA,A418,A418,9,0.0000518%
NA,A419,A419,37,0.0002131%
NA,A46,A46,599,0.0034497%
NA,A499,A499,56,0.0003225%
NA,A513,A513,18,0.0001037%
NA,A560,A560,50,0.0002880%
NA,A600,A600,38,0.0002188%
NA,A600N770,NA,13,0.0000749%
NA,A63,A63,12,0.0000691%
NA,A630,A630,696,0.0040083%
NA,A638,A638,9,0.0000518%
NA,A692,A692,131,0.0007544%
NA,A86,A86,29,0.0001670%
NA,A879,A879,28,0.0001613%
NA,A985,A985,60,0.0003455%
NA,B009,B009,10,0.0000576%
NA,B019,B019,18,0.0001037%
NA,B029,B029,39,0.0002246%
NA,B07,B07,45,0.0002592%
NA,B0780,B0780,10,0.0000576%
NA,B079,B079,343,0.0019753%
NA,B171,B171,12,0.0000691%
NA,B182,B182,172,0.0009906%
NA,B199,B199,16,0.0000921%
NA,B231,B231,506,0.0029141%
NA,B238,B238,220,0.0012670%
NA,B24,B24,198,0.0011403%
NA,B270,B270,39,0.0002246%
NA,B279,B279,26,0.0001497%
NA,B349,B349,85,0.0004895%
NA,B351,B351,184,0.0010597%
NA,B352,B352,11,0.0000633%
NA,B353,B353,80,0.0004607%
NA,B356,B356,9,0.0000518%
NA,B360,B360,12,0.0000691%
NA,B372,B372,26,0.0001497%
NA,B373,B373,31,0.0001785%
NA,B373N771,NA,42,0.0002419%
NA,B374,B374,19,0.0001094%
NA,B853,B853,9,0.0000518%
NA,B86,B86,42,0.0002419%
NA,B909,B909,18,0.0001037%
NA,B91,B91,11,0.0000633%
NA,B977,B977,9,0.0000518%
NA,B977,D140,27,0.0001555%
NA,B977,D141,90,0.0005183%
NA,C021,NA,93,0.0005356%
NA,C0211,C0211,84,0.0004838%
NA,C169,C169,18,0.0001037%
