code1,code2,freq,freq_per
Z038,NA,8015,0.046%
E660,NA,1557,0.009%
K0401,NA,1162,0.007%
-1,NA,993,0.006%
-2,NA,984,0.006%
E890,NA,901,0.005%
F0019,G301,827,0.005%
H062,E050,721,0.004%
M073L405,NA,640,0.004%
N0832,E102,605,0.003%
E230,NA,561,0.003%
F0010G301,NA,502,0.003%
H3603,E107,482,0.003%
F009,G309,430,0.002%
T36,N05BA,421,0.002%
N771B373,NA,419,0.002%
D638,N189,409,0.002%
D638,N188,377,0.002%
E038,NA,369,0.002%
N0830,E102,342,0.002%
M478,NA,315,0.002%
G632E114,NA,304,0.002%
H3603,E109,292,0.002%
F0020G308,NA,269,0.002%
T36,N05AH,264,0.002%
H3601,E117,234,0.001%
N0839E102,NA,228,0.001%
N0839E112,NA,223,0.001%
T36,N05CD,223,0.001%
F001G301,NA,214,0.001%
T424,NA,213,0.001%
H221,M083,202,0.001%
F001,G301,192,0.001%
N0832,E112,184,0.001%
H3600,E109,173,0.001%
T36,N05AA,171,0.001%
F0009,G300,165,0.001%
F0014,G301,160,0.001%
H360,E103,157,0.001%
H221,M084,156,0.001%
F0029,G308,150,0.001%
M500,NA,146,0.001%
K038,NA,144,0.001%
T36,N05CF,129,0.001%
T36,N02BE,128,0.001%
D638,N180,124,0.001%
K0404,NA,119,0.001%
T36,N06AX,118,0.001%
H3609E103,NA,117,0.001%
F002G308,NA,113,0.001%
W18,NA,112,0.001%
H3601,E109,111,0.001%
G552,M501,109,0.001%
T36,N06AB,109,0.001%
K0403,NA,106,0.001%
N0830,E112,104,0.001%
H3603,E117,102,0.001%
T36,N06AA,102,0.001%
H3609E113,NA,101,0.001%
F0011,G301,100,0.001%
M510,NA,100,0.001%
T430,NA,100,0.001%
G551M511,NA,98,0.001%
H3601,E107,98,0.001%
L405,L400,96,0.001%
C021,NA,93,0.001%
T36,N03AG,91,0.001%
B977,D141,90,0.001%
T36,C07AA,89,0.001%
K120,NA,88,0.001%
K121,NA,83,0.000%
K0402,NA,82,0.000%
F2090,NA,81,0.000%
G551M519,NA,78,0.000%
R518,NA,77,0.000%
H3601,E119,77,0.000%
I710,NA,76,0.000%
H620A46,NA,75,0.000%
Z940,N0480,74,0.000%
O268,NA,73,0.000%
I702,L97,73,0.000%
G530,B028,71,0.000%
H3603,E119,71,0.000%
T36,N02AA,71,0.000%
E114G632,NA,70,0.000%
T433,NA,69,0.000%
G632E104,NA,67,0.000%
H360,E113,67,0.000%
K000,NA,67,0.000%
H3602,E117,65,0.000%
T36,N03AE,64,0.000%
F0203,G310,63,0.000%
F0232,G20,61,0.000%
M075,K509,61,0.000%
H3600,E119,59,0.000%
N0831,E102,58,0.000%
F0024,G308,56,0.000%
G552M479,NA,56,0.000%
T427,NA,56,0.000%
C845,NA,55,0.000%
E112N0839,NA,54,0.000%
K1204,NA,54,0.000%
H3603,E102,53,0.000%
F0012,G301,52,0.000%
F2050,NA,52,0.000%
T36,N03AX,52,0.000%
T36,N05AN,51,0.000%
I802,NA,50,0.000%
T36,N03AF,50,0.000%
F002,G308,48,0.000%
N082D8980,NA,48,0.000%
T36,N05AF,48,0.000%
C648,NA,46,0.000%
C830,NA,46,0.000%
M470,NA,46,0.000%
S015,NA,45,0.000%
H3601,E1100,45,0.000%
K0063,NA,45,0.000%
L97,E114,45,0.000%
T42,NA,45,0.000%
M148,L529,44,0.000%
E100,NA,44,0.000%
F00,F03,44,0.000%
K0369,NA,44,0.000%
L97,E104,44,0.000%
H3600,E107,43,0.000%
H3602,E107,43,0.000%
N771A600,NA,43,0.000%
T432,NA,43,0.000%
B373N771,NA,42,0.000%
T36,N05AX,41,0.000%
T439,NA,41,0.000%
J301,NA,40,0.000%
E117,L97,40,0.000%
E260,I152,40,0.000%
G530B0221,NA,40,0.000%
H3600,E117,40,0.000%
I792E115,NA,40,0.000%
X61,NA,39,0.000%
F009,F03,38,0.000%
T36,N05AB,38,0.000%
F0000G300,NA,37,0.000%
G992M471,NA,37,0.000%
T435,NA,37,0.000%
F0289,G318,36,0.000%
G992M479,NA,36,0.000%
N0839,E107,36,0.000%
N082,D898,35,0.000%
E784,NA,34,0.000%
T36,M01AE,34,0.000%
K860,NA,33,0.000%
C820,NA,33,0.000%
M146,E114,33,0.000%
T36,N02AX,33,0.000%
T36,N06CA,33,0.000%
X41,NA,33,0.000%
G552,M480,32,0.000%
N0831,E112,32,0.000%
T36,C07AB,32,0.000%
F0011G301,NA,31,0.000%
M075K519,NA,31,0.000%
K528,NA,30,0.000%
E103,H3603,30,0.000%
G408,NA,30,0.000%
M073,L400,29,0.000%
M146,E109,29,0.000%
M146A521,NA,29,0.000%
N083E112,NA,29,0.000%
O998,NA,29,0.000%
F938,NA,28,0.000%
F0022,G308,28,0.000%
H3602,E109,28,0.000%
M070,L400,28,0.000%
B977,D140,27,0.000%
L529,NA,27,0.000%
T426,NA,27,0.000%
X73,NA,27,0.000%
E8901,C7391,26,0.000%
F0013,G301,26,0.000%
L548,A692,26,0.000%
F0021,G308,25,0.000%
G992,M511,25,0.000%
M073,K519,25,0.000%
E110,NA,24,0.000%
K0731,NA,24,0.000%
Q674,NA,24,0.000%
T36,A10AB,24,0.000%
C800,NA,23,0.000%
F0239G20,NA,23,0.000%
H3603,H431,23,0.000%
K1401,NA,23,0.000%
T36,M03BX,23,0.000%
T421,NA,23,0.000%
C793,NA,22,0.000%
G463I679,NA,22,0.000%
G992M510,NA,22,0.000%
H3609,E109,22,0.000%
M070L405,NA,22,0.000%
T36,N05BX,22,0.000%
C838,NA,21,0.000%
H3603,E1100,21,0.000%
T36,A10AE,21,0.000%
T846,NA,21,0.000%
G530B0220,NA,20,0.000%
H3603,E1000,20,0.000%
M074,L405,20,0.000%
N082,E102,20,0.000%
N0839,E117,20,0.000%
N518A600,NA,20,0.000%
T36,C08CA,20,0.000%
K088,NA,19,0.000%
C507,NA,19,0.000%
F009,G301,19,0.000%
F023G20,NA,19,0.000%
H3603,E101,19,0.000%
N162D868,NA,19,0.000%
N512B374,NA,19,0.000%
R999,NA,19,0.000%
T36,N02BA,19,0.000%
J068,NA,18,0.000%
E103,H3600,18,0.000%
G464I679,NA,18,0.000%
H031B023,NA,18,0.000%
K0405,NA,18,0.000%
K1209,NA,18,0.000%
N0839,E119,18,0.000%
T36,C01AA,18,0.000%
T36,M03BC,18,0.000%
Q828,NA,17,0.000%
F0023,G308,17,0.000%
G551,M480,17,0.000%
H191B005,NA,17,0.000%
H192B023,NA,17,0.000%
M051,NA,17,0.000%
M146,E117,17,0.000%
T420,NA,17,0.000%
T447,NA,17,0.000%
C739,NA,16,0.000%
D352,E221,16,0.000%
F1529,NA,16,0.000%
G468I679,NA,16,0.000%
G992M500,NA,16,0.000%
H031B005,NA,16,0.000%
I152,E260,16,0.000%
M146E116,NA,16,0.000%
M511G551,NA,16,0.000%
R3289,NA,16,0.000%
D7082,N05AH,15,0.000%
E113,H3601,15,0.000%
F2099,NA,15,0.000%
G552,M511,15,0.000%
T36,N05AC,15,0.000%
H360,NA,14,0.000%
K768,NA,14,0.000%
E113H3609,NA,14,0.000%
F0280,G318,14,0.000%
F4582,NA,14,0.000%
G552,M519,14,0.000%
G942,I602,14,0.000%
H193M350,NA,14,0.000%
M146,E119,14,0.000%
T36,N05BB,14,0.000%
T393,NA,14,0.000%
V435,NA,14,0.000%
X72,NA,14,0.000%
A600N770,NA,13,0.000%
F2060,NA,13,0.000%
F2094,NA,13,0.000%
G301F0010,NA,13,0.000%
G553,M511,13,0.000%
H3600,E1100,13,0.000%
H3602,E119,13,0.000%
L988,NA,13,0.000%
M15,M19,13,0.000%
T36,A10AC,13,0.000%
T36,N02AC,13,0.000%
T423,NA,13,0.000%
F0004,G300,12,0.000%
N770A600,NA,12,0.000%
T390,NA,12,0.000%
T399,NA,12,0.000%
T43,NA,12,0.000%
W54,NA,12,0.000%
H191,B023,11,0.000%
H3603,H103,11,0.000%
K1219,NA,11,0.000%
L405M073,NA,11,0.000%
N185,NA,11,0.000%
T36,B01AC,11,0.000%
T391,NA,11,0.000%
W13,NA,11,0.000%
I828,NA,10,0.000%
F000,G300,10,0.000%
F0001,G300,10,0.000%
F0012G301,NA,10,0.000%
F0021,G301,10,0.000%
F0024,G301,10,0.000%
F1550,NA,10,0.000%
G992,M472,10,0.000%
H3602,E102,10,0.000%
I679G468,NA,10,0.000%
T438,NA,10,0.000%
X62,NA,10,0.000%
C809,NA,9,0.000%
A099,NA,9,0.000%
F2080,NA,9,0.000%
H353,NA,9,0.000%
I48,I10,9,0.000%
K80,K802,9,0.000%
L899,NA,9,0.000%
M073,M405,9,0.000%
N921,D250,9,0.000%
O992,E039,9,0.000%
T36,B01AA,9,0.000%
T434,NA,9,0.000%
X42,NA,9,0.000%
F4282,NA,8,0.000%
G992,M501,8,0.000%
K604,K603,8,0.000%
N920,D250,8,0.000%
T36,A10AD,8,0.000%
T36,N05AD,8,0.000%
T36,N06BA,8,0.000%
T383,NA,8,0.000%
T422,NA,8,0.000%
V445,NA,8,0.000%
W70,NA,8,0.000%
D370,NA,7,0.000%
G590E114,NA,7,0.000%
H3600,E102,7,0.000%
I702,R262,7,0.000%
M072L405,NA,7,0.000%
M50,M54,7,0.000%
T360,NA,7,0.000%
T459,NA,7,0.000%
V485,NA,7,0.000%
W07,NA,7,0.000%
F2098,NA,6,0.000%
J860,NA,6,0.000%
T36,C09AA,6,0.000%
T36,N03AA,6,0.000%
X599,NA,6,0.000%
X64,NA,6,0.000%
X67,NA,6,0.000%
