code1,code2,freq_finngen,freq_tays,freq_total
C61,NA,196224,425518,621742
I10,NA,364852,217280,582132
I48,NA,303961,141709,445670
C5041,NA,106171,181156,287327
K021,NA,254698,11949,266647
Z491,NA,102214,144086,246300
E119,NA,111847,103479,215326
C798,NA,26711,184736,211447
G473,NA,128409,71918,200327
I251,NA,114111,65023,179134
M058,NA,108315,41337,149652
C2091,NA,40079,97877,137956
E11,NA,129967,1448,131415
R104,NA,94681,35436,130117
E109,NA,113309,11097,124406
F29,NA,113086,4444,117530
J189,NA,65363,44774,110137
N188,NA,23809,84954,108763
N189,NA,65393,43291,108684
I702,NA,65042,42882,107924
F322,NA,94802,13080,107882
Z871,NA,106161,33,106194
F2000,NA,101088,4398,105486
C900,NA,31559,72483,104042
I509,NA,52685,47775,100460
H3531,NA,34075,63081,97156
C5021,NA,30830,66147,96977
C5081,NA,22558,73798,96356
H903,NA,57971,36208,94179
J459,NA,60944,33114,94058
N40,NA,58793,34869,93662
F3210,NA,79771,11441,91212
H251,NA,45557,45291,90848
F2030,NA,88346,1884,90230
J069,NA,78026,12112,90138
F332,NA,78349,7584,85933
Z940,NA,46497,39158,85655
J448,NA,49540,34137,83677
F329,NA,70067,13406,83473
M545,NA,72516,10773,83289
L400,NA,64816,16440,81256
Z713,NA,14388,63104,77492
M171,NA,68374,4123,72497
R074,NA,53346,17706,71052
M751,NA,61637,8668,70305
R060,NA,48023,21707,69730
M796,NA,57231,12391,69622
Z712,NA,64794,4484,69278
Z012,NA,62925,5927,68852
F3310,NA,63321,5271,68592
C8331,NA,19322,47627,66949
M480,NA,47927,17763,65690
E107,NA,46724,18929,65653
M511,NA,55948,9518,65466
C6488,NA,17099,47524,64623
C5411,NA,18161,46063,64224
Z961,NA,18918,42899,61817
E039,NA,28080,33127,61207
N0839,E112,40600,19236,59836
G301,NA,57975,1518,59493
M255,NA,52459,6965,59424
A46,NA,46384,12720,59104
Q612,NA,40645,17602,58247
G20,NA,45615,12588,58203
C5051,NA,20622,37134,57756
C5011,NA,18634,37286,55920
Z004,NA,52237,3110,55347
F209,NA,54001,1300,55301
G35,NA,44746,9836,54582
C4431,NA,15426,38435,53861
L570,NA,23474,30240,53714
K045,NA,45767,7707,53474
C5042,NA,22135,31214,53349
D649,NA,17965,35235,53200
Y948,NA,897,52110,53007
J010,NA,46250,6748,52998
K573,NA,33812,18857,52669
R42,NA,42446,10158,52604
C787,NA,13056,39524,52580
Z718,NA,31455,20840,52295
Z018,NA,38103,13683,51786
C795,NA,9971,40772,50743
K515,NA,34062,15978,50040
I350,NA,28809,20994,49803
L309,NA,38081,11627,49708
J450,NA,41500,8126,49626
I639,NA,32786,15859,48645
E117,NA,26170,21794,47964
Z039,NA,43292,3543,46835
E7801,NA,23187,23253,46440
T814,NA,27389,18990,46379
Z363,NA,44337,1794,46131
C5671,NA,14171,31840,46011
F412,NA,38782,6953,45735
F1122,NA,44434,1058,45492
W01,NA,1237,43822,45059
R103,NA,36151,8864,45015
Z010,NA,25170,19675,44845
F259,NA,43137,1620,44757
F419,NA,40549,4077,44626
K508,NA,27170,17225,44395
R509,NA,23732,19928,43660
I259,NA,26829,16743,43572
Z515,NA,7080,36396,43476
L200,NA,36720,6686,43406
K0364,NA,39574,2408,41982
O800,NA,38636,3328,41964
N0839,E102,34509,7444,41953
R53,NA,28401,13550,41951
G560,NA,33333,8563,41896
M060,NA,28236,13501,41737
C911,NA,13450,28101,41551
C910,NA,6618,34911,41529
C780,NA,7481,33795,41276
N10,NA,25464,15717,41181
H4013,NA,21097,19525,40622
M170,NA,37613,2888,40501
C250,NA,10384,29767,40151
R05,NA,34637,5478,40115
I693,NA,32483,7579,40062
R91,NA,21787,18029,39816
C5031,NA,13454,26236,39690
J451,NA,28707,10689,39396
N082,D8980,18509,20163,38672
C7391,NA,15343,23322,38665
F319,NA,35352,2887,38239
E780,NA,37805,229,38034
Z450,NA,11153,26512,37665
A09,NA,27915,9656,37571
D509,NA,12570,24976,37546
M161,NA,36049,1413,37462
D051,NA,13745,23370,37115
Y940,NA,548,36184,36732
A499,NA,18852,17494,36346
F101,NA,29160,6850,36010
D259,NA,13778,22139,35917
C1871,NA,12936,22926,35862
E103,NA,27874,7803,35677
E6601,NA,21604,13705,35309
M544,NA,30480,4707,35187
J209,NA,28088,7010,35098
F323,NA,30710,4191,34901
F317,NA,33866,804,34670
F341,NA,31957,2662,34619
I420,NA,22848,10736,33584
Z508,NA,27529,5758,33287
J320,NA,25400,7659,33059
O244,NA,24562,8406,32968
C672,NA,3623,29221,32844
M139,NA,20659,12153,32812
S525,NA,26849,5881,32730
C5082,NA,10235,22440,32675
F6031,NA,30893,1769,32662
R31,NA,17571,14961,32532
K409,NA,25068,7137,32205
I269,NA,12928,19187,32115
E118,NA,15966,16105,32071
C3412,NA,9241,22818,32059
F411,NA,29180,2862,32042
