CodeId,ShortName,LongName,ParentId,HierarchyLevel,BeginningDate,ExpiringDate,Code1,Code2,English_name,ICD10who_code,exists_in_ICD10who,ICD10who_name,English_name_match_level,ICD10who_match_level
A00,Kolera,Kolera,A00-A09,2,1900-01-01,2020-12-31,A00,NA,Cholera,A00,TRUE,Cholera,0,match_exactly
A00-A09,Suoliston tartuntataudit,Suoliston tartuntataudit,A00-B99,1,1900-01-01,2020-12-31,A00,A09,Intestinal infectious diseases,NA,FALSE,NA,NA,classification_code
A00-B99,Tartunta- ja loistauteja,Tartunta- ja loistauteja,NA,0,1900-01-01,2020-12-31,A00,B99,Certain infectious and parasitic diseases,NA,FALSE,NA,NA,classification_code
A00.0,Klassinen kolera,Klassinen kolera,A00,3,1900-01-01,2020-12-31,A00.0,NA,"Cholera due to Vibrio cholerae 01, biovar cholerae",A00.0,TRUE,"Cholera due to Vibrio cholerae 01, biovar cholerae",0,match_exactly
A00.1,El Tor-kolera,El Tor-kolera,A00,3,1900-01-01,2020-12-31,A00.1,NA,"Cholera due to Vibrio cholerae 01, biovar eltor",A00.1,TRUE,"Cholera due to Vibrio cholerae 01, biovar eltor",0,match_exactly
A00.9,Määrittämätön kolera,Määrittämätön kolera,A00,3,1900-01-01,2020-12-31,A00.9,NA,"Cholera, unspecified",A00.9,TRUE,"Cholera, unspecified",0,match_exactly
A01,Lavantauti ja pikkulavantauti,Lavantauti ja pikkulavantauti,A00-A09,2,1900-01-01,2020-12-31,A01,NA,Typhoid and paratyphoid fevers,A01,TRUE,Typhoid and paratyphoid fevers,0,match_exactly
A01.0,Lavantauti,Lavantauti,A01,3,1900-01-01,2020-12-31,A01.0,NA,Typhoid fever,A01.0,TRUE,Typhoid fever,0,match_exactly
A01.0+G01,Salm.typhi.liitt.mening,Lavantautiin liittyvä aivokalvotulehdus,A01,3,1900-01-01,2020-12-31,A01.0,G01,Meningitis (in) typhoid fever,A01.0,FALSE,Typhoid fever,NA,match_first_code
A01.0+I39.8,Typhin aih. endokardiitti,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,A01,3,1900-01-01,2020-12-31,A01.0,I39.8,NA,A01.0,FALSE,Typhoid fever,NA,match_first_code
A01.0+J17.0,Lavant.liitt.pneumonia,Lavantautiin liittyvä keuhkokuume,A01,3,1900-01-01,2020-12-31,A01.0,J17.0,Pneumonia (due to)(in) typhoid fever,A01.0,FALSE,Typhoid fever,NA,match_first_code
A01.1,Pikkulavantauti A,Pikkulavantauti A,A01,3,1900-01-01,2020-12-31,A01.1,NA,Paratyphoid fever A,A01.1,TRUE,Paratyphoid fever A,0,match_exactly
A01.2,Pikkulavantauti B,Pikkulavantauti B,A01,3,1900-01-01,2020-12-31,A01.2,NA,Paratyphoid fever B,A01.2,TRUE,Paratyphoid fever B,0,match_exactly
A01.3,Pikkulavantauti C,Pikkulavantauti C,A01,3,1900-01-01,2020-12-31,A01.3,NA,Paratyphoid fever C,A01.3,TRUE,Paratyphoid fever C,0,match_exactly
A01.4,Määrittämätön pikkulavantauti,Määrittämätön pikkulavantauti,A01,3,1900-01-01,2020-12-31,A01.4,NA,"Paratyphoid fever, unspecified",A01.4,TRUE,"Paratyphoid fever, unspecified",0,match_exactly
A01.4+M01.3,S.typhi/paratyph.aih.nivelinf.,Lavantautiin tai pikkulavantautiin liittyvä nivelinfektio,A01,3,1900-01-01,2020-12-31,A01.4,M01.3,Arthritis in typhoid or paratyphoid fever,A01.4,FALSE,"Paratyphoid fever, unspecified",NA,match_first_code
A02,Muut salmonellainfektiot,Muut salmonellainfektiot,A00-A09,2,1900-01-01,2020-12-31,A02,NA,Other salmonella infections,A02,TRUE,Other salmonella infections,0,match_exactly
A02.0,Salmonellasuolitulehdus,Salmonellasuolitulehdus,A02,3,1900-01-01,2020-12-31,A02.0,NA,Salmonella enteritis,A02.0,TRUE,Salmonella enteritis,0,match_exactly
A02.1,Salmonellaseptikemia,Salmonellaseptikemia,A02,3,1900-01-01,2020-12-31,A02.1,NA,Salmonella septicaemia,A02.1,TRUE,Salmonella sepsis,7,match_exactly
A02.2,Paik. salmonellainfektiot,Paikallinen salmonellainfektio,A02,3,1900-01-01,2020-12-31,A02.2,NA,Localized salmonella infection,A02.2,TRUE,Localized salmonella infections,1,match_exactly
A02.2+G01,Salmonellameningiitti,Salmonellan aiheuttama aivokalvotulehdus,A02,3,1900-01-01,2020-12-31,A02.2,G01,Salmonella meningitis,A02.2,FALSE,Localized salmonella infections,NA,match_first_code
A02.2+H22.0,"Salmonella,iridocyclitis",Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,A02,3,1900-01-01,2020-12-31,A02.2,H22.0,NA,A02.2,FALSE,Localized salmonella infections,NA,match_first_code
A02.2+J17.0,Salmonellapneumonia,Salmonellan aiheuttama keuhkokuume,A02,3,1900-01-01,2020-12-31,A02.2,J17.0,Salmonella pneumonia,A02.2,FALSE,Localized salmonella infections,NA,match_first_code
A02.2+M01.3,Salmonellan aih.nivelinfe,Salmonellan aiheuttama niveltulehdus,A02,3,1900-01-01,2020-12-31,A02.2,M01.3,Salmonella arthritis,A02.2,FALSE,Localized salmonella infections,NA,match_first_code
A02.2+M90.2,Salmonell.liitt.luusairaus,Salmonellan aiheuttama osteomyeliitti,A02,3,1900-01-01,2020-12-31,A02.2,M90.2,Salmonella osteomyelitis,A02.2,FALSE,Localized salmonella infections,NA,match_first_code
A02.2+N16.0,"Salmon.,tubuloint,nefropatia",Salmonellan aiheuttama munuaisten tubulointerstitiaalinen sairaus,A02,3,1900-01-01,2020-12-31,A02.2,N16.0,Salmonella renal tubulo-interstitial disease,A02.2,FALSE,Localized salmonella infections,NA,match_first_code
A02.8,Muu paik. salmonellainfektio,Muu salmonellainfektio,A02,3,1900-01-01,2020-12-31,A02.8,NA,Other specified salmonella infections,A02.8,TRUE,Other specified salmonella infections,0,match_exactly
A02.9,Salmonellainfektio NAS,Määrittämätön salmonellainfektio,A02,3,1900-01-01,2020-12-31,A02.9,NA,"Salmonella infection, unspecified",A02.9,TRUE,"Salmonella infection, unspecified",0,match_exactly
A03,Shigelloosi,Shigelloosi,A00-A09,2,1900-01-01,2020-12-31,A03,NA,Shigellosis,A03,TRUE,Shigellosis,0,match_exactly
A03.0,Shigella dys. shigelloosi,Shigella dysenteriae -bakteerin aiheuttama shigelloosi,A03,3,1900-01-01,2020-12-31,A03.0,NA,Shigellosis due to Shigella dysenteriae,A03.0,TRUE,Shigellosis due to Shigella dysenteriae,0,match_exactly
A03.1,Shigella flexn. shigelloosi,Shigella flexneri -bakteerin aiheuttama shigelloosi,A03,3,1900-01-01,2020-12-31,A03.1,NA,Shigellosis due to Shigella flexneri,A03.1,TRUE,Shigellosis due to Shigella flexneri,0,match_exactly
A03.2,Shigella boydii shigelloosi,Shigella boydii -bakteerin aiheuttama shigelloosi,A03,3,1900-01-01,2020-12-31,A03.2,NA,Shigellosis due to Shigella boydii,A03.2,TRUE,Shigellosis due to Shigella boydii,0,match_exactly
A03.3,Shigella sonnei shigelloosi,Shigella sonnei -bakteerin aiheuttama shigelloosi,A03,3,1900-01-01,2020-12-31,A03.3,NA,Shigellosis due to Shigella sonnei,A03.3,TRUE,Shigellosis due to Shigella sonnei,0,match_exactly
A03.8,Muu määritetty shigelloosi,Muu shigelloosi,A03,3,1900-01-01,2020-12-31,A03.8,NA,Other shigellosis,A03.8,TRUE,Other shigellosis,0,match_exactly
A03.9,Määrittämätön shigelloosi,Määrittämätön shigelloosi,A03,3,1900-01-01,2020-12-31,A03.9,NA,"Shigellosis, unspecified",A03.9,TRUE,"Shigellosis, unspecified",0,match_exactly
A04,Muut bakt. suolistoinfektiot,Muut bakteeriperäiset suolistoinfektiot,A00-A09,2,1900-01-01,2020-12-31,A04,NA,Other bacterial intestinal infections,A04,TRUE,Other bacterial intestinal infections,0,match_exactly
A04.0,Enteropatog. kolibakt. infekti,Enteropatogeenisen kolibakteerin aiheuttama infektio,A04,3,1900-01-01,2020-12-31,A04.0,NA,Enteropathogenic Escherichia coli infection,A04.0,TRUE,Enteropathogenic Escherichia coli infection,0,match_exactly
A04.1,Enterotoksigeen kolibakt. inf.,Enterotoksigeenisen kolibakteerin aiheuttama infektio,A04,3,1900-01-01,2020-12-31,A04.1,NA,Enterotoxigenic Escherichia coli infection,A04.1,TRUE,Enterotoxigenic Escherichia coli infection,0,match_exactly
A04.2,Enteroinv. kolibakt. inf.,Enteroinvasiivisen kolibakteerin aiheuttama infektio,A04,3,1900-01-01,2020-12-31,A04.2,NA,Enteroinvasive Escherichia coli infection,A04.2,TRUE,Enteroinvasive Escherichia coli infection,0,match_exactly
A04.3,Enterohemor. kolibakt. inf.,Enterohemorragisen kolibakteerien aiheuttama infektio,A04,3,1900-01-01,2020-12-31,A04.3,NA,Enterohaemorrhagic Escherichia coli infection,A04.3,TRUE,Enterohaemorrhagic Escherichia coli infection,0,match_exactly
A04.4,Muut kolibakt. infektiot,Muu kolibakteerin aiheuttama suoli-infektio,A04,3,1900-01-01,2020-12-31,A04.4,NA,Other intestinal Escherichia coli infections,A04.4,TRUE,Other intestinal Escherichia coli infections,0,match_exactly
