concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
45537370,"Other air transport accidents, not elsewhere classified",Observation,ICD10,ICD10 code,NA,V97.8,1990-05-01,2099-12-31,NA
45533738,Crystal arthropathy in other metabolic disorders,Condition,ICD10,ICD10 code,NA,M14.1,1990-05-01,2099-12-31,NA
45533743,"Coxarthrosis resulting from dysplasia, bilateral",Condition,ICD10,ICD10 code,NA,M16.2,1990-05-01,2099-12-31,NA
45533744,"Post-traumatic gonarthrosis, bilateral",Condition,ICD10,ICD10 code,NA,M17.2,1990-05-01,2099-12-31,NA
45533778,Other acquired deformities of limbs,Condition,ICD10,ICD10 Hierarchy,NA,M21,1990-05-01,2099-12-31,NA
45539226,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,Condition,ICD10,ICD10 Hierarchy,NA,P00,1990-05-01,2099-12-31,NA
45539227,Fetus and newborn affected by maternal renal and urinary tract diseases,Condition,ICD10,ICD10 code,NA,P00.1,1990-05-01,2099-12-31,NA
45539228,"Fetus and newborn affected by other medical procedures on mother, not elsewhere classified",Condition,ICD10,ICD10 code,NA,P00.7,1990-05-01,2099-12-31,NA
45539229,Fetus and newborn affected by incompetent cervix,Condition,ICD10,ICD10 code,NA,P01.0,1990-05-01,2099-12-31,NA
45539234,Other heavy for gestational age infants,Condition,ICD10,ICD10 code,NA,P08.1,1990-05-01,2099-12-31,NA
45539235,Bruising of scalp due to birth injury,Condition,ICD10,ICD10 code,NA,P12.3,1990-05-01,2099-12-31,NA
45539236,Fracture of skull due to birth injury,Condition,ICD10,ICD10 code,NA,P13.0,1990-05-01,2099-12-31,NA
45539237,Birth injuries to other parts of skeleton,Condition,ICD10,ICD10 code,NA,P13.8,1990-05-01,2099-12-31,NA
45539239,Other neonatal aspiration syndromes,Condition,ICD10,ICD10 code,NA,P24.8,1990-05-01,2099-12-31,NA
45539240,Primary sleep apnoea of newborn,Condition,ICD10,ICD10 code,NA,P28.3,1990-05-01,2099-12-31,NA
45539242,Other bacterial sepsis of newborn,Condition,ICD10,ICD10 code,NA,P36.8,1990-05-01,2099-12-31,NA
45539243,Congenital falciparum malaria,Condition,ICD10,ICD10 code,NA,P37.3,1990-05-01,2099-12-31,NA
45539244,"Infection specific to the perinatal period, unspecified",Condition,ICD10,ICD10 code,NA,P39.9,1990-05-01,2099-12-31,NA
45539245,Other umbilical haemorrhages of newborn,Condition,ICD10,ICD10 code,NA,P51.8,1990-05-01,2099-12-31,NA
45539246,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn",Condition,ICD10,ICD10 code,NA,P52.1,1990-05-01,2099-12-31,NA
45539247,Neonatal haematemesis,Condition,ICD10,ICD10 code,NA,P54.0,1990-05-01,2099-12-31,NA
45539248,"Other congenital anaemias, not elsewhere classified",Condition,ICD10,ICD10 code,NA,P61.4,1990-05-01,2099-12-31,NA
45539249,"Invalid ICD10 Concept, do not use",Condition,ICD10,ICD10 code,NA,45539249,2006-12-30,2016-04-13,D
45539250,Other intestinal obstruction of newborn,Condition,ICD10,ICD10 Hierarchy,NA,P76,1990-05-01,2099-12-31,NA
45539252,Congenital hydrocele,Condition,ICD10,ICD10 code,NA,P83.5,1990-05-01,2099-12-31,NA
45539253,Convulsions of newborn,Condition,ICD10,ICD10 Hierarchy,NA,P90,1990-05-01,2099-12-31,NA
45539254,Other disturbances of cerebral status of newborn,Condition,ICD10,ICD10 Hierarchy,NA,P91,1990-05-01,2099-12-31,NA
45539255,Neonatal cerebral leukomalacia,Condition,ICD10,ICD10 code,NA,P91.2,1990-05-01,2099-12-31,NA
45539256,Other specified disturbances of cerebral status of newborn,Condition,ICD10,ICD10 code,NA,P91.8,1990-05-01,2099-12-31,NA
45539258,Nasofrontal encephalocele,Condition,ICD10,ICD10 code,NA,Q01.1,1990-05-01,2099-12-31,NA
45539259,Megalencephaly,Condition,ICD10,ICD10 code,NA,Q04.5,1990-05-01,2099-12-31,NA
45539261,Congenital entropion,Condition,ICD10,ICD10 code,NA,Q10.2,1990-05-01,2099-12-31,NA
45539262,Absence and agenesis of lacrimal apparatus,Condition,ICD10,ICD10 code,NA,Q10.4,1990-05-01,2099-12-31,NA
45539263,Microphthalmos,Condition,ICD10,ICD10 code,NA,Q11.2,1990-05-01,2099-12-31,NA
45539264,Congenital aphakia,Condition,ICD10,ICD10 code,NA,Q12.3,1990-05-01,2099-12-31,NA
45539265,Congenital malformations of posterior segment of eye,Condition,ICD10,ICD10 Hierarchy,NA,Q14,1990-05-01,2099-12-31,NA
45539266,"Congenital malformation of posterior segment of eye, unspecified",Condition,ICD10,ICD10 code,NA,Q14.9,1990-05-01,2099-12-31,NA
45539267,"Congenital malformation of ear causing impairment of hearing, unspecified",Condition,ICD10,ICD10 code,NA,Q16.9,1990-05-01,2099-12-31,NA
45538298,"Retained (old) intraocular foreign body, nonmagnetic",Condition,ICD10,ICD10 code,NA,H44.7,1990-05-01,2099-12-31,NA
45538300,Vitreous haemorrhage in diseases classified elsewhere,Condition,ICD10,ICD10 code,NA,H45.0,1990-05-01,2099-12-31,NA
45538305,Other disorders of optic nerve and visual pathways in diseases classified elsewhere,Condition,ICD10,ICD10 code,NA,H48.8,1990-05-01,2099-12-31,NA
45538319,Night blindness,Condition,ICD10,ICD10 code,NA,H53.6,1990-05-01,2099-12-31,NA
45538321,"Severe visual impairment, binocular",Condition,ICD10,ICD10 code,NA,H54.1,1990-05-01,2099-12-31,NA
45538323,Anomalies of pupillary function,Condition,ICD10,ICD10 code,NA,H57.0,1990-05-01,2099-12-31,NA
45538324,"Postprocedural disorder of eye and adnexa, unspecified",Condition,ICD10,ICD10 code,NA,H59.9,1990-05-01,2099-12-31,NA
45538332,Suppurative and unspecified otitis media,Condition,ICD10,ICD10 Hierarchy,NA,H66,1990-05-01,2099-12-31,NA
45538342,Central perforation of tympanic membrane,Condition,ICD10,ICD10 code,NA,H72.0,1990-05-01,2099-12-31,NA
