"","CODE1","n_codes","n_patients"
"1","65000",45761,29263
"2","50099",12916,12158
"3","45499",6934,5924
"4","25000",6297,1856
"5","64199",6134,5415
"6","46599",5704,4846
"7","49300",5473,1913
"8","Y6099",5080,3815
"9","64091",4373,3920
"10","21899",4208,3455
"11","55099",3715,3313
"12","64399",3551,3143
"13","E8859",3209,2791
"14","78559",3196,2824
"15","00920",2977,2725
"16","78551",2936,2672
"17","72410",2669,2195
"18","54099",2627,2540
"19","72510",2525,1624
"20","00000",2402,819
"21","62660",2357,2104
"22","63497",2334,1868
"23","63230",2304,1923
"24","46309",2286,2070
"25","45599",2243,2053
"26","38100",2224,1824
"27","40199",2211,1383
"28","85000",2203,2098
"29","62699",2158,1895
"30","46100",1860,1571
"31","73799",1786,1608
"32","63701",1693,1237
"33","66180",1692,1572
"34","71238",1691,506
"35","69100",1690,1033
"36","46699",1671,1302
"37","65400",1648,1225
"38","29599",1599,554
"39","48609",1520,1266
"40","59010",1494,1207
"41","30041",1491,938
"42","Y4300",1463,1450
"43","84500",1450,1308
"44","Y0599",1413,1188
"45","84400",1396,1093
"46","63499",1359,1143
"47","72880",1348,987
"48","50499",1307,1228
"49","63703",1287,1097
"50","79199",1251,1046
"51","57409",1217,1116
"52","62620",1195,1050
"53","65710",1195,1179
"54","46099",1186,1055
"55","62800",1178,799
"56","64594",1177,1106
"57","29510",1158,288
"58","78020",1150,843
"59","49099",1096,850
"60","60500",1065,1026
"61","Y0609",1062,1015
"62","30300",1044,562
"63","82400",1044,894
"64","71239",1022,461
"65","59203",1008,777
"66","37301",995,777
"67","64099",993,943
"68","22099",982,910
"69","48509",972,860
"70","29580",953,462
"71","30320",949,383
"72","29530",947,293
"73","30000",947,593
"74","50199",941,844
"75","72870",939,784
"76","78050",930,754
"77","Y4308",923,910
"78","50301",915,769
"79","54091",915,883
"80","57401",913,895
"81","62650",912,828
"82","E9179",903,821
"83","61520",888,838
"84","78629",869,660
"85","62530",866,788
"86","61610",861,752
"87","65006",860,824
"88","42792",858,446
"89","62532",858,766
"90","30180",853,378
"91","63496",838,767
"92","Y0499",837,697
"93","30188",834,335
"94","67000",819,790
"95","56310",816,286
"96","13599",805,233
"97","38110",804,644
"98","35399",799,643
"99","56500",786,702
"100","65700",783,740
"101","79399",768,691
"102","Y1901",759,640
"103","30310",755,407
"104","Y4301",742,739
"105","41399",714,418
"106","57408",713,680
"107","Y0399",711,642
"108","64090",710,680
"109","64190",705,676
"110","71200",705,165
"111","29570",703,237
"112","29999",703,393
"113","30088",701,353
"114","30040",700,451
"115","64598",695,651
"116","49302",694,471
"117","54090",693,684
"118","38402",682,546
"119","66100",675,651
"120","24199",670,620
"121","21900",660,614
"122","E8849",660,614
"123","E8191",657,563
"124","46401",655,547
"125","65300",653,641
"126","E8190",634,533
"127","Y0209",633,530
"128","71301",630,459
"129","45100",628,498
"130","Y0699",628,567
"131","73109",627,571
"132","Y4302",622,618
"133","27799",605,453
"134","37300",603,458
"135","34609",601,459
"136","67008",592,579
"137","54199",590,576
"138","92200",586,548
"139","42798",585,423
"140","63494",579,325
"141","E9509",573,483
"142","61207",570,531
"143","73398",569,486
"144","28920",564,545
"145","50709",556,467
"146","21799",547,512
"147","63702",544,452
"148","34599",539,295
"149","62670",522,469
"150","63700",519,452
"151","62630",510,476
"152","59000",505,311
"153","62550",501,446
"154","62801",501,375
"155","82321",493,385
"156","71240",485,200
"157","75210",481,425
"158","68599",480,405
"159","63150",478,438
"160","13597",473,258
"161","29560",470,120
"162","25002",466,184
"163","56109",466,435
"164","62191",466,388
"165","78880",460,379
"166","69619",459,251
"167","38401",456,321
"168","62533",453,438
"169","E9199",450,410
"170","62200",449,428
"171","78930",449,364
"172","E8879",449,415
"173","99810",448,420
"174","92100",447,427
"175","62698",440,413
"176","79388",439,396
"177","82300",438,344
"178","46209",437,399
"179","72908",437,389
"180","50708",434,347
"181","47099",433,423
"182","65200",429,414
"183","E8192",429,342
"184","E8261",427,384
"185","03400",424,406
"186","E9399",423,375
"187","41291",421,207
"188","65210",419,396
"189","41099",417,361
"190","99850",417,388
"191","29500",414,172
"192","61000",412,389
"193","25009",409,261
"194","65696",406,397
"195","71798",406,334
"196","62400",402,380
"197","50300",399,352
"198","63500",398,361
"199","38699",395,284
"200","63151",394,362
"201","63900",390,303
"202","65310",386,373
"203","61521",385,372
"204","28000",381,350
"205","63899",381,293
"206","57400",380,352
"207","59902",378,326
"208","40299",376,246
"209","62301",370,341
"210","Y0099",368,306
"211","29540",364,209
"212","78898",362,312
"213","E8196",358,312
"214","E8197",355,261
"215","42700",352,177
"216","53502",352,322
"217","21499",351,340
"218","63299",349,327
"219","E9609",348,321
"220","03599",347,283
"221","63498",347,325
"222","07999",341,329
"223","37303",341,289
"224","07997",339,322
"225","97010",338,287
"226","81300",335,296
"227","E8869",335,300
"228","41299",333,196
"229","Y0899",333,303
"230","73105",332,307
"231","05699",326,322
"232","64300",326,314
"233","65004",326,321
"234","78739",326,275
"235","09992",325,253
"236","62521",323,282
"237","E8809",321,297
"238","71300",319,190
"239","72899",319,278
"240","00919",318,296
"241","92000",318,312
"242","56510",315,251
"243","92700",314,300
"244","73599",313,144
"245","78329",313,241
"246","34099",310,86
"247","71700",308,273
"248","61208",307,287
"249","51899",306,142
"250","31099",305,109
"251","35701",305,246
"252","78719",304,276
"253","66110",300,287
"254","Y0999",300,256
"255","71599",298,224
"256","29830",297,196
"257","11299",296,289
"258","17402",296,191
"259","57709",296,203
"260","71310",295,235
"261","62000",294,283
"262","75618",293,177
"263","51299",292,165
"264","63495",292,281
"265","41397",291,222
"266","54000",290,283
"267","61510",290,242
"268","01102",288,172
"269","58199",288,67
"270","36400",287,220
"271","65007",287,283
"272","38210",286,228
"273","E9249",286,268
"274","64595",281,271
"275","71312",279,230
"276","20199",277,47
"277","80200",277,261
"278","80242",277,254
"279","56300",273,99
"280","13300",272,220
"281","67699",272,270
"282","28009",271,224
"283","82100",270,193
"284","24409",269,148
"285","34510",269,134
"286","61209",269,254
"287","37510",268,117
"288","49308",268,133
"289","72221",267,202
"290","81342",267,230
"291","70891",265,224
"292","30799",264,193
"293","57708",264,180
"294","E9189",264,227
"295","29550",263,114
"296","53299",263,193
"297","29520",259,87
"298","73101",257,235
"299","29610",256,94
"300","E9201",255,229
"301","69282",253,205
"302","73410",251,71
"303","54003",250,188
"304","72898",250,210
"305","E9208",250,217
"306","34532",249,110
"307","63704",249,228
"308","65580",249,235
"309","83600",248,184
"310","61201",247,223
"311","87300",247,242
"312","73805",245,224
"313","84200",245,225
"314","57500",244,229
"315","62531",244,231
"316","55110",243,235
"317","07201",241,232
"318","56419",241,221
"319","61099",239,221
"320","78330",239,191
"321","61200",238,225
"322","78300",238,208
"323","30099",234,171
"324","62310",234,214
"325","81242",234,193
"326","05209",233,229
"327","38199",233,212
"328","51925",232,164
"329","59504",232,123
"330","70890",231,216
"331","E8599",230,225
"332","80700",229,213
"333","25008",228,138
"334","41300",228,154
"335","34530",227,95
"336","53298",227,157
"337","38700",224,175
"338","98000",223,193
"339","84000",222,160
"340","45400",221,180
"341","66170",221,217
"342","38400",220,183
"343","79020",220,168
"344","78200",218,197
"345","62600",217,193
"346","66030",217,213
"347","59012",215,191
"348","48601",214,186
"349","58099",214,160
"350","67790",214,208
"351","78159",214,124
"352","56400",213,173
"353","05697",212,207
"354","29800",211,158
"355","29899",211,150
"356","88310",211,185
"357","50808",210,187
"358","63998",210,150
"359","67009",210,206
"360","32099",209,184
"361","63491",208,89
"362","99898",208,182
"363","30010",207,118
"364","42790",207,142
"365","55121",206,172
"366","E8819",206,184
"367","E9169",205,173
"368","61598",203,194
"369","59099",202,172
"370","69299",202,190
"371","80800",202,178
"372","E8829",202,183
"373","50503",201,163
"374","80521",201,171
"375","93500",201,187
"376","64593",200,193
"377","E8699",200,172
"378","58209",198,108
"379","30020",197,99
"380","54001",197,184
"381","62213",197,177
"382","74639",197,98
"383","55130",196,140
"384","24210",195,155
"385","30399",194,154
"386","43399",194,111
"387","60300",193,178
"388","85190",193,77
"389","73102",191,166
"390","E9439",191,168
"391","22700",190,116
"392","62998",190,184
"393","30680",189,161
"394","57600",189,185
"395","62398",189,171
"396","71490",189,163
"397","88390",189,151
"398","56096",188,128
"399","85100",188,145
"400","73808",187,162
"401","63501",186,177
"402","72398",186,159
"403","78410",186,167
"404","64591",185,180
"405","71710",184,153
"406","29820",183,117
"407","40399",183,126
"408","E9469",182,155
"409","57309",181,148
"410","74642",181,97
"411","60009",180,136
"412","72820",180,154
"413","29630",179,67
"414","58200",179,50
"415","62538",179,160
"416","73390",179,138
"417","80000",179,167
"418","75560",178,61
"419","51610",177,41
"420","66130",177,174
"421","19399",175,72
"422","35708",175,156
"423","45610",175,164
"424","62522",175,169
"425","78259",175,149
"426","72800",174,154
"427","74540",173,157
"428","28600",172,10
"429","78900",172,148
"430","49309",171,133
"431","54002",171,164
"432","63460",171,164
"433","E9409",170,116
"434","53508",169,145
"435","63310",169,151
"436","78570",169,152
"437","62212",168,139
"438","37597",167,136
"439","58399",165,110
"440","59358",165,99
"441","49109",164,112
"442","57403",164,147
"443","62198",164,157
"444","82331",164,85
"445","30050",163,133
"446","64094",162,156
"447","59500",161,153
"448","78310",161,119
"449","78950",160,144
"450","96798",160,142
"451","30199",159,108
"452","80221",159,141
"453","84700",159,155
"454","43599",158,121
"455","62110",158,154
"456","57300",157,98
"457","01107",156,100
"458","48099",156,145
"459","61590",156,152
"460","63110",156,148
"461","07501",155,154
"462","30170",155,72
"463","30660",155,106
"464","62551",155,153
"465","69600",155,62
"466","24110",153,147
"467","30899",153,90
"468","50304",153,113
"469","53503",153,130
"470","65320",153,151
"471","57609",152,140
"472","65140",151,146
"473","65220",151,150
"474","68300",151,142
"475","72830",151,129
"476","74528",151,136
"477","81000",151,132
"478","82200",151,128
"479","99450",151,150
"480","18301",149,23
"481","56103",149,145
"482","Y1202",149,139
"483","Y6199",149,142
"484","72901",148,136
"485","01220",147,77
"486","72904",147,104
"487","E9599",147,123
"488","23399",146,138
"489","81321",146,124
"490","56909",145,132
"491","67798",145,138
"492","69520",143,123
"493","65590",142,137
"494","70099",142,136
"495","74900",142,78
"496","81200",142,113
"497","E9202",142,112
"498","30120",141,80
"499","46300",141,129
"500","61001",141,129
"501","67299",141,138
"502","30110",140,62
"503","44020",140,83
"504","97940",140,121
"505","29700",139,73
"506","53509",138,127
"507","66120",138,133
"508","78679",137,128
"509","36802",136,111
"510","45309",136,119
"511","56499",136,123
"512","69240",136,98
"513","E9200",136,123
"514","E9809",136,125
"515","31199",135,45
"516","0",134,129
"517","24209",134,101
"518","37720",134,94
"519","56600",134,103
"520","59199",134,76
"521","63298",134,124
"522","70899",134,124
"523","75561",134,48
"524","E9100",134,116
"525","71308",133,119
"526","81500",133,123
"527","62202",132,127
"528","75400",132,52
"529","83101",132,111
"530","72909",131,112
"531","49101",130,106
"532","72519",130,111
"533","74719",130,65
"534","25005",128,46
"535","75348",128,61
"536","22005",127,123
"537","30530",127,113
"538","38599",127,102
"539","46104",127,111
"540","38798",126,109
"541","53094",126,109
"542","88210",126,109
"543","46101",124,109
"544","52250",123,121
"545","79301",123,105
"546","E9999",123,31
"547","37520",122,52
"548","45001",122,83
"549","64510",122,117
"550","78250",121,113
"551","30030",120,53
"552","41000",120,108
"553","63400",120,108
"554","07988",119,113
"555","24200",119,71
"556","34598",119,70
"557","37402",119,86
"558","37600",119,72
"559","43300",119,61
"560","74484",119,101
"561","53290",118,85
"562","61620",118,115
"563","71498",118,87
"564","01210",117,57
"565","20400",117,14
"566","37898",117,97
"567","52100",117,105
"568","52800",117,113
"569","74920",117,41
"570","82490",117,100
"571","27510",116,8
"572","44300",116,106
"573","43090",115,69
"574","63710",115,103
"575","65730",115,105
"576","73804",115,111
"577","83100",115,97
"578","21020",114,97
"579","28719",114,56
"580","28930",114,101
"581","30430",114,77
"582","48298",114,105
"583","61008",114,106
"584","87376",114,113
"585","34400",113,74
"586","78620",113,92
"587","E9299",113,100
"588","26910",112,94
"589","37872",112,70
"590","65780",112,109
"591","05710",111,111
"592","43099",111,74
"593","56399",111,77
"594","28700",110,75
"595","35700",110,92
"596","72498",110,96
"597","79900",110,107
"598","82310",110,72
"599","88110",110,88
"600","E9209",110,98
"601","26998",109,76
"602","46201",109,104
"603","62539",109,97
"604","34301",108,30
"605","38990",108,69
"606","41201",108,68
"607","60798",108,98
"608","62130",108,101
"609","55120",107,103
"610","36402",106,59
"611","54200",106,101
"612","65380",106,105
"613","68104",106,88
"614","78419",106,82
"615","89110",106,92
"616","96000",106,105
"617","97090",106,92
"618","Y3498",106,78
"619","21140",105,86
"620","31009",105,49
"621","42728",105,72
"622","48199",105,98
"623","56899",105,91
"624","63599",105,100
"625","70610",105,82
"626","74629",105,31
"627","04599",104,101
"628","51709",104,34
"629","71720",104,87
"630","82000",104,74
"631","92900",104,101
"632","01710",103,49
"633","05599",103,100
"634","29620",103,67
"635","56411",103,96
"636","81600",103,100
"637","32088",102,96
"638","53699",102,94
"639","61499",102,95
"640","05402",101,91
"641","29100",101,82
"642","41199",101,77
"643","49104",101,48
"644","59098",101,81
"645","62300",101,92
"646","88300",101,92
"647","59201",100,68
"648","82501",100,87
"649","E9159",100,74
"650","29699",99,64
"651","68409",99,90
"652","82390",99,67
"653","79309",98,83
"654","13199",97,94
"655","21306",97,80
"656","30650",97,42
"657","37002",97,77
"658","42799",97,72
"659","62611",97,84
"660","25004",96,41
"661","59320",96,74
"662","72499",96,88
"663","30920",95,51
"664","53199",95,80
"665","61111",95,86
"666","72500",95,69
"667","72810",95,84
"668","78400",95,53
"669","78890",95,77
"670","80500",95,76
"671","42299",94,73
"672","60301",94,91
"673","63111",94,87
"674","63799",94,91
"675","71309",94,71
"676","73300",94,28
"677","79300",94,92
"678","83190",94,80
"679","Y7999",94,79
"680","28008",93,79
"681","46109",93,86
"682","74709",93,65
"683","30398",92,73
"684","37302",92,76
"685","46409",92,87
"686","62399",92,87
"687","66020",92,90
"688","E9069",92,81
"689","Y3299",92,88
"690","Y4309",92,91
"691","34791",91,50
"692","42297",91,75
"693","50501",91,82
"694","62090",91,89
"695","78060",91,82
"696","82190",91,68
"697","00300",90,85
"698","21503",90,85
"699","56908",90,81
"700","59509",90,82
"701","65690",90,89
"702","69200",90,82
"703","81610",90,79
"704","E9499",90,88
"705","29120",89,72
"706","59209",89,78
"707","60109",89,84
"708","E9149",89,83
"709","52720",88,81
"710","56210",88,58
"711","57308",88,70
"712","57402",88,82
"713","62598",88,81
"714","Y5099",88,82
"715","18099",87,51
"716","21606",87,75
"717","24400",87,41
"718","62640",87,84
"719","68408",87,81
"720","82500",87,75
"721","85090",87,80
"722","89100",87,78
"723","E8839",87,76
"724","Y3409",87,56
"725","23599",86,80
"726","24220",86,63
"727","52280",86,83
"728","52750",86,77
"729","56211",86,70
"730","61199",86,81
"731","63800",86,67
"732","73491",86,42
"733","75240",86,80
"734","75340",86,62
"735","82391",86,56
"736","82410",86,70
"737","84800",86,84
"738","92300",86,78
"739","41209",85,61
"740","78810",85,77
"741","00921",84,75
"742","17071",84,10
"743","42509",84,48
"744","53198",84,67
"745","55100",84,79
"746","78610",84,63
"747","21210",83,33
"748","24599",83,67
"749","50609",83,71
"750","60401",83,81
"751","65480",83,75
"752","70620",83,77
"753","80290",83,76
"754","30550",82,66
"755","36009",82,75
"756","45698",82,78
"757","60760",82,80
"758","70908",82,53
"759","Y0199",82,75
"760","56902",81,60
"761","65001",81,81
"762","67791",81,77
"763","78450",81,78
"764","00898",80,76
"765","11006",80,74
"766","65406",80,78
"767","83690",80,59
"768","18699",79,31
"769","36000",79,75
"770","50702",79,69
"771","51998",79,52
"772","62810",79,62
"773","71105",79,66
"774","72850",79,73
"775","74663",79,45
"776","Y0299",79,67
"777","26900",78,37
"778","35008",78,66
"779","40599",78,74
"780","56099",78,74
"781","68600",78,71
"782","69700",78,51
"783","75710",78,55
"784","91000",78,76
"785","05405",77,58
"786","34519",77,54
"787","43500",77,63
"788","50000",77,75
"789","60101",77,57
"790","60508",77,74
"791","71303",77,64
"792","74924",77,18
"793","75220",77,43
"794","78320",77,62
"795","82121",77,59
"796","18899",76,22
"797","22120",76,73
"798","24099",76,70
"799","64499",76,75
"800","81221",76,55
"801","86600",76,72
"802","09808",75,72
"803","36703",75,57
"804","48499",75,68
"805","73100",75,74
"806","81490",75,55
"807","99860",75,56
"808","18200",74,27
"809","30499",74,51
"810","60100",74,63
"811","70800",74,58
"812","85200",74,52
"813","24509",73,60
"814","34300",73,37
"815","59328",73,56
"816","73103",73,59
"817","73104",73,71
"818","97920",73,67
"819","E9289",73,59
"820","09801",72,71
"821","30670",72,45
"822","49102",72,52
"823","52430",72,62
"824","60770",72,65
"825","69399",72,49
"826","73699",72,58
"827","78161",72,59
"828","00998",71,69
"829","03992",71,61
"830","25200",71,39
"831","30488",71,51
"832","33098",71,21
"833","34408",71,46
"834","55299",71,66
"835","56108",71,63
"836","62610",71,66
"837","68200",71,67
"838","74588",71,63
"839","88290",71,62
"840","22620",70,21
"841","32309",70,52
"842","51120",70,47
"843","56100",70,61
"844","57608",70,64
"845","67801",70,69
"846","73809",70,62
"847","87002",70,66
"848","94520",70,62
"849","30150",69,40
"850","59011",69,63
"851","61009",69,64
"852","74699",69,39
"853","87011",69,60
"854","88100",69,61
"855","65714",68,67
"856","87000",68,67
"857","97888",68,65
"858","00880",67,67
"859","07509",67,66
"860","12340",67,61
"861","38790",67,58
"862","46301",67,67
"863","48399",67,61
"864","60309",67,62
"865","66186",67,67
"866","81390",67,51
"867","87001",67,62
"868","Y7109",67,58
"869","22899",66,57
"870","30610",66,42
"871","37512",66,28
"872","62520",66,65
"873","89210",66,59
"874","23400",65,45
"875","30070",65,38
"876","50701",65,61
"877","60699",65,60
"878","70130",65,51
"879","93900",65,54
"880","07209",64,62
"881","20298",64,20
"882","22550",64,52
"883","30130",64,25
"884","35508",64,60
"885","41097",64,56
"886","57501",64,63
"887","07009",63,50
"888","28910",63,61
"889","34308",63,27
"890","38008",63,56
"891","65790",63,61
"892","72209",63,51
"893","74619",63,20
"894","21504",62,51
"895","25510",62,17
"896","37403",62,44
"897","38200",62,59
"898","53192",62,44
"899","61301",62,54
"900","62330",62,57
"901","63598",62,62
"902","72299",62,56
"903","82002",62,42
"904","Y1908",62,51
"905","00306",61,57
"906","07900",61,59
"907","30599",61,56
"908","34539",61,38
"909","35409",61,49
"910","56095",61,54
"911","63420",61,35
"912","75630",61,37
"913","94220",61,58
"914","Y3999",61,53
"915","05200",60,59
"916","09809",60,60
"917","21604",60,51
"918","50809",60,56
"919","52698",60,53
"920","63490",60,49
"921","75100",60,58
"922","88200",60,56
"923","01101",59,44
"924","21600",59,54
