concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi
1,ICD8 Finnish modification,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA
5,3-digit ICD8fi,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA
6,4-digit ICD8fi,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA
7,5-digit ICD8fi,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA
8,Cholera,Condition,ICD8fi,3-digit ICD8fi,NA,000,1970-01-01,2299-11-03,NA,Kolera
9,Classical Cholera,Condition,ICD8fi,5-digit ICD8fi,NA,00001,1970-01-01,2299-11-03,NA,"Kolera, Classica"
10,"Cholera, El Tor",Condition,ICD8fi,5-digit ICD8fi,NA,00010,1970-01-01,2299-11-03,NA,"Kolera, El Tor"
11,"Cholera, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00097,1970-01-01,2299-11-03,NA,"Kolera, Suspecta"
12,"Cholera, Unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,00099,1970-01-01,2299-11-03,NA,"Kolera, NUD"
13,Typhoid fever,Condition,ICD8fi,3-digit ICD8fi,NA,001,1970-01-01,2299-11-03,NA,Lavantauti
14,"Typhoid fever, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00197,1970-01-01,2299-11-03,NA,"Lavantauti, Suspecta"
15,"Typhoid fever, Unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,00199,1970-01-01,2299-11-03,NA,"Lavantauti, NUD"
16,Paratyphoid fever,Condition,ICD8fi,3-digit ICD8fi,NA,002,1970-01-01,2299-11-03,NA,Pikkulavantauti
17,Paratyphoid fever A,Condition,ICD8fi,5-digit ICD8fi,NA,00200,1970-01-01,2299-11-03,NA,"Pikkulavantauti, Typus A"
18,Paratyphoid fever B,Condition,ICD8fi,5-digit ICD8fi,NA,00210,1970-01-01,2299-11-03,NA,"Pikkulavantauti, Typus B"
19,Paratyphoid fever C,Condition,ICD8fi,5-digit ICD8fi,NA,00220,1970-01-01,2299-11-03,NA,"Pikkulavantauti, Typus C"
20,"Paratyphoid fever, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00297,1970-01-01,2299-11-03,NA,"Pikkulavantauti, Suspecta"
21,Paratyphoid fever unspecified,Condition,ICD8fi,5-digit ICD8fi,NA,00299,1970-01-01,2299-11-03,NA,"Pikkulavantauti, NUD"
22,Other Salmonella infections,Condition,ICD8fi,3-digit ICD8fi,NA,003,1970-01-01,2299-11-03,NA,Muut salmonellataudit
