Code	DF6_Freq	Latin	Finnish	Swedish	English	Uncertain_language	Needs_LAT_trans	Finnish_requires_review	Needs_FIN_trans	English_requires_review	needs_ENG_trans	Comments
	NA						0	0	0	0	0	
000-136	0	I.  Morbi infectiosi et parasitarii	I. Tartunta- ja loistaudit	I. Infektionssjukdomar och parasitära sjukdomar			0	0	0	1	1	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
000-009	0	MORBI INFECTIOSI EX ORIGINE INTESTINALI			Intestinal infectious diseases		0	1	1	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
000	0	Cholera	Kolera	Kolera	Cholera		0	0	0	0	0	
	NA						0	0	0	0	0	
00001	0	Cholera, Classica	Kolera, Classica		Classical Cholera		0	1	0	0	0	
00010	0	Cholera, El Tor	Kolera, El Tor		Cholera, El Tor		0	1	0	0	0	
00097	0	Cholera, Suspecta	Kolera, Suspecta		Cholera, Suspecta		0	1	0	1	0	
00099	2	Cholera, NUD	Kolera, NUD		Cholera, Unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
001	0	Febris typhoides	Lavantauti	Tyfoidfeber	Typhoid fever		0	0	0	0	0	
	NA						0	0	0	0	0	
00197	1	Febris typhoides, Suspecta	Lavantauti, Suspecta		Typhoid fever, Suspecta		0	1	0	1	0	
00199	9	Febris typhoides, NUD	Lavantauti, NUD		Typhoid fever, Unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
002	0	Febris paratyphoides	Pikkulavantauti	Paratyfoidfeber	Paratyphoid fever		0	0	0	0	0	
	NA						0	0	0	0	0	
00200	0	Febris paratyphoides, Typus A	Pikkulavantauti, Typus A		Paratyphoid fever A		0	1	0	0	0	
00210	16	Febris paratyphoides, Typus B	Pikkulavantauti, Typus B		Paratyphoid fever B		0	1	0	0	0	
00220	2	Febris paratyphoides, Typus C	Pikkulavantauti, Typus C		Paratyphoid fever C		0	1	0	0	0	
00297	0	Febris paratyphoides, Suspecta	Pikkulavantauti, Suspecta		Paratyphoid fever, Suspecta		0	1	0	1	0	
00299	7	Febris paratyphoides, NUD	Pikkulavantauti, NUD		Paratyphoid fever unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
003	0	Salmonellosis alia	Muut salmonellataudit	 Annan salmonellainfektion	Other Salmonella infections		0	0	0	0	0	
	NA						0	0	0	0	0	
0030	0	Salmonellosis alia, Causa alimentaria	Muut salmonellataudit, Elintarvikkeista	 Annan salmonellainfektion, Av fodoämmen	Other Salmonella infections, With food as vehicle of infection		0	0	0	0	0	
	NA						0	0	0	0	0	
00300	107	Salmonellosis alia, Causa alimentaria Breslau (typhi murium)	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Breslau (typhi murium)		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Breslau (typhi murium)		0	1	0	1	0	
00301	0	Salmonellosis alia, Causa alimentaria Oranienburg	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Oranienburg		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Oranienburg		0	1	0	1	0	
00302	3	Salmonellosis alia, Causa alimentaria Montevideo	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Montevideo		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Montevideo		0	1	0	1	0	
00303	0	Salmonellosis alia, Causa alimentaria Newcastle	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Newcastle		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Newcastle		0	1	0	1	0	
00304	24	Salmonellosis alia, Causa alimentaria enteritidis Gärtner	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria enteritidis Gärtner		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria enteritidis Gärtner		0	1	0	1	0	
00305	0	Salmonellosis alia, Causa alimentaria cholerae suis	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria cholerae suis		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria cholerae suis		0	1	0	1	0	
00306	70	Salmonellosis alia, Causa alimentaria alia	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria alia		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria alia		0	1	0	1	0	
00307	10	Salmonellosis alia, Causa alimentaria suspecta	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria suspecta		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria suspecta		0	1	0	1	0	
00309	34	Salmonellosis alia, Causa alimentaria NUD	Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria NUD		Other Salmonella infections, With food as vehicle of infection, Causa alimentaria NUD		0	1	0	1	0	
	NA						0	0	0	0	0	
0039	0	Salmonellosis alia, Causa alimentaria non indicata	Muut salmonellataudit	Annan salmonellainfektion	Other Salmonella infections, Without mention of food as vehicle of infection		0	0	0	0	0	
	NA						0	0	0	0	0	
00390	26	Salmonellosis alia, Causa alimentaria non indicata, Breslau (typhi murium)	Muut salmonellataudit, Breslau (typhi murium)		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Breslau (typhi murium)		0	1	0	1	0	
00391	0	Salmonellosis alia, Causa alimentaria non indicata, Oranienburg	Muut salmonellataudit, Oranienburg		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Oranienburg		0	1	0	1	0	
00392	1	Salmonellosis alia, Causa alimentaria non indicata, Montevideo	Muut salmonellataudit, Montevideo		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Montevideo		0	1	0	1	0	
00393	0	Salmonellosis alia, Causa alimentaria non indicata, Newcastle	Muut salmonellataudit, Newcastle		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Newcastle		0	1	0	1	0	
00394	0	Salmonellosis alia, Causa alimentaria non indicata, enteritidis Gärtner	Muut salmonellataudit, enteritidis Gärtner		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, enteritidis Gärtner		0	1	0	1	0	
00395	0	Salmonellosis alia, Causa alimentaria non indicata, cholerae suis	Muut salmonellataudit, cholerae suis		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, cholerae suis		0	1	0	1	0	
00396	10	Salmonellosis alia, Causa alimentaria non indicata, alia	Muut salmonellataudit, alia		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, alia		0	1	0	1	0	
00397	5	Salmonellosis alia, Causa alimentaria non indicata, suspecta	Muut salmonellataudit, suspecta		Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, suspecta		0	1	0	1	0	
00399	27	Salmonellosis alia, Causa alimentaria non indicata, NUD	Muut salmonellataudit, NUD		Other Salmonella infections, Without mention of food as vehicle of infection, UNS		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
004	0	Dysenteria bacillaris	Basillipunatauti, punatauti	Bacillär dysenteri, rödsot	Bacillary dysentery		0	0	0	0	0	
	NA						0	0	0	0	0	
00400	0	Dysenteria bacillaris, Shiga	Basillipunatauti, punatauti, Shiga		Bacillary dysentery, Shiga		0	1	0	0	0	
00410	6	Dysenteria bacillaris, Flexner	Basillipunatauti, punatauti, Flexner		Bacillary dysentery, Flexner		0	1	0	0	0	
00420	10	Dysenteria bacillaris, Boyd	Basillipunatauti, punatauti, Boyd		Bacillary dysentery, Boyd		0	1	0	0	0	
00430	13	Dysenteria bacillaris, Sonne	Basillipunatauti, punatauti, Sonne		Bacillary dysentery, Soone		0	1	0	0	0	
00440	0	Dysenteria bacillaris, Schmitz Stutzer	Basillipunatauti, punatauti, Schmitz Stutzer		Bacillary dysentery, Schmitz-(Stutzer)		0	1	0	0	0	
00480	0	Dysenteria bacillaris, Alia	Basillipunatauti, punatauti, Alia		Bacillary dysentery, Other bacillary		0	1	0	0	0	
00497	5	Dysenteria bacillaris, Suspecta	Basillipunatauti, punatauti, Suspecta		Bacillary dysentery, Suspecta		0	1	0	1	0	
00499	7	Dysenteria bacillaris, NUD	Basillipunatauti, punatauti, NUD		Bacillary dysentery, Unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
005	0	Intoxicatio alimentaria bacillaris acuta	Äkillinen ruokamyrkytys	Akut födoämnesförgiftning	Food poisoning (bacterial)		0	0	0	0	0	
	NA						0	0	0	0	0	
00500	2	Intoxicatio alimentaria bacillaris acuta, Staphylococcica	Äkillinen ruokamyrkytys, Staphylococcica		Food poisoning (bacterial), Staphylococcal		0	1	0	0	0	
00510	0	Intoxicatio alimentaria bacillaris acuta, Botulismus	Äkillinen ruokamyrkytys, Botulismus		Food poisoning (bacterial), Botulism		0	1	0	0	0	
00520	3	Intoxicatio alimentaria bacillaris acuta, Aliae clostridicae	Äkillinen ruokamyrkytys, Aliae clostridicae		Food poisoning (bacterial), Due to other clostridia		0	1	0	0	0	
00580	1	Intoxicatio alimentaria bacillaris acuta, Aliae bactericae	Äkillinen ruokamyrkytys, Aliae bactericae		Food poisoning (bacterial), Other specified bacterial food poisoning		0	1	0	0	0	
00597	10	Intoxicatio alimentaria bacillaris acuta, Suspecta	Äkillinen ruokamyrkytys, Suspecta		Food poisoning (bacterial), Suspecta		0	1	0	1	0	
00599	17	Intoxicatio alimentaria bacillaris acuta, NUD	Äkillinen ruokamyrkytys, NUD		Food poisoning (bacterial), Food poisoning, unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
006	0	Amoebiasis	Ameebatauti	Amöbiasis	Amoebiasis		0	0	0	0	0	
	NA						0	0	0	0	0	
00600	0	Amoebiasis, Cum abscessu hepatis	Ameebatauti, Cum abscessu hepatis		Amoebiasis, With liver abscess		0	1	0	0	0	
00690	6	Amoebiasis, Sine abscessu hepatis	Ameebatauti, Sine abscessu hepatis		Amoebiasis, Sine abscessu hepatis		0	1	0	1	0	
00697	3	Amoebiasis, Suspecta	Ameebatauti, Suspecta		Amoebiasis, Suspecta		0	1	0	1	0	
00699	4	Amoebiasis, NUD	Ameebatauti, NUD		Amoebiasis, Without mention of liver abscess		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
007	0	Morbi protozoici intestinales alii	Muut alkueläinten aiheuttamat suolistotaudit	Andra protozosjukdomar i tarmen	Other protozoal intestinal diseases		0	0	0	0	0	
	NA						0	0	0	0	0	
00700	0	Morbi protozoici intestinales alii, Balantidiasis	Muut alkueläinten aiheuttamat suolistotaudit, Balantidiasis		Other protozoal intestinal diseases, Balantidiasis		0	1	0	0	0	
00710	29	Morbi protozoici intestinales alii, Giardiasis, Lambliasis	Muut alkueläinten aiheuttamat suolistotaudit, Giardiasis, Lambliasis		Other protozoal intestinal diseases, Giardiasis		0	1	0	0	0	
00720	0	Morbi protozoici intestinales alii, Coccidiosis	Muut alkueläinten aiheuttamat suolistotaudit, Coccidiosis		Other protozoal intestinal diseases, Coccidiosis		0	1	0	0	0	
00796	0	Morbi protozoici intestinales alii, Alia	Muut alkueläinten aiheuttamat suolistotaudit, Alia		Other protozoal intestinal diseases, Alia		0	1	0	1	0	
