code,name_la,name_fi,name_en,name_se,name_en_source
000-136,I.  Morbi infectiosi et parasitarii,I. Tartunta- ja loistaudit,NA,I. Infektionssjukdomar och parasitära sjukdomar,TODO:Google
000-009,MORBI INFECTIOSI EX ORIGINE INTESTINALI,NA,Intestinal infectious diseases,NA,THL
000,Cholera,Kolera,Cholera,Kolera,THL
00001,"Cholera, Classica","Kolera, Classica",Classical Cholera,NA,THL
00010,"Cholera, El Tor","Kolera, El Tor","Cholera, El Tor",NA,THL
00097,"Cholera, Suspecta","Kolera, Suspecta","Cholera, Suspecta",NA,THL
00099,"Cholera, NUD","Kolera, NUD","Cholera, Unspecified",NA,THL
001,Febris typhoides,Lavantauti,Typhoid fever,Tyfoidfeber,THL
00197,"Febris typhoides, Suspecta","Lavantauti, Suspecta","Typhoid fever, Suspecta",NA,THL
00199,"Febris typhoides, NUD","Lavantauti, NUD","Typhoid fever, Unspecified",NA,THL
002,Febris paratyphoides,Pikkulavantauti,Paratyphoid fever,Paratyfoidfeber,THL
00200,"Febris paratyphoides, Typus A","Pikkulavantauti, Typus A",Paratyphoid fever A,NA,THL
00210,"Febris paratyphoides, Typus B","Pikkulavantauti, Typus B",Paratyphoid fever B,NA,THL
00220,"Febris paratyphoides, Typus C","Pikkulavantauti, Typus C",Paratyphoid fever C,NA,THL
00297,"Febris paratyphoides, Suspecta","Pikkulavantauti, Suspecta","Paratyphoid fever, Suspecta",NA,THL
00299,"Febris paratyphoides, NUD","Pikkulavantauti, NUD",Paratyphoid fever unspecified,NA,THL
003,Salmonellosis alia,Muut salmonellataudit,Other Salmonella infections,Annan salmonellainfektion,THL
0030,"Salmonellosis alia, Causa alimentaria","Muut salmonellataudit, Elintarvikkeista","Other Salmonella infections, With food as vehicle of infection","Annan salmonellainfektion, Av fodoämmen",THL
00300,"Salmonellosis alia, Causa alimentaria Breslau (typhi murium)","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Breslau (typhi murium)","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Breslau (typhi murium)",NA,THL
00301,"Salmonellosis alia, Causa alimentaria Oranienburg","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Oranienburg","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Oranienburg",NA,THL
00302,"Salmonellosis alia, Causa alimentaria Montevideo","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Montevideo","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Montevideo",NA,THL
00303,"Salmonellosis alia, Causa alimentaria Newcastle","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Newcastle","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Newcastle",NA,THL
00304,"Salmonellosis alia, Causa alimentaria enteritidis Gärtner","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria enteritidis Gärtner","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria enteritidis Gärtner",NA,THL
00305,"Salmonellosis alia, Causa alimentaria cholerae suis","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria cholerae suis","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria cholerae suis",NA,THL
00306,"Salmonellosis alia, Causa alimentaria alia","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria alia","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria alia",NA,THL
00307,"Salmonellosis alia, Causa alimentaria suspecta","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria suspecta","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria suspecta",NA,THL
00309,"Salmonellosis alia, Causa alimentaria NUD","Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria NUD","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria NUD",NA,THL
0039,"Salmonellosis alia, Causa alimentaria non indicata",Muut salmonellataudit,"Other Salmonella infections, Without mention of food as vehicle of infection",Annan salmonellainfektion,THL
00390,"Salmonellosis alia, Causa alimentaria non indicata, Breslau (typhi murium)","Muut salmonellataudit, Breslau (typhi murium)","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Breslau (typhi murium)",NA,THL
00391,"Salmonellosis alia, Causa alimentaria non indicata, Oranienburg","Muut salmonellataudit, Oranienburg","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Oranienburg",NA,THL
00392,"Salmonellosis alia, Causa alimentaria non indicata, Montevideo","Muut salmonellataudit, Montevideo","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Montevideo",NA,THL
00393,"Salmonellosis alia, Causa alimentaria non indicata, Newcastle","Muut salmonellataudit, Newcastle","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Newcastle",NA,THL
00394,"Salmonellosis alia, Causa alimentaria non indicata, enteritidis Gärtner","Muut salmonellataudit, enteritidis Gärtner","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, enteritidis Gärtner",NA,THL
00395,"Salmonellosis alia, Causa alimentaria non indicata, cholerae suis","Muut salmonellataudit, cholerae suis","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, cholerae suis",NA,THL
00396,"Salmonellosis alia, Causa alimentaria non indicata, alia","Muut salmonellataudit, alia","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, alia",NA,THL
00397,"Salmonellosis alia, Causa alimentaria non indicata, suspecta","Muut salmonellataudit, suspecta","Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, suspecta",NA,THL
00399,"Salmonellosis alia, Causa alimentaria non indicata, NUD","Muut salmonellataudit, NUD","Other Salmonella infections, Without mention of food as vehicle of infection, UNS",NA,THL
004,Dysenteria bacillaris,"Basillipunatauti, punatauti",Bacillary dysentery,"Bacillär dysenteri, rödsot",THL
00400,"Dysenteria bacillaris, Shiga","Basillipunatauti, punatauti, Shiga","Bacillary dysentery, Shiga",NA,THL
00410,"Dysenteria bacillaris, Flexner","Basillipunatauti, punatauti, Flexner","Bacillary dysentery, Flexner",NA,THL
00420,"Dysenteria bacillaris, Boyd","Basillipunatauti, punatauti, Boyd","Bacillary dysentery, Boyd",NA,THL
00430,"Dysenteria bacillaris, Sonne","Basillipunatauti, punatauti, Sonne","Bacillary dysentery, Soone",NA,THL
00440,"Dysenteria bacillaris, Schmitz Stutzer","Basillipunatauti, punatauti, Schmitz Stutzer","Bacillary dysentery, Schmitz-(Stutzer)",NA,THL
00480,"Dysenteria bacillaris, Alia","Basillipunatauti, punatauti, Alia","Bacillary dysentery, Other bacillary",NA,THL
00497,"Dysenteria bacillaris, Suspecta","Basillipunatauti, punatauti, Suspecta","Bacillary dysentery, Suspecta",NA,THL
00499,"Dysenteria bacillaris, NUD","Basillipunatauti, punatauti, NUD","Bacillary dysentery, Unspecified",NA,THL
005,Intoxicatio alimentaria bacillaris acuta,Äkillinen ruokamyrkytys,Food poisoning (bacterial),Akut födoämnesförgiftning,THL
00500,"Intoxicatio alimentaria bacillaris acuta, Staphylococcica","Äkillinen ruokamyrkytys, Staphylococcica","Food poisoning (bacterial), Staphylococcal",NA,THL
00510,"Intoxicatio alimentaria bacillaris acuta, Botulismus","Äkillinen ruokamyrkytys, Botulismus","Food poisoning (bacterial), Botulism",NA,THL
00520,"Intoxicatio alimentaria bacillaris acuta, Aliae clostridicae","Äkillinen ruokamyrkytys, Aliae clostridicae","Food poisoning (bacterial), Due to other clostridia",NA,THL
00580,"Intoxicatio alimentaria bacillaris acuta, Aliae bactericae","Äkillinen ruokamyrkytys, Aliae bactericae","Food poisoning (bacterial), Other specified bacterial food poisoning",NA,THL
00597,"Intoxicatio alimentaria bacillaris acuta, Suspecta","Äkillinen ruokamyrkytys, Suspecta","Food poisoning (bacterial), Suspecta",NA,THL
00599,"Intoxicatio alimentaria bacillaris acuta, NUD","Äkillinen ruokamyrkytys, NUD","Food poisoning (bacterial), Food poisoning, unspecified",NA,THL
006,Amoebiasis,Ameebatauti,Amoebiasis,Amöbiasis,THL
00600,"Amoebiasis, Cum abscessu hepatis","Ameebatauti, Cum abscessu hepatis","Amoebiasis, With liver abscess",NA,THL
00690,"Amoebiasis, Sine abscessu hepatis","Ameebatauti, Sine abscessu hepatis","Amoebiasis, Sine abscessu hepatis",NA,THL
00697,"Amoebiasis, Suspecta","Ameebatauti, Suspecta","Amoebiasis, Suspecta",NA,THL
00699,"Amoebiasis, NUD","Ameebatauti, NUD","Amoebiasis, Without mention of liver abscess",NA,THL
007,Morbi protozoici intestinales alii,Muut alkueläinten aiheuttamat suolistotaudit,Other protozoal intestinal diseases,Andra protozosjukdomar i tarmen,THL
00700,"Morbi protozoici intestinales alii, Balantidiasis","Muut alkueläinten aiheuttamat suolistotaudit, Balantidiasis","Other protozoal intestinal diseases, Balantidiasis",NA,THL
00710,"Morbi protozoici intestinales alii, Giardiasis, Lambliasis","Muut alkueläinten aiheuttamat suolistotaudit, Giardiasis, Lambliasis","Other protozoal intestinal diseases, Giardiasis",NA,THL
00720,"Morbi protozoici intestinales alii, Coccidiosis","Muut alkueläinten aiheuttamat suolistotaudit, Coccidiosis","Other protozoal intestinal diseases, Coccidiosis",NA,THL
00796,"Morbi protozoici intestinales alii, Alia","Muut alkueläinten aiheuttamat suolistotaudit, Alia","Other protozoal intestinal diseases, Alia",NA,THL
00797,"Morbi protozoici intestinales alii, Suspecta","Muut alkueläinten aiheuttamat suolistotaudit, Suspecta","Other protozoal intestinal diseases, Suspecta",NA,THL
00799,"Morbi protozoici intestinales alii, NUD","Muut alkueläinten aiheuttamat suolistotaudit, NUD","Other protozoal intestinal diseases, Other and unspecified",NA,THL
008,Enteritis per organismata alia specificata,Muun tietyn eliön aiheuttama suolitulehdus,Enteritis due to other specified organism,Enteritis av annan specificerad organism,THL
00800,"Enteritis per organismata alia specificata, Escherichia coli","Muun tietyn eliön aiheuttama suolitulehdus, Escherichia coli","Enteritis due to other specified organism, Escherichia coli",NA,THL
00810,"Enteritis per organismata alia specificata, Arizona","Muun tietyn eliön aiheuttama suolitulehdus, Arizona","Enteritis due to other specified organism, Arizona",NA,THL
00820,"Enteritis per organismata alia specificata, Bacterica alia specificata","Muun tietyn eliön aiheuttama suolitulehdus, Bacterica alia specificata","Enteritis due to other specified organism, Other specified bacteria",NA,THL
00830,"Enteritis per organismata alia specificata, Bacterica NUD","Muun tietyn eliön aiheuttama suolitulehdus, Bacterica NUD","Enteritis due to other specified organism, Bacterial enteritis, unspecified",NA,THL
00880,"Enteritis per organismata alia specificata, Virosa specificata","Muun tietyn eliön aiheuttama suolitulehdus, Virosa specificata","Enteritis due to other specified organism, Enteritis due to specified virus",NA,THL
00898,"Enteritis per organismata alia specificata, Virosa NUD","Muun tietyn eliön aiheuttama suolitulehdus, Virosa NUD","Enteritis due to other specified organism, Other organism, not elsewhere classified",NA,THL
009,Diarrhoea,Ripuli,Diarrhoeal disease,Diarré,THL
00900,Diarrhoea dysenterica NUD,"Ripuli, Diarrhoea dysenterica NUD","Diarrhoeal disease, Dysentery, unspecified",NA,THL
00919,Diarrhoea NUD,"Ripuli, Diarrhoea NUD","Diarrhoeal disease, Diarrhoea",NA,THL
00920,"Diarrhoea, Gastroenteritis (acuta) (infectiosa)","Ripuli, Gastroenteritis (acuta) (infectiosa)","Diarrhoeal disease, Gastroenteritis (acuta) (infectiosa)",NA,THL
00921,"Diarrhoea, Enterocolitis sive colitis (acuta) (infectiosa)","Ripuli, Enterocolitis sive colitis (acuta) (infectiosa)","Diarrhoeal disease, Enterocolitis sive colitis (acuta) (infectiosa)",NA,THL
00998,Diarrhoea alia,"Ripuli, Diarrhoea alia",Other diarrhoeal disease,NA,THL
010-019,TUBERCULOSIS,Tuberkuloosi,Tuberculosis,Tuberkulos,THL
010,Silicotuberculosis,NA,Silicotuberculosis,NA,THL
01099,Silicotuberculosis,NA,Silicotuberculosis,NA,THL
011,Tuberculosis,Keuhkotuberkuloosi,Pulmonary tuberculosis,Lungtuberkulos,THL
01101,"Tuberculosis, Cavernosa","Keuhkotuberkuloosi, Cavernosa","Pulmonary tuberculosis, Cavernosa",NA,THL
01102,"Tuberculosis, Non cavernosa","Keuhkotuberkuloosi, Non cavernosa","Pulmonary tuberculosis, Non cavernosa",NA,THL
01103,"Tuberculosis, Bronchialis","Keuhkotuberkuloosi, Bronchialis","Pulmonary tuberculosis, Bronchialis",NA,THL
01104,"Tuberculosis, Tuberculoma pulmonum","Keuhkotuberkuloosi, Tuberculoma pulmonum","Pulmonary tuberculosis, Tuberculoma pulmonum",NA,THL
01105,"Tuberculosis, Disseminata pulmonum","Keuhkotuberkuloosi, Disseminata pulmonum","Pulmonary tuberculosis, Disseminata pulmonum",NA,THL
01106,"Tuberculosis, Pulmonum alia sive NUD","Keuhkotuberkuloosi, Pulmonum alia sive NUD","Pulmonary tuberculosis, Pulmonum alia sive NUD",NA,THL
01107,"Tuberculosis, Suspecta","Keuhkotuberkuloosi, Suspecta","Pulmonary tuberculosis, Suspecta",NA,THL
01109,Tuberculosis NUD,"Keuhkotuberkuloosi, Tuberculosis NUD","Pulmonary tuberculosis, Unspecified",NA,THL
012,Tuberculosis alia organorum respirationis,Muiden hengityselinten tuberkuloosi,Other respiratory tuberculosis,Tuberkulos i andra andningsorgan,THL
