Code,n_codes,freq_finngen_per,Finnish,English
65000,45761,10.53668%,"Synnytys, ei tietoa komplikaatiosta, Pää edellä, niska- tai takaraivotarjonta","Delivery without mention of complication, Occipital presentation"
50099,12916,2.97397%,Kitarisojen ja nielun kattorisan liikakasvu,Hypertrophy of tonsils and adenoids
45499,6934,1.59658%,"Suonikohjut alaraajoissa, Ulcus non indicata","Varicose veins of lower extremities, Other and unspecified, without ulcer"
25000,6297,1.44991%,"Sokeritauti, Sine complicatione","Diabetes mellitus, Sine complicatione"
64199,6134,1.41238%,"Muun laillisen syyn perusteella suoritettu raskauden keinokeskeytys, Muu laillinen syy","Abortion induced for other legal indications, Without mention of sepsis or toxaemia"
46599,5704,1.31337%,"Infektio ylemmissä hengitysteissä, useammassa tai tarkemmin määrittelemättömässä paikassa",Acute upper respiratory infection of multiple or unspecified sites
49300,5473,1.26018%,"Astma, Asthma bronchiale","Asthma, bronchiale"
Y6099,5080,1.16969%,Syntymää edeltävä hoito ja tutkimus (tavallinen raskaus),Prenatal care and observation
64091,4373,1.00690%,"Lääketieteellisestä syystä suoritettu raskauden keinokeskeytys, Heikkous (lääketiet-sosiaalinen syy)",NA
21899,4208,0.96891%,Kohdun sidekudoskasvain,Uterine fibroma
55099,3715,0.85540%,"Nivustyrä, kureutumisesta ei ole tietoa",Inguinal hernia without mention of obstruction
64399,3551,0.81763%,"Itsestään tapahtuva keskenmeno, Sepsi sive toxicosi non indicata","Spontaneous abortion, Without mention of sepsis or toxaemia"
E8859,3209,0.73889%,Kaatuminen samalla tasolla liukastumisen tai kompastumisen vuoksi,"Fall on same level from slipping, stumbling or tripping"
78559,3196,0.73589%,"Ruuansulatuskanavan alempien osien oireet, Colica abdominalis NUD","Symptoms referable to abdomen and lower gastro-intestinal tract, Colica abdominalis NUD"
00920,2977,0.68547%,"Ripuli, Gastroenteritis (acuta) (infectiosa)","Diarrhoeal disease, Gastroenteritis (acuta) (infectiosa)"
78551,2936,0.67603%,"Ruuansulatuskanavan alempien osien oireet, Symptomata abdominalis acuta NUD","Symptoms referable to abdomen and lower gastro-intestinal tract, Symptomata abdominalis acuta NUD"
72410,2669,0.61455%,"Nivelkierukka- ja muut nivelrustosairaudet, Genus","Internal derangement of joint, Other shoulder derangement"
54099,2627,0.60488%,"Äkillinen umpilisäkkeentulehdus, NUD","Acute appendicitis, Without mention of peritonitis"
72510,2525,0.58139%,"Nikamanvälilevyn luiskahdukset, Lumbalis cum prolapsu disci","Displacement of intervertebral disk, Lumbalis cum prolapsu disci"
62660,2357,0.54271%,"Kuukautishäiriöt, Metrorrhagia inter menstruationem","Disorders of menstruation, Intermenstrual bleeding"
63497,2334,0.53741%,"Muut raskaudenajan lisätaudit, Partus prematurus imminens, alibi non classificabilis","Other complications of pregnancy, Partus prematurus imminens, alibi non classificabilis"
63230,2304,0.53051%,"Raskaudentilaan liittyvä verenvuoto, Abortus immimens (cum haemorrhagia)","Haemorrhage of pregnancy, Threatened abortion"
46309,2286,0.52636%,"Äkillinen kitarisantulehdus, NUD","Acute tonsillitis, Unspecified"
45599,2243,0.51646%,Peräpukamat,Haemorrhoids
38100,2224,0.51209%,"Keskikorvan tulehdus ilman kartiolisäkkeen tulehduksen oireita, Acuta","Otitis media without mention of mastoiditis, Acute"
40199,2211,0.50909%,Hyvänlaatuinen itsenäinen verenpainetauti,Essential benign hypertension
85000,2203,0.50725%,"Aivontärähdys, Ei-Komplis. (tai tark. Määrittelemätön)","Concussion, Current or unspecified"
