concept_code,freq,freq_per
00000,2402,0.553%
62550,501,0.115%
38699,395,0.091%
71700,308,0.071%
13300,272,0.063%
61200,238,0.055%
66170,221,0.051%
64094,162,0.037%
62551,155,0.036%
46300,141,0.032%
0,134,0.031%
22005,127,0.029%
64510,122,0.028%
79900,110,0.025%
62810,79,0.018%
Y0299,79,0.018%
40599,78,0.018%
50000,77,0.018%
61009,69,0.016%
22010,57,0.013%
62192,54,0.012%
40099,49,0.011%
84590,48,0.011%
64599,46,0.011%
21920,45,0.010%
75719,45,0.010%
50700,44,0.010%
64570,44,0.010%
04300,43,0.010%
62392,41,0.009%
T9999,41,0.009%
62804,40,0.009%
65060,39,0.009%
22002,38,0.009%
40609,37,0.009%
22001,36,0.008%
46199,35,0.008%
Y4399,35,0.008%
0110K,34,0.008%
21901,34,0.008%
40209,34,0.008%
84490,34,0.008%
61670,33,0.008%
66160,33,0.008%
0110A,32,0.007%
29688,32,0.007%
57404,32,0.007%
46509,30,0.007%
62814,30,0.007%
Y6009,30,0.007%
46399,29,0.007%
52066,29,0.007%
73199,29,0.007%
41901,27,0.006%
49310,27,0.006%
22122,26,0.006%
35000,26,0.006%
43609,26,0.006%
55090,26,0.006%
22121,25,0.006%
62690,25,0.006%
67003,25,0.006%
40699,24,0.006%
49000,24,0.006%
52065,23,0.005%
75343,23,0.005%
46305,22,0.005%
63797,22,0.005%
65010,22,0.005%
21800,20,0.005%
44301,20,0.005%
61300,20,0.005%
64394,20,0.005%
78599,20,0.005%
64520,19,0.004%
05600,18,0.004%
44308,18,0.004%
49340,18,0.004%
62199,18,0.004%
0110J,17,0.004%
40999,17,0.004%
40899,16,0.004%
41202,16,0.004%
46500,16,0.004%
46609,16,0.004%
63711,16,0.004%
73791,16,0.004%
18000,15,0.003%
41908,15,0.003%
46200,15,0.003%
73399,15,0.003%
E8559,15,0.003%
29588,14,0.003%
34209,14,0.003%
38410,14,0.003%
40100,14,0.003%
46208,14,0.003%
48599,14,0.003%
50409,14,0.003%
62601,14,0.003%
Y,14,0.003%
22012,13,0.003%
45000,13,0.003%
48500,13,0.003%
54009,13,0.003%
84410,13,0.003%
34600,12,0.003%
45099,12,0.003%
45590,12,0.003%
47009,12,0.003%
50600,12,0.003%
55000,12,0.003%
73999,12,0.003%
Y6090,12,0.003%
24499,11,0.003%
41200,11,0.003%
46009,11,0.003%
46499,11,0.003%
49303,11,0.003%
49320,11,0.003%
49399,11,0.003%
54599,11,0.003%
61594,11,0.003%
62802,11,0.003%
64360,11,0.003%
72809,11,0.003%
84501,11,0.003%
E4300,11,0.003%
13100,10,0.002%
18220,10,0.002%
38101,10,0.002%
48600,10,0.002%
48699,10,0.002%
65070,10,0.002%
73899,10,0.002%
95091,10,0.002%
Y1203,10,0.002%
00910,9,0.002%
22111,9,0.002%
24699,9,0.002%
46000,9,0.002%
57420,9,0.002%
57499,9,0.002%
58299,9,0.002%
64500,9,0.002%
65040,9,0.002%
65600,9,0.002%
66176,9,0.002%
72298,9,0.002%
73500,9,0.002%
78553,9,0.002%
78558,9,0.002%
80099,9,0.002%
88420,9,0.002%
9,9,0.002%
97109,9,0.002%
E9170,9,0.002%
Y0430,9,0.002%
Y8859,9,0.002%
04301,8,0.002%
09922,8,0.002%
22000,8,0.002%
22011,8,0.002%
25099,8,0.002%
25691,8,0.002%
29590,8,0.002%
30080,8,0.002%
34100,8,0.002%
44302,8,0.002%
45999,8,0.002%
46999,8,0.002%
47309,8,0.002%
50399,8,0.002%
60099,8,0.002%
62803,8,0.002%
64000,8,0.002%
64390,8,0.002%
64391,8,0.002%
64397,8,0.002%
65080,8,0.002%
68798,8,0.002%
69091,8,0.002%
72490,8,0.002%
72910,8,0.002%
78541,8,0.002%
80222,8,0.002%
Y6000,8,0.002%
Y6599,8,0.002%
Y6699,8,0.002%
09920,7,0.002%
21500,7,0.002%
50799,7,0.002%
52411,7,0.002%
53599,7,0.002%
59202,7,0.002%
62552,7,0.002%
62805,7,0.002%
64393,7,0.002%
65900,7,0.002%
67099,7,0.002%
72808,7,0.002%
79100,7,0.002%
E6099,7,0.002%
21400,6,0.001%
28099,6,0.001%
38109,6,0.001%
40191,6,0.001%
45491,6,0.001%
48009,6,0.001%
49330,6,0.001%
50899,6,0.001%
50999,6,0.001%
57410,6,0.001%
61599,6,0.001%
62599,6,0.001%
62999,6,0.001%
63101,6,0.001%
63902,6,0.001%
64398,6,0.001%
65410,6,0.001%
66174,6,0.001%
66177,6,0.001%
66190,6,0.001%
69300,6,0.001%
71399,6,0.001%
73110,6,0.001%
73700,6,0.001%
78555,6,0.001%
Y0409,6,0.001%
Y0600,6,0.001%
Y8879,6,0.001%
