"","CODE1","n_codes","n_patients"
"1","6500B",25827,17711
"2","V252A",8223,8097
"3","7890A",6404,5256
"4","2500B",5945,2465
"5","4549X",5619,4962
"6","2180A",5237,4425
"7","7227C",4493,2714
"8","6350C",4361,3870
"9","4019X",3404,2139
"10","3039X",3153,1188
"11","4273A",2891,1231
"12","5409X",2799,2698
"13","7140A",2778,788
"14","4740A",2776,2702
"15","6266A",2773,2488
"16","V700A",2747,2398
"17","7151F",2589,1919
"18","2500A",2500,1240
"19","4859X",2204,1774
"20","4939X",2140,1220
"21","4659X",2117,1803
"22","5509B",2106,1970
"23","6488A",2006,981
"24","3472A",1972,892
"25","3018D",1963,559
"26","6262A",1950,1706
"27","2989X",1912,991
"28","5742A",1830,1611
"29","4130B",1795,991
"30","7170A",1772,1576
"31","7350A",1722,1522
"32","6340A",1688,1536
"33","4610A",1663,1420
"34","6440A",1622,1254
"35","4130X",1573,1097
"36","7865A",1557,1264
"37","4742A",1542,1497
"38","3812A",1540,1148
"39","4730A",1528,1258
"40","4930A",1452,892
"41","2968A",1438,832
"42","V220A",1353,1203
"43","3018X",1335,621
"44","3820A",1286,1060
"45","6310A",1276,1187
"46","4741B",1235,1197
"47","4100X",1231,1038
"48","6480A",1217,325
"49","2957A",1212,321
"50","6563B",1210,1173
"51","4120X",1208,639
"52","4630A",1189,1075
"53","7177A",1169,982
"54","2959C",1155,383
"55","7804A",1129,961
"56","3540A",1113,847
"57","4700A",1109,1056
"58","4120B",1071,588
"59","6918B",1067,624
"60","7245A",1050,759
"61","7803A",1040,792
"62","2959E",1015,366
"63","6522B",1013,956
"64","5509A",1012,949
"65","3050A",1011,636
"66","5921A",994,736
"67","6331A",989,849
"68","6202X",982,896
"69","0093A",981,883
"70","6256A",940,856
"71","0092A",937,865
"72","7840A",935,762
"73","6440B",931,885
"74","6171A",921,792
"75","6441A",920,823
"76","2953E",902,279
"77","7819X",900,675
"78","8450B",893,808
"79","6000A",872,665
"80","7231A",866,655
"81","5901A",865,715
"82","4750B",852,735
"83","4931A",843,493
"84","7261X",843,652
"85","8360A",837,760
"86","2961C",832,475
"87","3661A",829,609
"88","7151E",827,527
"89","4779A",825,588
"90","2959A",817,341
"91","6423A",813,594
"92","4660A",794,705
"93","6320A",786,738
"94","4340A",785,433
"95","7849C",785,635
"96","0088X",784,701
"97","6370A",778,715
"98","6173B",777,693
"99","4511A",775,623
"100","V230A",766,634
"101","2953C",762,223
"102","2200A",752,688
"103","4402A",741,334
"104","4600A",738,656
"105","3004A",735,333
"106","4930B",732,435
"107","6271A",728,654
"108","6146A",726,651
"109","4111X",717,466
"110","2951C",709,204
"111","9694A",704,542
"112","6170A",703,678
"113","6424A",702,580
"114","6400A",687,610
"115","2040A",678,33
"116","7860A",678,559
"117","7806A",668,549
"118","2954A",662,380
"119","8242A",659,544
"120","4556A",657,638
"121","8404A",652,404
"122","8442A",651,475
"123","6611B",628,620
"124","0350X",627,515
"125","7240B",620,383
"126","4640A",613,478
"127","6542B",607,551
"128","2961D",606,369
"129","9054A",603,475
"130","9981A",594,533
"131","7221A",589,443
"132","7140B",586,277
"133","9985A",575,474
"134","2008X",566,56
"135","6140A",558,488
"136","2780A",553,357
"137","4140B",543,398
"138","6050A",538,516
"139","6270A",537,494
"140","9057A",531,427
"141","3000A",529,285
"142","6622B",528,519
"143","0086X",527,477
"144","6173A",524,476
