concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,tmp_name_en_source
1,ICD9 Finnish modification,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
5,3-char ICD9fi,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
6,4-char ICD9fi,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
7,5-char ICD9fi,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
8,CHOLERA,Condition,ICD9fi,3-char ICD9fi,NA,001,1970-01-01,2099-12-31,NA,CHOLERA,Latin
9,CHOLERA E VIBRIONE CHOLERAE (01),Condition,ICD9fi,5-char ICD9fi,NA,0010A,1970-01-01,2099-12-31,NA,CHOLERA E VIBRIONE CHOLERAE (01),Latin
10,CHOLERA E VIBRIONE CHOLERAE EL TOR (01),Condition,ICD9fi,5-char ICD9fi,NA,0011A,1970-01-01,2099-12-31,NA,CHOLERA E VIBRIONE CHOLERAE EL TOR (01),Latin
11,CHOLERA NUD,Condition,ICD9fi,5-char ICD9fi,NA,0019X,1970-01-01,2099-12-31,NA,CHOLERA NUD,Latin
12,FEBRIS TYPHOIDES ET PARATYPHOIDES,Condition,ICD9fi,3-char ICD9fi,NA,002,1970-01-01,2099-12-31,NA,FEBRIS TYPHOIDES ET PARATYPHOIDES,Latin
13,FEBRIS TYPHOIDES,Condition,ICD9fi,5-char ICD9fi,NA,0020A,1970-01-01,2099-12-31,NA,FEBRIS TYPHOIDES,Latin
14,FEBRIS PARATYPHOIDES TYPUS A,Condition,ICD9fi,5-char ICD9fi,NA,0021A,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES TYPUS A,Latin
15,FEBRIS PARATYPHOIDES TYPUS B,Condition,ICD9fi,5-char ICD9fi,NA,0022A,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES TYPUS B,Latin
16,FEBRIS PARATYPHOIDES TYPUS C,Condition,ICD9fi,5-char ICD9fi,NA,0023A,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES TYPUS C,Latin
17,FEBRIS PARATYPHOIDES NUD,Condition,ICD9fi,5-char ICD9fi,NA,0029X,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES NUD,Latin
18,SALMONELLOSIS ALIA,Condition,ICD9fi,3-char ICD9fi,NA,003,1970-01-01,2099-12-31,NA,SALMONELLOSIS ALIA,Latin
19,GASTROENTERITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0030A,1970-01-01,2099-12-31,NA,GASTROENTERITIS SALMONELLOSA,Latin
20,SEPTICHAEMIA SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0031A,1970-01-01,2099-12-31,NA,SEPTICHAEMIA SALMONELLOSA,Latin
21,MENINGITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032A,1970-01-01,2099-12-31,NA,MENINGITIS SALMONELLOSA,Latin
22,PNEUMONIA SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032B,1970-01-01,2099-12-31,NA,PNEUMONIA SALMONELLOSA,Latin
23,ARTHRITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032C,1970-01-01,2099-12-31,NA,ARTHRITIS SALMONELLOSA,Latin
24,OSTEOMYELITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032D,1970-01-01,2099-12-31,NA,OSTEOMYELITIS SALMONELLOSA,Latin
25,SALMONELLOSIS ALIA,Condition,ICD9fi,5-char ICD9fi,NA,0038X,1970-01-01,2099-12-31,NA,SALMONELLOSIS ALIA,Latin
26,SALMONELLOSIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0039X,1970-01-01,2099-12-31,NA,SALMONELLOSIS NUD,Latin
27,SHIGELLOSIS,Condition,ICD9fi,3-char ICD9fi,NA,004,1970-01-01,2099-12-31,NA,SHIGELLOSIS,Latin
28,SHIGELLOSIS TYPUS A (DYSENTERIAE),Condition,ICD9fi,5-char ICD9fi,NA,0040A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS A (DYSENTERIAE),Latin
29,SHIGELLOSIS TYPUS B (FLEXNERI),Condition,ICD9fi,5-char ICD9fi,NA,0041A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS B (FLEXNERI),Latin
30,SHIGELLOSIS TYPUS C (BOYDII),Condition,ICD9fi,5-char ICD9fi,NA,0042A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS C (BOYDII),Latin
31,SHIGELLOSIS TYPUS D (SONNEI),Condition,ICD9fi,5-char ICD9fi,NA,0043A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS D (SONNEI),Latin
32,SHIGELLOSIS ALIA,Condition,ICD9fi,5-char ICD9fi,NA,0048X,1970-01-01,2099-12-31,NA,SHIGELLOSIS ALIA,Latin
33,SHIGELLOSIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0049X,1970-01-01,2099-12-31,NA,SHIGELLOSIS NUD,Latin
34,INTOXICATIO ALIMENTARIA,Condition,ICD9fi,3-char ICD9fi,NA,005,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA,Latin
35,INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA,Condition,ICD9fi,5-char ICD9fi,NA,0050A,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA,Latin
36,BOTULISMUS,Condition,ICD9fi,5-char ICD9fi,NA,0051A,1970-01-01,2099-12-31,NA,BOTULISMUS,Latin
37,CLOSTRIDIUM PERFRINGENS RUOKAMYRKYTYS,Condition,ICD9fi,5-char ICD9fi,NA,0052A,1970-01-01,2099-12-31,NA,CLOSTRIDIUM PERFRINGENS RUOKAMYRKYTYS,Latin
38,INTOXICATIO ALIMENTARIA E CLOSTRIDIUM ALIUM,Condition,ICD9fi,5-char ICD9fi,NA,0053A,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA E CLOSTRIDIUM ALIUM,Latin
39,VIBRIO PARAHAEMOLYTICUS RUOKAMYRKYTYS,Condition,ICD9fi,5-char ICD9fi,NA,0054A,1970-01-01,2099-12-31,NA,VIBRIO PARAHAEMOLYTICUS RUOKAMYRKYTYS,Latin
40,INTOXICATIO ALIMENTARIA ALIA DEFINITA,Condition,ICD9fi,5-char ICD9fi,NA,0058X,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA ALIA DEFINITA,Latin
41,INTOXICATIO ALIMENTARIA NUD,Condition,ICD9fi,5-char ICD9fi,NA,0059X,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA NUD,Latin
42,AMOEBIASIS,Condition,ICD9fi,3-char ICD9fi,NA,006,1970-01-01,2099-12-31,NA,AMOEBIASIS,Latin
43,AMOEBIASIS CUM DYSENTERIA ACUTA,Condition,ICD9fi,5-char ICD9fi,NA,0060A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM DYSENTERIA ACUTA,Latin
44,AMOEBIASIS CUM DYSENTERIA CHRONICA,Condition,ICD9fi,5-char ICD9fi,NA,0061A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM DYSENTERIA CHRONICA,Latin
45,AMOEBIASIS CUM COLITIDEM NONDYSTENTERICA,Condition,ICD9fi,5-char ICD9fi,NA,0062A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM COLITIDEM NONDYSTENTERICA,Latin
46,AMOEBIASIS CUM ABSCESSU HEPATIS,Condition,ICD9fi,5-char ICD9fi,NA,0063A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM ABSCESSU HEPATIS,Latin
47,AMOEBISAIS LOCO ALIO,Condition,ICD9fi,5-char ICD9fi,NA,0068X,1970-01-01,2099-12-31,NA,AMOEBISAIS LOCO ALIO,Latin
48,AMOEBIASIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0069X,1970-01-01,2099-12-31,NA,AMOEBIASIS NUD,Latin
49,MORBI PROTOZOICI INTESTINALES ALII,Condition,ICD9fi,3-char ICD9fi,NA,007,1970-01-01,2099-12-31,NA,MORBI PROTOZOICI INTESTINALES ALII,Latin
50,BALANTIDIASIS,Condition,ICD9fi,5-char ICD9fi,NA,0070A,1970-01-01,2099-12-31,NA,BALANTIDIASIS,Latin
51,GIARDIASIS,Condition,ICD9fi,5-char ICD9fi,NA,0071A,1970-01-01,2099-12-31,NA,GIARDIASIS,Latin
52,COCCIDIOSIS ET ISOSPORIASIS,Condition,ICD9fi,5-char ICD9fi,NA,0072A,1970-01-01,2099-12-31,NA,COCCIDIOSIS ET ISOSPORIASIS,Latin
53,TRICHOMONIASIS INTESTINALIS,Condition,ICD9fi,5-char ICD9fi,NA,0073A,1970-01-01,2099-12-31,NA,TRICHOMONIASIS INTESTINALIS,Latin
54,CRYPTOSPORIDIOSIS,Condition,ICD9fi,5-char ICD9fi,NA,0078A,1970-01-01,2099-12-31,NA,CRYPTOSPORIDIOSIS,Latin
55,MORBUS PROTOZOICUS INTESTINALIS ALIA,Condition,ICD9fi,5-char ICD9fi,NA,0078X,1970-01-01,2099-12-31,NA,MORBUS PROTOZOICUS INTESTINALIS ALIA,Latin
56,MORBUS PROTOZOICUS INTESTINALIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0079X,1970-01-01,2099-12-31,NA,MORBUS PROTOZOICUS INTESTINALIS NUD,Latin
57,ENTERITIS PER ORGANISMATA ALIA SPECIFICATA,Condition,ICD9fi,3-char ICD9fi,NA,008,1970-01-01,2099-12-31,NA,ENTERITIS PER ORGANISMATA ALIA SPECIFICATA,Latin
