ICD9	ICD9LYH	ICD9TXT
001	KOLERA	CHOLERA
0010A	KOLERA VIBR CHOLE O1	CHOLERA E VIBRIONE CHOLERAE (01)
0011A	KOLERA EL TOR (O1)	CHOLERA E VIBRIONE CHOLERAE EL TOR (01)
0019X	KOLERA NUD	CHOLERA NUD
002	FEB TYPHOID/PARATYPH	FEBRIS TYPHOIDES ET PARATYPHOIDES
0020A	FEBRIS TYPHOIDES	FEBRIS TYPHOIDES
0021A	FEB PARATYPH TYPUS A	FEBRIS PARATYPHOIDES TYPUS A
0022A	FEB PARATYPH TYPUS B	FEBRIS PARATYPHOIDES TYPUS B
0023A	FEB PARATYPH TYPUS C	FEBRIS PARATYPHOIDES TYPUS C
0029X	FEB PARATYPHOID NUD	FEBRIS PARATYPHOIDES NUD
003	SALMONELLOSIS ALIA	SALMONELLOSIS ALIA
0030A	GASTROENTER SALMONEL	GASTROENTERITIS SALMONELLOSA
0031A	SEPTICHAEM SALMONELL	SEPTICHAEMIA SALMONELLOSA
0032A	MENINGITIS SALMONELL	MENINGITIS SALMONELLOSA
0032B	PNEUMONIA SALMONELLO	PNEUMONIA SALMONELLOSA
0032C	ARTHRITIS SALMONELLO	ARTHRITIS SALMONELLOSA
0032D	OSTEOMYELIT SALMONEL	OSTEOMYELITIS SALMONELLOSA
0038X	SALMONELLOSIS ALIA	SALMONELLOSIS ALIA
0039X	SALMONELLOSIS NUD	SALMONELLOSIS NUD
004	SHIGELLOSIS	SHIGELLOSIS
0040A	SHIGELLOSIS TYPUS A	SHIGELLOSIS TYPUS A (DYSENTERIAE)
0041A	SHIGELLOSIS TYPUS B	SHIGELLOSIS TYPUS B (FLEXNERI)
0042A	SHIGELLOSIS TYPUS C	SHIGELLOSIS TYPUS C (BOYDII)
0043A	SHIGELLOSIS TYPUS D	SHIGELLOSIS TYPUS D (SONNEI)
0048X	SHIGELLOSIS ALIA	SHIGELLOSIS ALIA
0049X	SHIGELLOSIS NUD	SHIGELLOSIS NUD
005	INTOXIC ALIMENTARIA	INTOXICATIO ALIMENTARIA
0050A	STAFYLOK RUOKAMYRKYT	INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA
0051A	BOTULISMI	BOTULISMUS
0052A	CLOSTR PERFR RUOKAMY	CLOSTRIDIUM PERFRINGENS RUOKAMYRKYTYS
