code,name_fi,name_en,name_en_source
001,CHOLERA,Cholera,ICD9_code_match(full_match)
0010A,CHOLERA E VIBRIONE CHOLERAE (01),"Cholera, Due to Vibrio cholerae",ICD9_code_match(unique_parent_match)
0011A,CHOLERA E VIBRIONE CHOLERAE EL TOR (01),"Cholera, Due to Vibrio cholerae el tor",ICD9_code_match(unique_parent_match)
0019X,CHOLERA NUD,"Cholera, unspecified",ICD9_code_match(unique_parent_match)
002,FEBRIS TYPHOIDES ET PARATYPHOIDES,Typhoid and paratyphoid fevers,ICD9_code_match(full_match)
0020A,FEBRIS TYPHOIDES,"Typhoid and paratyphoid fevers, Typhoid fever",ICD9_code_match(unique_parent_match)
0021A,FEBRIS PARATYPHOIDES TYPUS A,"Typhoid and paratyphoid fevers, Paratyphoid fever A",ICD9_code_match(unique_parent_match)
0022A,FEBRIS PARATYPHOIDES TYPUS B,"Typhoid and paratyphoid fevers, Paratyphoid fever B",ICD9_code_match(unique_parent_match)
0023A,FEBRIS PARATYPHOIDES TYPUS C,"Typhoid and paratyphoid fevers, Paratyphoid fever C",ICD9_code_match(unique_parent_match)
0029X,FEBRIS PARATYPHOIDES NUD,"Typhoid and paratyphoid fevers, Paratyphoid fever, unspecified",ICD9_code_match(unique_parent_match)
003,SALMONELLOSIS ALIA,Other Salmonella infections,ICD9_code_match(full_match)
0030A,GASTROENTERITIS SALMONELLOSA,"Other Salmonella infections, Salmonella gastro-enteritis",ICD9_code_match(unique_parent_match)
0031A,SEPTICHAEMIA SALMONELLOSA,"Other Salmonella infections, Salmonella septicaemia",ICD9_code_match(unique_parent_match)
0032A,MENINGITIS SALMONELLOSA,"Other Salmonella infections, Localised Salmonella infections",ICD9_code_match(parent_match)
0032B,PNEUMONIA SALMONELLOSA,"Other Salmonella infections, Localised Salmonella infections",ICD9_code_match(parent_match)
0032C,ARTHRITIS SALMONELLOSA,"Other Salmonella infections, Localised Salmonella infections",ICD9_code_match(parent_match)
0032D,OSTEOMYELITIS SALMONELLOSA,"Other Salmonella infections, Localised Salmonella infections",ICD9_code_match(parent_match)
0038X,SALMONELLOSIS ALIA,"Other Salmonella infections, Other specified Salmonella infections",ICD9_code_match(unique_parent_match)
0039X,SALMONELLOSIS NUD,"Other Salmonella infections, Salmonella infection, unspecified",ICD9_code_match(unique_parent_match)
004,SHIGELLOSIS,Shigellosis,ICD9_code_match(full_match)
0040A,SHIGELLOSIS TYPUS A (DYSENTERIAE),"Shigellosis, Shigella dysenteriae",ICD9_code_match(unique_parent_match)
0041A,SHIGELLOSIS TYPUS B (FLEXNERI),"Shigellosis, Shigella flexneri",ICD9_code_match(unique_parent_match)
0042A,SHIGELLOSIS TYPUS C (BOYDII),"Shigellosis, Shigella boydii",ICD9_code_match(unique_parent_match)
0043A,SHIGELLOSIS TYPUS D (SONNEI),"Shigellosis, Shigella sonnei",ICD9_code_match(unique_parent_match)
0048X,SHIGELLOSIS ALIA,"Shigellosis, Other specified shigella infections",ICD9_code_match(unique_parent_match)
0049X,SHIGELLOSIS NUD,"Shigellosis, unspecified",ICD9_code_match(unique_parent_match)
005,INTOXICATIO ALIMENTARIA,Other food poisoning (bacterial),ICD9_code_match(full_match)
0050A,INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA,"Other food poisoning (bacterial), Staphylococcal food poisoning",ICD9_code_match(unique_parent_match)
0051A,BOTULISMUS,"Other food poisoning (bacterial), Botulism",ICD9_code_match(unique_parent_match)
0052A,CLOSTRIDIUM PERFRINGENS RUOKAMYRKYTYS,"Other food poisoning (bacterial), Food poisoning due to Clostridium perfringens [C. welchii]",ICD9_code_match(unique_parent_match)
0053A,INTOXICATIO ALIMENTARIA E CLOSTRIDIUM ALIUM,"Other food poisoning (bacterial), Food poisoning due to other Clostridia",ICD9_code_match(unique_parent_match)
0054A,VIBRIO PARAHAEMOLYTICUS RUOKAMYRKYTYS,"Other food poisoning (bacterial), Food poisoning due to Vibrio parahaemolyticus",ICD9_code_match(unique_parent_match)
0058X,INTOXICATIO ALIMENTARIA ALIA DEFINITA,"Other food poisoning (bacterial), Other bacterial food poisoning",ICD9_code_match(unique_parent_match)
0059X,INTOXICATIO ALIMENTARIA NUD,"Other food poisoning (bacterial), Food poisoning, unspecified",ICD9_code_match(unique_parent_match)
006,AMOEBIASIS,Amoebiasis,ICD9_code_match(full_match)
0060A,AMOEBIASIS CUM DYSENTERIA ACUTA,"Amoebiasis, Acute amoebic dysentery without mention of abscess",ICD9_code_match(unique_parent_match)
0061A,AMOEBIASIS CUM DYSENTERIA CHRONICA,"Amoebiasis, Chronic intestinal amoebiasis without mention of abscess",ICD9_code_match(unique_parent_match)
0062A,AMOEBIASIS CUM COLITIDEM NONDYSTENTERICA,"Amoebiasis, Amoebic nondysenteric colitis",ICD9_code_match(unique_parent_match)
0063A,AMOEBIASIS CUM ABSCESSU HEPATIS,"Amoebiasis, Amoebic liver abscess",ICD9_code_match(unique_parent_match)
0068X,AMOEBISAIS LOCO ALIO,"Amoebiasis, Amoebic infection of other sites",ICD9_code_match(unique_parent_match)
0069X,AMOEBIASIS NUD,"Amoebiasis, unspecified",ICD9_code_match(unique_parent_match)
007,MORBI PROTOZOICI INTESTINALES ALII,Other protozoal intestinal diseases,ICD9_code_match(full_match)
0070A,BALANTIDIASIS,"Other protozoal intestinal diseases, Balantidiasis",ICD9_code_match(unique_parent_match)
0071A,GIARDIASIS,"Other protozoal intestinal diseases, Giardiasis",ICD9_code_match(unique_parent_match)
0072A,COCCIDIOSIS ET ISOSPORIASIS,"Other protozoal intestinal diseases, Coccidiosis",ICD9_code_match(unique_parent_match)
