concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
19,196328,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
65,46273592,Maps to,2015-07-31,2099-12-31,NA,USAGI,Condition
67,4314257,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
68,193688,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
70,199718,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
73,196620,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
74,4230249,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
76,198337,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
77,197484,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
307,138346,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
309,438338,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
329,434277,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
349,437779,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
350,435459,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
401,4110510,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
416,437489,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
418,137792,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
419,4294437,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
421,140027,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
452,135745,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
527,4126282,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
530,4034002,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
543,4345460,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
544,140641,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
545,4080331,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
546,140641,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
587,438343,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
678,201792,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
701,80946,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
703,133141,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
709,134870,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
716,29735,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
718,4217669,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
782,440952,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
812,4090114,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
819,440653,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
821,78073,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
827,140961,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
831,140949,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
841,438688,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
863,377802,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1452,4091465,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1476,4181351,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1514,197508,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1684,4038838,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1707,437233,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1711,134305,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1711,4030260,Maps to,1970-01-01,2099-12-31,NA,USAGI,Observation
1845,440358,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1970,72576,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
1972,197236,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2033,441818,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2034,433997,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2120,135214,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2124,438383,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2182,4193704,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2183,443412,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2187,439770,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2195,45773688,Maps to,2015-01-31,2099-12-31,NA,USAGI,Condition
2199,42538169,Maps to,2018-01-31,2099-12-31,NA,USAGI,Condition
2211,435216,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2220,380688,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2221,4307509,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2222,4135819,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2224,24609,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2225,192591,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2236,4253197,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2239,4030186,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2241,30365,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2249,30968,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2302,199771,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2339,4100822,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
2378,4029736,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
