sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:possible_english_name,matchScore,mappingStatus,conceptId,comment
9273A,SORMIEN MURSKAVAMMA,10,,Crushing injury of finger(s),0.2048684060573578,UNCHECKED,134453,
2505X,"NEUROPATHIA DIABETICA,NUD",20,,Diabetes with ophthalmic manifestations,0.5102049112319946,UNCHECKED,4044391,
2722A,HYPERLIPOIDAEMIA COMBINATA (KH),63,,Mixed hyperlipidemia,0.48539191484451294,UNCHECKED,432867,
6419A,"HAEMORRHAGIA NUD IN GRAVIDITATE,HOITOJ ENN SYNN NUD",210,,Unspecified antepartum hemorrhage,0.33523616194725037,UNCHECKED,437312,
2512A,HYPOGLYCAEMIA REACTIVA,20,,"Hypoglycemia, unspecified",0.8648456335067749,APPROVED,4135819,
4830A,PNEUMONIA E MYCOPLASMA PNEUMONIAE,63,,Pneumonia due to mycoplasma pneumoniae,0.8470845818519592,APPROVED,440431,
9452B,"COMBUSTIO EXTREMITATIS INFERIORIS GRADUS II, 10-29%",10,,Blisters with epidermal loss due to burn [second degree] of lower limb(s),0.31288179755210876,UNCHECKED,4054747,
7931A,KEUHKOJEN EPÄSPESIFISET POIKKEAVAT SÄDEDIAGN LÖYD,210,,Nonspecific abnormal findings on radiological and other examination of lung field,0.17263564467430115,UNCHECKED,4260688,
2891A,LYMPHADENITIS CHRONICA,20,,Chronic lymphadenitis,0.8634140491485596,APPROVED,313989,
5150X,FIBROSIS PULMONUM E CAUSA IGNOTA,63,,Postinflammatory pulmonary fibrosis,0.49425452947616577,UNCHECKED,4236624,
2930A,DELIRIUM PSYCHOORGANICUM ALIUD,20,,Delirium due to conditions classified elsewhere,0.4947453439235687,UNCHECKED,373995,
5301X,OESOPHAGITIS NUD,63,,Esophagitis,0.7871799468994141,APPROVED,30753,
2000B,LYMPHOMA MALIGNUM DIFFUSUM,209,,Reticulosarcoma,0.5075039863586426,UNCHECKED,432574,
9551A,LAESIO TRAUMATICA NERVI MEDIANI,10,,Injury to median nerve,0.3723490238189697,UNCHECKED,140090,
5368A,DYSPEPSIA,63,,Dyspepsia and other specified disorders of function of stomach,1.0,APPROVED,439418,
2964A,"PSYCHOSIS BIPOLARIS CIRCULARIS,NUD",20,,"Bipolar I disorder, most recent episode (or current) manic",0.4503544270992279,UNCHECKED,436073,
3650A,SUSPICIO GLAUCOMATIS (AVOKULMA),209,,Borderline glaucoma [glaucoma suspect],0.3970835506916046,UNCHECKED,437541,
9563A,LAESIO TRAUMATICA NERVI PERONEI,10,,Injury to peroneal nerve,0.43570053577423096,UNCHECKED,4050964,
3074F,UNIVALVERYTMIN HÄIRIÖ,20,,Specific disorders of sleep of nonorganic origin,0.19733358919620514,UNCHECKED,4179323,
2419X,STRUMA NODOSA ATOXICA NUD,207,,Unspecified nontoxic nodular goiter,0.7163354158401489,UNCHECKED,134619,
3471A,NARCOLEPSIA,20,,Narcolepsy in conditions classified elsewhere,0.7995408177375793,APPROVED,436100,
6228X,MORBI NONINFECTIOSI CERVICIS UTERI ALIA DEFINITA,63,,Other specified noninflammatory disorders of cervix,0.34393996000289917,UNCHECKED,4003301,
9941A,"HUKKUMINEN, HUKKUMISVAARA TAI VETEEN JOUTUMINEN",10,,Drowning and nonfatal submersion,0.13848240673542023,UNCHECKED,4174289,
4781C,CYSTA SINUS MAXILLARIS,207,,Other diseases of nasal cavity and sinuses,0.7654978632926941,APPROVED,3185916,
9800A,MYRKYTYS:ETYYLIALKOHOLI,207,,Toxic effect of ethyl alcohol,0.18760862946510315,UNCHECKED,4295567,
3619X,ABLATIO ET RUPTURA RETINAE NUD,20,,Unspecified retinal detachment,0.47089579701423645,UNCHECKED,4335990,
7232A,SYNDROMA CERVICOCRANIALE,63,,Cervicocranial syndrome,0.8680601716041565,APPROVED,81660,
V450A,MUUN TOIMENPITEEN JÄLKISEURANTA,10,,Cardiac pacemaker in situ,0.1730598509311676,UNCHECKED,434621,
2918A,ALKOHOLIN VIEROITUSOIREET,206,,Other specified alcohol-induced mental disorders,0.29093432426452637,UNCHECKED,4321696,
2535A,DIABETES INSIPIDUS,62,,Diabetes insipidus,1.0,APPROVED,30968,
3627A,DYSTROPHIA RETINAE PIGMENTOSA,20,,Hereditary retinal dystrophies,0.5936033725738525,UNCHECKED,4103381,
0544C,"KERATITIS DISCIFORMIS, HERPETICA",9,,Herpes simplex with ophthalmic complications,0.6151541471481323,UNCHECKED,4204588,
3450A,EPILEPSIA GENERALISATA NONCONVULSIVA,62,,Generalized nonconvulsive epilepsy,0.7504448294639587,UNCHECKED,376680,
3651D,GLAUCOMA PIGMENTOSUM,20,,Open-angle glaucoma,0.689883828163147,UNCHECKED,436975,
1120A,CANDIDIASIS ORALIS,9,,Candidiasis of mouth,0.8316369652748108,APPROVED,29735,
6114A,ATROPHIA MAMMAE,62,,Atrophy of breast,0.4833346903324127,UNCHECKED,37117187,
8832A,"VULNUS DIGITI MANUS CUM LAESIONE TENDINIS,NON COMPL",205,,"Open wound of finger(s), with tendon involvement",0.24284084141254425,UNCHECKED,4052994,
1122A,CANDIDIASIS BALANITIS,9,,Candidiasis of other urogenital sites,0.7301561236381531,UNCHECKED,433968,
3793C,PSEUDOPHAKIA,204,,Aphakia and other disorders of lens,1.0,APPROVED,4316061,
3702A,KERATITIS SUPERFICIALIS  (SARVEISKALVOSSA),20,,Superficial keratitis without conjunctivitis,0.3887879252433777,UNCHECKED,374643,
7109X,MORBUS TELAE CONJUNCTIVAE DIFFUSA NUD,62,,Unspecified diffuse connective tissue disease,0.4593610465526581,UNCHECKED,36541387,
7820X,PARAESTHESIA,62,,Disturbance of skin sensation,1.0,APPROVED,4236484,
1623X,"NEOPL MAL LOB SUPER PULMONIS,EI HIST/SYTOL DG",9,,"Malignant neoplasm of upper lobe, bronchus or lung",0.23973606526851654,UNCHECKED,4096917,
2962E,"PSYCH.BIPOLARIS MANICA,VAIKEA-ASTE,PSYKOOT PIIRTEIT",203,,"Major depressive disorder, single episode",0.20972833037376404,UNCHECKED,443797,
4261A,DISSOCIATIO ATRIOVENTRICULARIS GRADUS I,20,,"Atrioventricular block, other and unspecified",0.705573558807373,UNCHECKED,4175473,
8320A,"LUXATIO RADII ET ULNAE CUBITI, NON COMPLICATA",62,,Closed dislocation of elbow,0.37911906838417053,UNCHECKED,4068848,
4370A,ARTERIOSCLEROSIS CEREBRALIS,20,,Cerebral atherosclerosis,0.8851149678230286,APPROVED,4278243,
5818X,SYNDROMA NEPHROTICUM ALIA DEFINITA,203,,Nephrotic syndrome with other specified pathological lesion in kidney,0.618782639503479,UNCHECKED,195314,
1727A,"MELANOMA MAL CUTIS EXTR INFER,MELAN EX LENTIGOMAL",9,,"Malignant melanoma of skin of lower limb, including hip",0.3644029200077057,UNCHECKED,4116198,
4644A,LARYNGITIS PSEUDOCRUPOSA ACUTA,20,,Croup,0.5147283673286438,UNCHECKED,4048492,
