concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,freq_finngen,freq_total
8,CHOLERA,Condition,ICD9fi,3-char ICD9fi,NA,001,1970-01-01,2099-12-31,NA,CHOLERA,0,0
9,CHOLERA E VIBRIONE CHOLERAE (01),Condition,ICD9fi,5-char ICD9fi,NA,0010A,1970-01-01,2099-12-31,NA,CHOLERA E VIBRIONE CHOLERAE (01),0,0
10,CHOLERA E VIBRIONE CHOLERAE EL TOR (01),Condition,ICD9fi,5-char ICD9fi,NA,0011A,1970-01-01,2099-12-31,NA,CHOLERA E VIBRIONE CHOLERAE EL TOR (01),0,0
11,CHOLERA NUD,Condition,ICD9fi,5-char ICD9fi,NA,0019X,1970-01-01,2099-12-31,NA,CHOLERA NUD,0,0
12,FEBRIS TYPHOIDES ET PARATYPHOIDES,Condition,ICD9fi,3-char ICD9fi,NA,002,1970-01-01,2099-12-31,NA,FEBRIS TYPHOIDES ET PARATYPHOIDES,0,0
13,FEBRIS TYPHOIDES,Condition,ICD9fi,5-char ICD9fi,NA,0020A,1970-01-01,2099-12-31,NA,FEBRIS TYPHOIDES,0,0
14,FEBRIS PARATYPHOIDES TYPUS A,Condition,ICD9fi,5-char ICD9fi,NA,0021A,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES TYPUS A,0,0
15,FEBRIS PARATYPHOIDES TYPUS B,Condition,ICD9fi,5-char ICD9fi,NA,0022A,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES TYPUS B,0,0
16,FEBRIS PARATYPHOIDES TYPUS C,Condition,ICD9fi,5-char ICD9fi,NA,0023A,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES TYPUS C,0,0
17,FEBRIS PARATYPHOIDES NUD,Condition,ICD9fi,5-char ICD9fi,NA,0029X,1970-01-01,2099-12-31,NA,FEBRIS PARATYPHOIDES NUD,0,0
18,SALMONELLOSIS ALIA,Condition,ICD9fi,3-char ICD9fi,NA,003,1970-01-01,2099-12-31,NA,SALMONELLOSIS ALIA,0,0
19,GASTROENTERITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0030A,1970-01-01,2099-12-31,NA,GASTROENTERITIS SALMONELLOSA,0,0
20,SEPTICHAEMIA SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0031A,1970-01-01,2099-12-31,NA,SEPTICHAEMIA SALMONELLOSA,0,0
21,MENINGITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032A,1970-01-01,2099-12-31,NA,MENINGITIS SALMONELLOSA,0,0
22,PNEUMONIA SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032B,1970-01-01,2099-12-31,NA,PNEUMONIA SALMONELLOSA,0,0
23,ARTHRITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032C,1970-01-01,2099-12-31,NA,ARTHRITIS SALMONELLOSA,0,0
24,OSTEOMYELITIS SALMONELLOSA,Condition,ICD9fi,5-char ICD9fi,NA,0032D,1970-01-01,2099-12-31,NA,OSTEOMYELITIS SALMONELLOSA,0,0
25,SALMONELLOSIS ALIA,Condition,ICD9fi,5-char ICD9fi,NA,0038X,1970-01-01,2099-12-31,NA,SALMONELLOSIS ALIA,0,0
26,SALMONELLOSIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0039X,1970-01-01,2099-12-31,NA,SALMONELLOSIS NUD,0,0
27,SHIGELLOSIS,Condition,ICD9fi,3-char ICD9fi,NA,004,1970-01-01,2099-12-31,NA,SHIGELLOSIS,0,0
28,SHIGELLOSIS TYPUS A (DYSENTERIAE),Condition,ICD9fi,5-char ICD9fi,NA,0040A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS A (DYSENTERIAE),0,0
29,SHIGELLOSIS TYPUS B (FLEXNERI),Condition,ICD9fi,5-char ICD9fi,NA,0041A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS B (FLEXNERI),0,0
30,SHIGELLOSIS TYPUS C (BOYDII),Condition,ICD9fi,5-char ICD9fi,NA,0042A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS C (BOYDII),0,0
31,SHIGELLOSIS TYPUS D (SONNEI),Condition,ICD9fi,5-char ICD9fi,NA,0043A,1970-01-01,2099-12-31,NA,SHIGELLOSIS TYPUS D (SONNEI),0,0
32,SHIGELLOSIS ALIA,Condition,ICD9fi,5-char ICD9fi,NA,0048X,1970-01-01,2099-12-31,NA,SHIGELLOSIS ALIA,0,0
33,SHIGELLOSIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0049X,1970-01-01,2099-12-31,NA,SHIGELLOSIS NUD,0,0
34,INTOXICATIO ALIMENTARIA,Condition,ICD9fi,3-char ICD9fi,NA,005,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA,0,0
35,INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA,Condition,ICD9fi,5-char ICD9fi,NA,0050A,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA,0,0
36,BOTULISMUS,Condition,ICD9fi,5-char ICD9fi,NA,0051A,1970-01-01,2099-12-31,NA,BOTULISMUS,0,0
