ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
001,KOLERA,CHOLERA,001,Cholera,4_digit_level,001,Cholera,full_match,0
0010A,KOLERA VIBR CHOLE O1,CHOLERA E VIBRIONE CHOLERAE (01),001.0,Cholera due to vibrio cholerae,4_digit_level,001.0,"Cholera, Due to Vibrio cholerae",unique_parent_match,0
0011A,KOLERA EL TOR (O1),CHOLERA E VIBRIONE CHOLERAE EL TOR (01),001.1,Cholera due to vibrio cholerae el tor,4_digit_level,001.1,"Cholera, Due to Vibrio cholerae el tor",unique_parent_match,0
0019X,KOLERA NUD,CHOLERA NUD,001.9,"Cholera, unspecified",4_digit_level,001.9,"Cholera, unspecified",unique_parent_match,0
002,FEB TYPHOID/PARATYPH,FEBRIS TYPHOIDES ET PARATYPHOIDES,002,Typhoid and paratyphoid fevers,4_digit_level,002,Typhoid and paratyphoid fevers,full_match,0
0020A,FEBRIS TYPHOIDES,FEBRIS TYPHOIDES,002.0,Typhoid fever,4_digit_level,002.0,"Typhoid and paratyphoid fevers, Typhoid fever",unique_parent_match,0
0021A,FEB PARATYPH TYPUS A,FEBRIS PARATYPHOIDES TYPUS A,002.1,Paratyphoid fever A,4_digit_level,002.1,"Typhoid and paratyphoid fevers, Paratyphoid fever A",unique_parent_match,0
0022A,FEB PARATYPH TYPUS B,FEBRIS PARATYPHOIDES TYPUS B,002.2,Paratyphoid fever B,4_digit_level,002.2,"Typhoid and paratyphoid fevers, Paratyphoid fever B",unique_parent_match,0
0023A,FEB PARATYPH TYPUS C,FEBRIS PARATYPHOIDES TYPUS C,002.3,Paratyphoid fever C,4_digit_level,002.3,"Typhoid and paratyphoid fevers, Paratyphoid fever C",unique_parent_match,0
0029X,FEB PARATYPHOID NUD,FEBRIS PARATYPHOIDES NUD,002.9,"Paratyphoid fever, unspecified",4_digit_level,002.9,"Typhoid and paratyphoid fevers, Paratyphoid fever, unspecified",unique_parent_match,0
003,SALMONELLOSIS ALIA,SALMONELLOSIS ALIA,003,Other salmonella infections,4_digit_level,003,Other Salmonella infections,full_match,0
0030A,GASTROENTER SALMONEL,GASTROENTERITIS SALMONELLOSA,003.0,Salmonella gastroenteritis,4_digit_level,003.0,"Other Salmonella infections, Salmonella gastro-enteritis",unique_parent_match,0
0031A,SEPTICHAEM SALMONELL,SEPTICHAEMIA SALMONELLOSA,003.1,Salmonella septicemia,4_digit_level,003.1,"Other Salmonella infections, Salmonella septicaemia",unique_parent_match,0
0032A,MENINGITIS SALMONELL,MENINGITIS SALMONELLOSA,003.2,Localized salmonella infections,4_digit_level,003.2,"Other Salmonella infections, Localised Salmonella infections",parent_match,0
0032B,PNEUMONIA SALMONELLO,PNEUMONIA SALMONELLOSA,003.2,Localized salmonella infections,4_digit_level,003.2,"Other Salmonella infections, Localised Salmonella infections",parent_match,0
0032C,ARTHRITIS SALMONELLO,ARTHRITIS SALMONELLOSA,003.2,Localized salmonella infections,4_digit_level,003.2,"Other Salmonella infections, Localised Salmonella infections",parent_match,0
0032D,OSTEOMYELIT SALMONEL,OSTEOMYELITIS SALMONELLOSA,003.2,Localized salmonella infections,4_digit_level,003.2,"Other Salmonella infections, Localised Salmonella infections",parent_match,0
0038X,SALMONELLOSIS ALIA,SALMONELLOSIS ALIA,003.8,Other specified salmonella infections,4_digit_level,003.8,"Other Salmonella infections, Other specified Salmonella infections",unique_parent_match,0
0039X,SALMONELLOSIS NUD,SALMONELLOSIS NUD,003.9,"Salmonella infection, unspecified",4_digit_level,003.9,"Other Salmonella infections, Salmonella infection, unspecified",unique_parent_match,0
004,SHIGELLOSIS,SHIGELLOSIS,004,Shigellosis,4_digit_level,004,Shigellosis,full_match,0
0040A,SHIGELLOSIS TYPUS A,SHIGELLOSIS TYPUS A (DYSENTERIAE),004.0,Shigella dysenteriae,4_digit_level,004.0,"Shigellosis, Shigella dysenteriae",unique_parent_match,0
0041A,SHIGELLOSIS TYPUS B,SHIGELLOSIS TYPUS B (FLEXNERI),004.1,Shigella flexneri,4_digit_level,004.1,"Shigellosis, Shigella flexneri",unique_parent_match,0
0042A,SHIGELLOSIS TYPUS C,SHIGELLOSIS TYPUS C (BOYDII),004.2,Shigella boydii,4_digit_level,004.2,"Shigellosis, Shigella boydii",unique_parent_match,0
0043A,SHIGELLOSIS TYPUS D,SHIGELLOSIS TYPUS D (SONNEI),004.3,Shigella sonnei,4_digit_level,004.3,"Shigellosis, Shigella sonnei",unique_parent_match,0
0048X,SHIGELLOSIS ALIA,SHIGELLOSIS ALIA,004.8,Other specified shigella infections,4_digit_level,004.8,"Shigellosis, Other specified shigella infections",unique_parent_match,0
0049X,SHIGELLOSIS NUD,SHIGELLOSIS NUD,004.9,"Shigellosis, unspecified",4_digit_level,004.9,"Shigellosis, unspecified",unique_parent_match,0
005,INTOXIC ALIMENTARIA,INTOXICATIO ALIMENTARIA,005,Other food poisoning (bacterial),4_digit_level,005,Other food poisoning (bacterial),full_match,0
0050A,STAFYLOK RUOKAMYRKYT,INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA,005.0,Staphylococcal food poisoning,4_digit_level,005.0,"Other food poisoning (bacterial), Staphylococcal food poisoning",unique_parent_match,0
0051A,BOTULISMI,BOTULISMUS,005.1,Botulism food poisoning,4_digit_level,005.1,"Other food poisoning (bacterial), Botulism",unique_parent_match,0
