code,freq,freq_per
4610A,1663,0.416%
6440A,1622,0.406%
2968A,1438,0.360%
2200A,752,0.188%
5301A,518,0.130%
6282B,417,0.104%
6582B,325,0.081%
6528B,278,0.070%
6341A,264,0.066%
3882A,139,0.035%
1748X,126,0.032%
5798A,45,0.011%
5965D,41,0.010%
6010A,41,0.010%
6145A,41,0.010%
7101A,38,0.010%
7453B,35,0.009%
7461A,35,0.009%
5982A,29,0.007%
6019X,29,0.007%
8472A,28,0.007%
6150B,27,0.007%
7490C,27,0.007%
7800A,27,0.007%
4263A,25,0.006%
V250A,25,0.006%
7078X,23,0.006%
2959X,21,0.005%
7181F,15,0.004%
6420A,14,0.004%
7802B,14,0.004%
7808A,14,0.004%
8160C,14,0.004%
1401A,13,0.003%
2114A,13,0.003%
6651B,13,0.003%
6810A,13,0.003%
2423X,12,0.003%
6463A,12,0.003%
7018X,11,0.003%
7019X,11,0.003%
6500A,10,0.003%
7150F,10,0.003%
7199C,9,0.002%
7890X,9,0.002%
6151B,7,0.002%
4610B,6,0.002%
5409A,6,0.002%
6530C,6,0.002%
