code,freq_finngen,freq_total
6500B,25827,25827
V252A,8223,8223
7890A,6404,6404
2500B,5945,5945
4549X,5619,5619
2180A,5237,5237
7227C,4493,4493
6350C,4361,4361
4019X,3404,3404
3039X,3153,3153
4273A,2891,2891
5409X,2799,2799
7140A,2778,2778
4740A,2776,2776
6266A,2773,2773
V700A,2747,2747
7151F,2589,2589
2500A,2500,2500
4859X,2204,2204
4939X,2140,2140
4659X,2117,2117
5509B,2106,2106
6488A,2006,2006
3472A,1972,1972
3018D,1963,1963
6262A,1950,1950
2989X,1912,1912
5742A,1830,1830
4130B,1795,1795
7170A,1772,1772
7350A,1722,1722
6340A,1688,1688
4610A,1663,1663
6440A,1622,1622
4130X,1573,1573
7865A,1557,1557
4742A,1542,1542
3812A,1540,1540
4730A,1528,1528
4930A,1452,1452
2968A,1438,1438
V220A,1353,1353
3018X,1335,1335
3820A,1286,1286
6310A,1276,1276
4741B,1235,1235
4100X,1231,1231
6480A,1217,1217
2957A,1212,1212
6563B,1210,1210
4120X,1208,1208
4630A,1189,1189
7177A,1169,1169
2959C,1155,1155
7804A,1129,1129
3540A,1113,1113
4700A,1109,1109
4120B,1071,1071
6918B,1067,1067
7245A,1050,1050
7803A,1040,1040
2959E,1015,1015
6522B,1013,1013
5509A,1012,1012
3050A,1011,1011
5921A,994,994
6331A,989,989
6202X,982,982
0093A,981,981
6256A,940,940
0092A,937,937
7840A,935,935
6440B,931,931
6171A,921,921
6441A,920,920
2953E,902,902
7819X,900,900
8450B,893,893
6000A,872,872
7231A,866,866
5901A,865,865
4750B,852,852
4931A,843,843
7261X,843,843
8360A,837,837
2961C,832,832
3661A,829,829
7151E,827,827
4779A,825,825
2959A,817,817
6423A,813,813
4660A,794,794
6320A,786,786
4340A,785,785
7849C,785,785
0088X,784,784
6370A,778,778
6173B,777,777
4511A,775,775
V230A,766,766
2953C,762,762
2200A,752,752
4402A,741,741
4600A,738,738
3004A,735,735
4930B,732,732
6271A,728,728
6146A,726,726
4111X,717,717
2951C,709,709
9694A,704,704
6170A,703,703
6424A,702,702
6400A,687,687
2040A,678,678
7860A,678,678
7806A,668,668
2954A,662,662
8242A,659,659
4556A,657,657
8404A,652,652
8442A,651,651
6611B,628,628
0350X,627,627
7240B,620,620
4640A,613,613
6542B,607,607
2961D,606,606
9054A,603,603
9981A,594,594
7221A,589,589
7140B,586,586
9985A,575,575
2008X,566,566
6140A,558,558
2780A,553,553
4140B,543,543
6050A,538,538
6270A,537,537
9057A,531,531
3000A,529,529
6622B,528,528
0086X,527,527
6173A,524,524
6289A,524,524
7862A,523,523
5650B,522,522
4550A,521,521
5301A,518,518
7200A,517,517
5740A,515,515
2501B,505,505
6227A,505,505
4380A,493,493
4931B,492,492
1744A,490,490
7174A,489,489
6180A,486,486
0781C,476,476
5990B,475,475
7143C,475,475
5741A,469,469
6210A,458,458
6660A,450,450
6350D,442,442
2971A,441,441
7290A,441,441
7263A,435,435
4741A,431,431
6180C,428,428
6467A,427,427
2956C,423,423
1350A,422,422
6282B,417,417
6450B,417,417
5562A,415,415
2507B,414,414
3651A,414,414
6200A,412,412
2961E,407,407
7286A,407,407
6420X,405,405
7100A,405,405
3459X,403,403
