concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type
44500329,44500329,Maps to,20150918,20991231,NA,OMOP
44500940,44500940,Maps to,20150918,20991231,NA,OMOP
44500398,44500398,Maps to,20150918,20991231,NA,OMOP
44501663,44501663,Maps to,20150918,20991231,NA,OMOP
44502210,44502210,Maps to,20150918,20991231,NA,OMOP
44500093,44500093,Maps to,20150918,20991231,NA,OMOP
44498995,44498995,Maps to,20150918,20991231,NA,OMOP
44501836,44501836,Maps to,20150918,20991231,NA,OMOP
44502753,44502753,Maps to,20150918,20991231,NA,OMOP
44499667,44499667,Maps to,20150918,20991231,NA,OMOP
44500340,44500340,Maps to,20150918,20991231,NA,OMOP
44500165,44500165,Maps to,20150918,20991231,NA,OMOP
44501240,44501240,Maps to,20150918,20991231,NA,OMOP
44500523,44500523,Maps to,20150918,20991231,NA,OMOP
44499455,44499455,Maps to,20150918,20991231,NA,OMOP
44500220,44500220,Maps to,20150918,20991231,NA,OMOP
44499517,44499517,Maps to,20150918,20991231,NA,OMOP
44500367,44500367,Maps to,20150918,20991231,NA,OMOP
44501094,44501094,Maps to,20150918,20991231,NA,OMOP
44500717,44500717,Maps to,20150918,20991231,NA,OMOP
44503033,44503033,Maps to,20150918,20991231,NA,OMOP
44502872,44502872,Maps to,20150918,20991231,NA,OMOP
44500708,44500708,Maps to,20150918,20991231,NA,OMOP
44503135,44503135,Maps to,20150918,20991231,NA,OMOP
44499430,44499430,Maps to,20150918,20991231,NA,OMOP
44502259,44502259,Maps to,20150918,20991231,NA,OMOP
44501538,44501538,Maps to,20150918,20991231,NA,OMOP
44503065,44503065,Maps to,20150918,20991231,NA,OMOP
44501235,44501235,Maps to,20150918,20991231,NA,OMOP
44500405,44500405,Maps to,20150918,20991231,NA,OMOP
44502719,44502719,Maps to,20150918,20991231,NA,OMOP
44500641,44500641,Maps to,20150918,20991231,NA,OMOP
44500081,44500081,Maps to,20150918,20991231,NA,OMOP
44502955,44502955,Maps to,20150918,20991231,NA,OMOP
44502112,44502112,Maps to,20150918,20991231,NA,OMOP
44502379,44502379,Maps to,20150918,20991231,NA,OMOP
44502383,44502383,Maps to,20150918,20991231,NA,OMOP
44501187,44501187,Maps to,20150918,20991231,NA,OMOP
44500107,44500107,Maps to,20150918,20991231,NA,OMOP
44500643,44500643,Maps to,20150918,20991231,NA,OMOP
44500644,44500644,Maps to,20150918,20991231,NA,OMOP
44499648,44499648,Maps to,20150918,20991231,NA,OMOP
44502589,44502589,Maps to,20150918,20991231,NA,OMOP
44502690,44502690,Maps to,20150918,20991231,NA,OMOP
44500418,44500418,Maps to,20150918,20991231,NA,OMOP
44501311,44501311,Maps to,20150918,20991231,NA,OMOP
44502314,44502314,Maps to,20150918,20991231,NA,OMOP
44499850,44499850,Maps to,20150918,20991231,NA,OMOP
44499598,44499598,Maps to,20150918,20991231,NA,OMOP
44500228,44500228,Maps to,20150918,20991231,NA,OMOP
44500424,44500424,Maps to,20150918,20991231,NA,OMOP
44502096,44502096,Maps to,20150918,20991231,NA,OMOP
44501571,44501571,Maps to,20150918,20991231,NA,OMOP
44501749,44501749,Maps to,20150918,20991231,NA,OMOP
44499800,44499800,Maps to,20150918,20991231,NA,OMOP
44504297,436358,Maps to,20150918,20991231,NA,OMOP
44503875,441225,Maps to,20150918,20991231,NA,OMOP
44500695,44500695,Maps to,20150918,20991231,NA,OMOP
44501267,44501267,Maps to,20150918,20991231,NA,OMOP
44501597,44501597,Maps to,20150918,20991231,NA,OMOP
44502342,44502342,Maps to,20150918,20991231,NA,OMOP
44502027,44502027,Maps to,20150918,20991231,NA,OMOP
44502129,44502129,Maps to,20150918,20991231,NA,OMOP
44503088,44503088,Maps to,20150918,20991231,NA,OMOP
44501551,44501551,Maps to,20150918,20991231,NA,OMOP
44501960,44501960,Maps to,20150918,20991231,NA,OMOP
44502165,44502165,Maps to,20150918,20991231,NA,OMOP
44503107,44503107,Maps to,20150918,20991231,NA,OMOP
44501382,44501382,Maps to,20150918,20991231,NA,OMOP
44499002,44499002,Maps to,20150918,20991231,NA,OMOP
44500100,44500100,Maps to,20150918,20991231,NA,OMOP
44502266,44502266,Maps to,20150918,20991231,NA,OMOP
44500083,44500083,Maps to,20150918,20991231,NA,OMOP
44499560,44499560,Maps to,20150918,20991231,NA,OMOP
44500057,44500057,Maps to,20150918,20991231,NA,OMOP
44501774,44501774,Maps to,20150918,20991231,NA,OMOP
44499415,44499415,Maps to,20150918,20991231,NA,OMOP
44500714,44500714,Maps to,20150918,20991231,NA,OMOP
44499551,44499551,Maps to,20150918,20991231,NA,OMOP
44501877,44501877,Maps to,20150918,20991231,NA,OMOP
44501752,44501752,Maps to,20150918,20991231,NA,OMOP
44500767,44500767,Maps to,20150918,20991231,NA,OMOP
44501181,44501181,Maps to,20150918,20991231,NA,OMOP
44502082,44502082,Maps to,20150918,20991231,NA,OMOP
44501362,44501362,Maps to,20150918,20991231,NA,OMOP
44499749,44499749,Maps to,20150918,20991231,NA,OMOP
44499759,44499759,Maps to,20150918,20991231,NA,OMOP
44500819,44500819,Maps to,20150918,20991231,NA,OMOP
44500267,44500267,Maps to,20150918,20991231,NA,OMOP
44501931,44501931,Maps to,20150918,20991231,NA,OMOP
44499711,44499711,Maps to,20150918,20991231,NA,OMOP
44502024,44502024,Maps to,20150918,20991231,NA,OMOP
44503005,44503005,Maps to,20150918,20991231,NA,OMOP
44500301,44500301,Maps to,20150918,20991231,NA,OMOP
44502214,44502214,Maps to,20150918,20991231,NA,OMOP
44500487,44500487,Maps to,20150918,20991231,NA,OMOP
44503526,44503526,Maps to,20150918,20991231,NA,OMOP
44502127,44502127,Maps to,20150918,20991231,NA,OMOP
44502823,44502823,Maps to,20150918,20991231,NA,OMOP
44502138,44502138,Maps to,20150918,20991231,NA,OMOP
44500854,44500854,Maps to,20150918,20991231,NA,OMOP
44501628,44501628,Maps to,20150918,20991231,NA,OMOP
44501850,44501850,Maps to,20150918,20991231,NA,OMOP
44500549,44500549,Maps to,20150918,20991231,NA,OMOP
44500004,44500004,Maps to,20150918,20991231,NA,OMOP
44502560,44502560,Maps to,20150918,20991231,NA,OMOP
44499485,44499485,Maps to,20150918,20991231,NA,OMOP
44501633,44501633,Maps to,20150918,20991231,NA,OMOP
44501265,44501265,Maps to,20150918,20991231,NA,OMOP
44502262,44502262,Maps to,20150918,20991231,NA,OMOP
44502779,44502779,Maps to,20150918,20991231,NA,OMOP
44501249,44501249,Maps to,20150918,20991231,NA,OMOP
44501328,44501328,Maps to,20150918,20991231,NA,OMOP
44501806,44501806,Maps to,20150918,20991231,NA,OMOP
44500494,44500494,Maps to,20150918,20991231,NA,OMOP
44500591,44500591,Maps to,20150918,20991231,NA,OMOP
44500504,44500504,Maps to,20150918,20991231,NA,OMOP
44502226,44502226,Maps to,20150918,20991231,NA,OMOP
44499646,44499646,Maps to,20150918,20991231,NA,OMOP
44503231,40490453,Maps to,20150918,20991231,NA,OMOP
44503971,4033835,Maps to,20150918,20991231,NA,OMOP
44503410,4309576,Maps to,20150918,20991231,NA,OMOP
44505092,4266187,Maps to,20150918,20991231,NA,OMOP
44502611,44502611,Maps to,20150918,20991231,NA,OMOP
44501468,44501468,Maps to,20150918,20991231,NA,OMOP
44501082,44501082,Maps to,20150918,20991231,NA,OMOP
44502080,44502080,Maps to,20150918,20991231,NA,OMOP
44501572,44501572,Maps to,20150918,20991231,NA,OMOP
44501984,44501984,Maps to,20150918,20991231,NA,OMOP
44500603,44500603,Maps to,20150918,20991231,NA,OMOP
44501742,44501742,Maps to,20150918,20991231,NA,OMOP
44500215,44500215,Maps to,20150918,20991231,NA,OMOP
44501068,44501068,Maps to,20150918,20991231,NA,OMOP
44503115,44503115,Maps to,20150918,20991231,NA,OMOP
44501198,44501198,Maps to,20150918,20991231,NA,OMOP
44501271,44501271,Maps to,20150918,20991231,NA,OMOP
44502023,44502023,Maps to,20150918,20991231,NA,OMOP
44502019,44502019,Maps to,20150918,20991231,NA,OMOP
44503539,44503539,Maps to,20150918,20991231,NA,OMOP
44500941,44500941,Maps to,20150918,20991231,NA,OMOP
44499693,44499693,Maps to,20150918,20991231,NA,OMOP
44501581,44501581,Maps to,20150918,20991231,NA,OMOP
44502147,44502147,Maps to,20150918,20991231,NA,OMOP
44501169,44501169,Maps to,20150918,20991231,NA,OMOP
44501460,44501460,Maps to,20150918,20991231,NA,OMOP
44503007,44503007,Maps to,20150918,20991231,NA,OMOP
44503045,44503045,Maps to,20150918,20991231,NA,OMOP
44500916,44500916,Maps to,20150918,20991231,NA,OMOP
44500883,44500883,Maps to,20150918,20991231,NA,OMOP
44500707,44500707,Maps to,20150918,20991231,NA,OMOP
44501381,44501381,Maps to,20150918,20991231,NA,OMOP
44502747,44502747,Maps to,20150918,20991231,NA,OMOP
44501199,44501199,Maps to,20150918,20991231,NA,OMOP
44500642,44500642,Maps to,20150918,20991231,NA,OMOP
44500650,44500650,Maps to,20150918,20991231,NA,OMOP
44500085,44500085,Maps to,20150918,20991231,NA,OMOP
44502224,44502224,Maps to,20150918,20991231,NA,OMOP
44502729,44502729,Maps to,20150918,20991231,NA,OMOP
44499423,44499423,Maps to,20150918,20991231,NA,OMOP
44502993,44502993,Maps to,20150918,20991231,NA,OMOP
44502418,44502418,Maps to,20150918,20991231,NA,OMOP
44500864,44500864,Maps to,20150918,20991231,NA,OMOP
44500606,44500606,Maps to,20150918,20991231,NA,OMOP
44502670,44502670,Maps to,20150918,20991231,NA,OMOP
44499516,44499516,Maps to,20150918,20991231,NA,OMOP
44502330,44502330,Maps to,20150918,20991231,NA,OMOP
