code,freq,freq_per
6666/0-C53.9,596,1.349%
8070/3-C1,77,0.174%
8070/3-C99,75,0.170%
8070/3-C29,58,0.131%
8070/3-C21,56,0.127%
8070/3-C19,43,0.097%
8070/3-C49,29,0.066%
8070/3-C69,27,0.061%
8070/3-C60,19,0.043%
9591/3-C99,19,0.043%
8070/3-C31,15,0.034%
8070/3-C90,15,0.034%
8461/3-C57.9,13,0.029%
9680/3-C99,13,0.029%
8070/3-C30,11,0.025%
8148/2-C20.9,10,0.023%
8430/3-C79,10,0.023%
8070/3-C9,10,0.023%
8070/3-C51,9,0.020%
8461/3-C57.4,8,0.018%
8070/3-C79,8,0.018%
8550/3-C79,8,0.018%
9591/3-C79,7,0.016%
8070/3-C22,6,0.014%
8500/3-C79,6,0.014%
9699/3-C79,6,0.014%
