code,freq_finngen,freq_total
8140/3-C61.9,6039,6039
8500/3-C50.9,3818,3818
8090/3-C44.9,2903,2903
8090/3-C44.3,2808,2808
8090/3-C44.5,1261,1261
8140/3-C20.9,942,942
8520/3-C50.9,934,934
8500/3-C50.4,789,789
8260/3-C73.9,783,783
8120/3-C67.9,660,660
6666/0-C53.9,596,596
8500/2-C50.9,498,498
8380/3-C54.1,494,494
8140/3-C18.7,469,469
8720/3-C44.5,467,467
8077/2-C53.9,459,459
8090/3-C44.4,454,454
8312/3-C64.9,401,401
8090/3-C44.1,396,396
9530/0-C70.0,386,386
8380/3-C54.9,380,380
8310/3-C64.9,380,380
8097/3-C44.9,355,355
8070/2-C53.9,316,316
8070/3-C44.3,310,310
8090/3-C44.6,310,310
9732/3-C42.1,304,304
8090/3-C44.2,298,298
8720/3-C44.9,296,296
8070/3-C44.9,268,268
8720/3-C44.7,260,260
9823/3-C42.1,256,256
8140/3-C18.2,255,255
8500/3-C50.2,248,248
8140/3-C18.9,241,241
8720/3-C44.6,228,228
8140/3-C34.9,217,217
8140/3-C18.0,204,204
8520/3-C50.4,203,203
8140/3-C34.1,202,202
8090/3-C44.7,191,191
8000/3-C34.9,190,190
8070/3-C34.9,170,170
8500/3-C50.5,168,168
8140/3-C25.9,166,166
8130/2-C67.9,153,153
8170/3-C22.0,149,149
8500/3-C50.1,139,139
8140/3-C34.3,134,134
8441/3-C56.9,132,132
8090/3-C44.0,131,131
8000/3-C25.9,127,127
8140/3-C19.9,113,113
8070/3-C44.2,113,113
8140/3-C18.4,108,108
8500/3-C50.3,108,108
8070/3-C34.1,106,106
8442/1-C56.9,105,105
9950/3-C42.1,104,104
9861/3-C42.1,100,100
8070/3-C44.5,100,100
8130/3-C67.9,100,100
8041/3-C34.9,99,99
8260/3-C64.9,98,98
9680/3-C77.9,97,97
8522/3-C50.9,96,96
9061/3-C62.9,96,96
8140/3-C16.9,95,95
8461/3-C56.9,94,94
8010/3-C50.9,89,89
8000/3-C80.9,84,84
9560/0-C72.4,82,82
8070/3-C34.3,81,81
8145/3-C16.9,79,79
8720/3-C44.3,79,79
8480/3-C50.9,79,79
8070/3-C1,77,77
9962/3-C42.1,77,77
8070/3-C32.9,76,76
8070/3-C44.6,75,75
8472/1-C56.9,75,75
8070/3-C99,75,75
8070/3-C44.4,74,74
8070/3-C53.9,74,74
8330/3-C73.9,72,72
8240/3-C18.2,71,71
9835/3-C42.1,70,70
8091/3-C44.9,70,70
8380/3-C56.9,68,68
8140/3-C80.9,67,67
8140/3-C16.0,66,66
8070/3-C15.9,62,62
9863/3-C42.1,61,61
8070/3-C44.7,60,60
8130/1-C67.9,60,60
8140/3-C15.9,59,59
9961/3-C42.1,59,59
9530/0-C70.9,59,59
9380/3-C71.9,59,59
8070/3-C29,58,58
9591/3-C77.0,57,57
8070/3-C21,56,56
8070/3-C32.0,56,56
8000/3-C34.1,56,56
8077/2-C53.1,56,56
8140/3-C18.6,55,55
8000/3-C25.0,54,54
8140/3-C25.0,54,54
9680/3-C77.8,54,54
8240/3-C17.9,52,52
8500/3-C50.8,52,52
8140/3-C50.9,51,51
9591/3-C77.9,50,50
8140/3-C18.3,49,49
8160/3-C22.1,48,48
8520/2-C50.9,47,47
8140/2-C53.9,47,47
9691/3-C77.9,47,47
8140/3-C53.9,46,46
8120/2-C67.9,44,44
8070/3-C19,43,43
8720/3-C44.4,43,43
8480/3-C20.9,42,42
8070/3-C51.9,42,42
8936/1-C16.9,41,41
8520/3-C50.2,41,41
8522/3-C50.4,41,41
8120/3-C65.9,41,41
8340/3-C73.9,41,41
8240/3-C18.1,40,40
8000/3-C22.0,40,40
8510/3-C50.9,40,40
8470/3-C56.9,40,40
9663/3-C77.9,40,40
9989/3-C42.1,39,39
8000/3-C64.9,39,39
9650/3-C77.0,39,39
8460/3-C56.9,38,38
8148/2-C61.9,38,38
8010/3-C34.9,37,37
8520/3-C50.1,37,37
8000/3-C34.3,36,36
8720/2-C44.9,36,36
8500/2-C50.4,36,36
9531/0-C70.0,36,36
9680/3-C80.9,36,36
8240/3-C20.9,35,35
8461/3-C57.0,35,35
8140/3-C15.5,34,34
8480/3-C18.1,34,34
8041/3-C34.1,34,34
8743/3-C44.5,34,34
8720/3-C69.9,34,34
9050/3-C38.4,33,33
9960/3-C42.1,33,33
8380/2-C54.1,33,33
8620/1-C56.9,33,33
8720/3-C69.3,33,33
9537/0-C70.0,33,33
8070/3-C80.9,33,33
9673/3-C42.1,32,32
8317/3-C64.9,32,32
8240/3-C16.9,31,31
9052/3-C38.4,31,31
9940/3-C42.1,31,31
8520/3-C50.5,31,31
8211/3-C50.9,31,31
9530/0-C70.1,31,31
8480/3-C16.9,30,30
8523/3-C50.9,30,30
8120/1-C67.9,30,30
9560/0-C72.0,30,30
9591/3-C77.2,30,30
8240/3-C34.9,29,29
8070/3-C49,29,29
8000/3-C61.9,29,29
8480/3-C18.0,28,28
8140/3-C18.5,28,28
8077/2-C51.9,28,28
8441/3-C54.1,28,28
