Id_FIN	Abbreviation_FIN	Short name_FIN	Long name_FIN	shortTitle_ENG	ICD-10_FIN	icd10_ENG	Ensisijainen ICD-10_FIN	Parent code_FIN	Hierarchy level_FIN	Alakomponentti (icpc)_FIN	Harkitse (icpc)_FIN	Huom._FIN	Komponentti (icpc)_FIN	Kriteerit (icpc)_FIN	Lehtisolmu_FIN	Mukaan lukien_FIN	Pois lukien_FIN	Subkomponent (icpc)_FIN	Code_ENG	preferred_ENG	inclusion_ENG	exclusion_ENG	criteria_ENG	consider_ENG	note_ENG	ICPC2_mapping	ICPC_version
-30	Laaja tutkimus/arviointi	Laaja tutkimus/arviointi	Laaja terveydentilan arviointi/tarkastus	Medical examin/health eval complete					0		Suppea terveydentilan arviointi/tarkastus-31, Kliininen toimintakoe -39					kattava yhden elinjärjestelmän tai koko kehon käsittävä tarkastus, laaja terveydentilan tarkastus, laaja-alainen terveystarkastus lastenneuvolassa, laaja-alainen terveystarkastus kouluterveydenhuollossa			-30	Medical examination/health evaluation complete	complete examination of one body system or the whole body; complete check-up; well-baby exam; school health care exam for children/youth					-30	2
-31	Suppea tutkimus/arviointi	Suppea tutkimus/arviointi	Suppea terveydentilan arviointi/tarkastus	Medical examin/health eval partial					0		Laaja terveydentilan arviointi/tarkastus -30, Kliininen toimintakoe -39			yksittäisen elinjärjestelmän osan käsittävä tai osittainen tarkastus, esim. sydämen kuuntelu tai verenpaineen mittaus (K31) tai kehon lämpötilan mittaaminen (A31)		kohdennettu terveydentilan tarkastus, yksittäisen terveysongelman kliininen seulonta			-31	Medical examination/health evaluation partial	an examination focussed on a specific part of a body system; clinical screening of single health problems, e.g. heart auscultation or blood pressure measurement K31; or body temperature measurement A31					-31	2
-32	Allergiatutkimus	Allergiatutkimus	Allergiatutkimus	Sensitivity test					0		Veritutkimus -34			allergian tai intoleranssin toteamiseksi tai poissulkemiseksi tehtävä testi		ihon prick-testi, lapputesti, Mantoux¿n koe,  radioimmuunisorbenttitesti (RAST), ruoka-ainealtistuskoe, metakoliinikoe	siedätyshoito -44		-32	Sensitivity test	skin prick-test; patch test; Mantoux test; radioallergosorbent test (RAST) test; food challenge; methacholine challenge test	desensitisation -44	tests to detect/exclude allergy	blood test-34		-32	2
-33	Mikrobiol./immun. koe	Mikrobiol./immun. koe	Mikrobiologinen/immunologinen koe	Microbiological/immunological test					0		Veritutkimus -34, Virtsatutkimus  -35, Ulostetutkimus -36, Histologinen/sytologinen koe -37, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto -52	Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37		bakteeriin, virukseen tai muihin mikro-organismeihin liittyvä tutkimus		veriviljely, virtsaviljely, ulosteviljely, yskösviljely, nieluviljely, ihon pintamärkäviljely, fluoriviljely, antigeeni- tai vasta-ainemääritys (esim. HIV-, HPV- tai hepatiitti B-infektiossa), vasta-ainepitoisuuden määritys	Mantouxn testi -32, veriryhmä ja tyyppi -34, siemennesteanalyysi -38		-33	Microbiological/immunological test	blood culture; microbiological test of blood; microbiological test of faeces; microbiological test of sputum; microbiological test of throat swab; microbiological test of vaginal swab; antigen or antibody testing e.g. testing for human immunodeficiency virus, human papilloma virus or Hepatitis B; antibody titer	Mantoux test -32; blood group and type -34; semen analysis -38	test relating to bacteria, virus or other micro-organisms	blood test -34; urine test -35; faeces test -36; histological or exfoliative cytology -37;  biopsy of organ/skin -52	Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.	-33	2
-34	Veritutkimus	Veritutkimus	Veritutkimus	Blood test					0		Mikrobiologinen/immunologinen koe -33	Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37		verinäytteestä tehtävä laboratoriotutkimus		veriryhmä ja tyyppi, lasko (B-La), veren valkosolut (fB-Leuk), metabolinen peruspaneeli, veren hormonipitoisuus, veren entsyymitaso, veren lääkepitoisuus, veren alkoholitaso, C-reaktiivinen proteiini (B-CRP), protrombiiniaika (B-INR), fibriinin D-dimeerit (B-FIDD), valtimoveren kaasut, kreatiniinin puhdistuman laskeminen, raskaustesti verestä	radioimmuunisorbenttitesti (RAST) -32, veriviljely -33, kreatiniinipuhdistuman laskeminen -35, albumiini-kreatiniini -suhde -35		-34	Blood test	blood group and type; erythrocyte sedimentation rate (ESR); white blood cell count (WBC); basic metabolic panel; blood hormone level; blood enzyme level; blood drug level; blood alcohol level; C-reactive protein (CRP); prothrombin time (INR); D-dimer; arterial blood gases; calculation of creatinine clearance; blood pregnancy test	radioallergosorbent test (RAST) -32; microbiological/immunological test -33; measurement of creatinine clearance -35; albumin:creatinine ratio -35	a laboratory analysis performed on a blood sample	microbiological/immunological test -33	Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33.	-34	2
-35	Virtsatutkimus	Virtsatutkimus	Virtsatutkimus	Urine test					0		Mikrobiologinen/immunologinen koe -33	Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37		virtsanäytteestä tehtävä laboratoriotutkimus		virtsan liuskatesti, lääkkeen osoitus virtsasta, raskaustesti virtsasta, albumiini-kreatiniini -suhteen määritys virtsasta	virtsan sedimentin tutkimus -37, raskaustesti verestä -34, kreatiniinipuhdistuman laskeminen -34		-35	Urine test	urine strip test; test for drugs in urine; urine pregnancy test; measurement of albumin: creatinine ratio	microscopic examination of urine -37; blood pregnancy test -34; calculation of creatinine clearance -34	a laboratory analysis performed on a urine sample	microbiological/immunological test -33	Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37. 	-35	2
-36	Ulostetutkimus	Ulostetutkimus	Ulostetutkimus	Faeces test					0			Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37		ulostenäytteestä tehtävä laboratoriotutkimus, ulosteviljely pois lukien		ulostenäytteen tutkiminen (munat, kystat, parasiitit), piilevän veren osoittaminen ulosteesta	ulosteviljely -33		-36	Faeces test	stool ova/cyst/parasites test; test for occult blood	microbiological culture of faeces -33	a laboratory analysis performed on a faeces sample with the exception of microbiological tests		Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.	-36	2
-37	Histol./sytol. koe	Histol./sytol. koe	Histologinen/sytologinen tutkimus	Histological/exfoliative cytology					0					histologinen tai sytologinen tutkimus soluista, joita on kerätty kehosta solumuutosten toteamiseksi		histologinen tai sytologinen tutkimus kudoksesta tai nesteestä, joka on saatu punktiolla, biopsialla, ekskiisiolla, harjaamisella tai keräämällä, virtsan sytologia, ysköksen mikroskopia, siemennesteanalyysi	mikrobiologinen koe -33, ihon raaputusnäytteiden tutkiminen -33		-37	Histological/exfoliative cytology	histological or cytological examination of tissue or fluid retrieved by puncture/biopsy/excision/swabbing/collection; urine cytology; sputum analysis; semen analysis	microbiological test -33; skin scrapings -33	histological or cytological examination of cells collected from the body as a means of detecting cellular changes			-37	2
-38	Muu lab.tutkimus	Muu lab.tutkimus	Muu laboratoriotutkimus	Other laboratory test NEC					0		Kun kyseessä raskauden aikainen kromosomiseulonta, kaksoiskoodaa verikoe -34 ja kuvantaminen -41					DNA-, geneettinen- tai kromosomitesti, isyyskoe, siemennesteanalyysi, hikikoe, kyynelnesteen eritystesti, Helicobacter pylori -hengitystesti -38, mikä tahansa muu laboratoriokoe, joka ei sisälly tutkimuksiin liittyviin luokkiin  -32,- 33, -34, -35, -36 tai -37	rasituskoe käyttäen kuvantamista -41, sähkökäyrän rekisteröinti -42, Holter-monitorointi -42		-38	Other laboratory test NEC	antenatal chromosome screening; DNA/genetic/chromosome test; paternity test; sweat test; tear drop test; Helicobacter pylori breath test; any other laboratory test not included in the rubrics -32 to -37	exercise tests using imaging -41; electrical tracing -42; Holter monitoring -42				-38	2
-39	Kliin. toimintakoe	Kliin. toimintakoe	Kliininen toimintakoe	Physical function test					0					kvantitatiivinen koe, joka on tarkoitettu mittaamaan kehon toimintojen kapasiteettia, lukuun ottamatta henkistä tilaa		tympanometria, audiometria, tonometria, näkötesti, näkökentän tutkimus, värinäön tutkiminen, kalorimetrinen tai vestibulaarifunktion testaus, spirometria, virtsan virtausmittaus	rasituskoe käyttäen kuvantamista -41, rasituskoe elektrofysiologisella rekisteröinnillä -42, Holter-monitorointi -42, psyykkisen toimintakyvyn testi -43		-39	Physical function test	tympanometry; audiometry; tonometry; vision test; visual field; colour vision; calorimetric/vestibular function test; spirometry; urinary flowmetry	exercise test using imaging -41; exercise test using electrical tracing -42; Holter monitoring -42; mental function test -43	quantitative test to measure capacity of body functions excluding the mental state 			-39	2
