code,name_fi,name_en,ICPC_version,main_icd10fi
-30,Laaja terveydentilan arviointi/tarkastus,Medical examin/health eval complete,ICPC2_proc,NA
-31,Suppea terveydentilan arviointi/tarkastus,Medical examin/health eval partial,ICPC2_proc,NA
-32,Allergiatutkimus,Sensitivity test,ICPC2_proc,NA
-33,Mikrobiologinen/immunologinen koe,Microbiological/immunological test,ICPC2_proc,NA
-34,Veritutkimus,Blood test,ICPC2_proc,NA
-35,Virtsatutkimus,Urine test,ICPC2_proc,NA
-36,Ulostetutkimus,Faeces test,ICPC2_proc,NA
-37,Histologinen/sytologinen tutkimus,Histological/exfoliative cytology,ICPC2_proc,NA
-38,Muu laboratoriotutkimus,Other laboratory test NEC,ICPC2_proc,NA
-39,Kliininen toimintakoe,Physical function test,ICPC2_proc,NA
-40,Diagnostinen endoskopia,Diagnostic endoscopy,ICPC2_proc,NA
-41,Diagnostinen kuvantaminen,Diagnostic radiology/imaging,ICPC2_proc,NA
-42,Elektrofysiologinen tutkimus,Electrical tracing,ICPC2_proc,NA
-43,Muu tutkimustoimenpide,Other diagnostic procedure,ICPC2_proc,NA
-44,Rokotus / ennaltaehkäisevä lääkitys,Preventive immunization/medic,ICPC2_proc,NA
-45,Seuranta/terveysneuvonta/ruokavalioneuvonta,Observ/health educat/advice/diet,ICPC2_proc,NA
-46,Perusterveydenhuollon asiantuntijan konsultaatio,Consultation primary care provider,ICPC2_proc,NA
-47,Erikoislääkärin konsultaatio,Consultation with specialist,ICPC2_proc,NA
-48,Potilaan tarpeiden/tulosyyn selvittäminen,Clarification/discussion RFE/demand,ICPC2_proc,NA
-49,Muu ennaltaehkäisevä toimenpide,Other preventive procedure,ICPC2_proc,NA
-50,Lääkitys/lääkemääräys/uusinta/injektio,Medication/prescr/renewal,ICPC2_proc,NA
-51,Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto,I&d/flush/aspiration,ICPC2_proc,NA
-52,Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto,Exc/remov/biopsy/destruc/debrid/caut,ICPC2_proc,NA
-53,Katetrointi/intubointi/laajentaminen,Instrument/catheter/intubate/dilate,ICPC2_proc,NA
-54,Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto),Repair/fix-suture/cast/prosth device,ICPC2_proc,NA
-55,Paikallinen lääkeaineinjektio,Local injection/infiltration,ICPC2_proc,NA
-56,Sidos/kompressi/tamponointi,Dressing/pressure/compress/tamponade,ICPC2_proc,NA
-57,Fysikaalinen hoito / kuntoutus,Physical medicine/rehabilitation,ICPC2_proc,NA
-58,Terapeuttinen neuvonta / kuuntelu,Therapeutic counselling/listening,ICPC2_proc,NA
-59,Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia,Other therap proced/minor surg NEC,ICPC2_proc,NA
-60,Tutkimustulosten kuuleminen,Result test/procedure,ICPC2_proc,NA
-61,Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta,Result examination/test/record/letter from other provider,ICPC2_proc,NA
-62,Hallinnollinen toimenpide,Administrative procedure,ICPC2_proc,NA
