code,name_fi,name_en,ICPC_version,main_icd10fi,concept_id
-30,Laaja terveydentilan arviointi/tarkastus,Medical examin/health eval complete,ICPC2_proc,NA,NA
-31,Suppea terveydentilan arviointi/tarkastus,Medical examin/health eval partial,ICPC2_proc,NA,NA
-32,Allergiatutkimus,Sensitivity test,ICPC2_proc,NA,NA
-33,Mikrobiologinen/immunologinen koe,Microbiological/immunological test,ICPC2_proc,NA,NA
-34,Veritutkimus,Blood test,ICPC2_proc,NA,NA
-35,Virtsatutkimus,Urine test,ICPC2_proc,NA,NA
-36,Ulostetutkimus,Faeces test,ICPC2_proc,NA,NA
-37,Histologinen/sytologinen tutkimus,Histological/exfoliative cytology,ICPC2_proc,NA,NA
-38,Muu laboratoriotutkimus,Other laboratory test NEC,ICPC2_proc,NA,NA
-39,Kliininen toimintakoe,Physical function test,ICPC2_proc,NA,NA
-40,Diagnostinen endoskopia,Diagnostic endoscopy,ICPC2_proc,NA,NA
-41,Diagnostinen kuvantaminen,Diagnostic radiology/imaging,ICPC2_proc,NA,NA
-42,Elektrofysiologinen tutkimus,Electrical tracing,ICPC2_proc,NA,NA
-43,Muu tutkimustoimenpide,Other diagnostic procedure,ICPC2_proc,NA,NA
-44,Rokotus / ennaltaehkäisevä lääkitys,Preventive immunization/medic,ICPC2_proc,NA,NA
-45,Seuranta/terveysneuvonta/ruokavalioneuvonta,Observ/health educat/advice/diet,ICPC2_proc,NA,NA
-46,Perusterveydenhuollon asiantuntijan konsultaatio,Consultation primary care provider,ICPC2_proc,NA,NA
-47,Erikoislääkärin konsultaatio,Consultation with specialist,ICPC2_proc,NA,NA
-48,Potilaan tarpeiden/tulosyyn selvittäminen,Clarification/discussion RFE/demand,ICPC2_proc,NA,NA
-49,Muu ennaltaehkäisevä toimenpide,Other preventive procedure,ICPC2_proc,NA,NA
-50,Lääkitys/lääkemääräys/uusinta/injektio,Medication/prescr/renewal,ICPC2_proc,NA,NA
-51,Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto,I&d/flush/aspiration,ICPC2_proc,NA,NA
-52,Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto,Exc/remov/biopsy/destruc/debrid/caut,ICPC2_proc,NA,NA
-53,Katetrointi/intubointi/laajentaminen,Instrument/catheter/intubate/dilate,ICPC2_proc,NA,NA
-54,Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto),Repair/fix-suture/cast/prosth device,ICPC2_proc,NA,NA
-55,Paikallinen lääkeaineinjektio,Local injection/infiltration,ICPC2_proc,NA,NA
-56,Sidos/kompressi/tamponointi,Dressing/pressure/compress/tamponade,ICPC2_proc,NA,NA
-57,Fysikaalinen hoito / kuntoutus,Physical medicine/rehabilitation,ICPC2_proc,NA,NA
-58,Terapeuttinen neuvonta / kuuntelu,Therapeutic counselling/listening,ICPC2_proc,NA,NA
-59,Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia,Other therap proced/minor surg NEC,ICPC2_proc,NA,NA
-60,Tutkimustulosten kuuleminen,Result test/procedure,ICPC2_proc,NA,NA
-61,Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta,Result examination/test/record/letter from other provider,ICPC2_proc,NA,NA
-62,Hallinnollinen toimenpide,Administrative procedure,ICPC2_proc,NA,NA
-63,Muu seurantakäynti,Follow-up encounter unspecified,ICPC2_proc,NA,NA
-64,Hoidonantajan käynnistämä tapahtuma,Encounter/prob initiated by provider,ICPC2_proc,NA,NA
-65,Muun henkilön käynnistämä tapahtuma,Enc/prob init by other than pt/prov,ICPC2_proc,NA,NA
-66,Lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri),Referral to non-MD provider,ICPC2_proc,NA,NA
-67,Lähete erikoislääkärille/sairaalaan,Referral to physician/hospital,ICPC2_proc,NA,NA
-68,Muu lähete,Other referral NEC,ICPC2_proc,NA,NA
-69,Muu käynnin syy,Other reason for encounter NEC,ICPC2_proc,NA,NA
A,Yleiset ja epämääräiset,General and Unspecified,ICPC2,NA,NA
A01,"Kipu, yleinen / monessa paikassa",Pain general/multiple sites,ICPC2,R52.9,45576225
A02,Vilunväristykset,Chills,ICPC2,R68.88,45532807
A03,Kuume,Fever,ICPC2,R50.9,45600395
A04,"Heikkous/väsymys, yleinen",Weakness/tiredness general,ICPC2,R53,45532809
A05,Sairauden tunne,Feeling ill,ICPC2,R53,45547384
A06,Pyörtyminen,Fainting/syncope,ICPC2,R55,45532812
A07,Tajuttomuus,Coma,ICPC2,R40.2,45547387
A08,Turvotus,Swelling,ICPC2,R68.88,45755296
A09,Hikoiluongelma,Sweating problem,ICPC2,R61.9,45605189
A10,"Verenvuoto, määrittämätön",Bleeding/haemorrhage NOS,ICPC2,R58,NA
A11,"Rintakipu, määrittämätön",Chest pain NOS,ICPC2,R07.4,NA
A13,Huoli lääkkeen/hoidon sivuvaikutuksesta,Concern/fear medical treatment,ICPC2,Z71.1,NA
A16,Ärtyisä vauva,Irritable infant,ICPC2,R68.1,45576232
A18,Huoli ulkonäöstä,Concern about appearance,ICPC2,R46.8,45755302
A20,Eutanasiaan liittyvä keskustelu/pyyntö,Euthanasia request/discussion,ICPC2,Z71.8,45600402
A21,Syöpäsairauden riskitekijä,Risk factor for malignancy,ICPC2,Z85.9,45585906
A23,"Sairauden riskitekijä, määrittämätön",Risk factor NOS,ICPC2,Z91.8,45532821
A25,Kuolemanpelko,Fear of death/dying,ICPC2,Z71.1,45600404
A26,"Huoli/pelko syövästä, määrittämätön","Fear of cancer, NOS",ICPC2,Z71.1,45566496
A27,"Huoli/pelko muusta sairaudesta, määrittämätön",Fear of other disease NOS,ICPC2,Z71.1,45561695
A28,"Toiminnanvajaus, määrittämätön",Limited function/disability NOS,ICPC2,Z73.6,45552168
A29,Muu yleisoire/-vaiva,General symptom/complaint other,ICPC2,R68.88,NA
A30,"Yleiset ja epämääräiset, Laaja terveydentilan arviointi/tarkastus","General and Unspecified, Medical examin/health eval complete",ICPC2,NA,45552170
A31,"Yleiset ja epämääräiset, Suppea terveydentilan arviointi/tarkastus","General and Unspecified, Medical examin/health eval partial",ICPC2,NA,45552171
A32,"Yleiset ja epämääräiset, Allergiatutkimus","General and Unspecified, Sensitivity test",ICPC2,NA,45595582
A33,"Yleiset ja epämääräiset, Mikrobiologinen/immunologinen koe","General and Unspecified, Microbiological/immunological test",ICPC2,NA,45552175
A34,"Yleiset ja epämääräiset, Veritutkimus","General and Unspecified, Blood test",ICPC2,NA,45556894
A35,"Yleiset ja epämääräiset, Virtsatutkimus","General and Unspecified, Urine test",ICPC2,NA,45542526
A36,"Yleiset ja epämääräiset, Ulostetutkimus","General and Unspecified, Faeces test",ICPC2,NA,45590807
A37,"Yleiset ja epämääräiset, Histologinen/sytologinen tutkimus","General and Unspecified, Histological/exfoliative cytology",ICPC2,NA,45547403
A38,"Yleiset ja epämääräiset, Muu laboratoriotutkimus","General and Unspecified, Other laboratory test NEC",ICPC2,NA,45552176
A39,"Yleiset ja epämääräiset, Kliininen toimintakoe","General and Unspecified, Physical function test",ICPC2,NA,45571426
A40,"Yleiset ja epämääräiset, Diagnostinen endoskopia","General and Unspecified, Diagnostic endoscopy",ICPC2,NA,45556901
A41,"Yleiset ja epämääräiset, Diagnostinen kuvantaminen","General and Unspecified, Diagnostic radiology/imaging",ICPC2,NA,45532831
A42,"Yleiset ja epämääräiset, Elektrofysiologinen tutkimus","General and Unspecified, Electrical tracing",ICPC2,NA,45532834
A43,"Yleiset ja epämääräiset, Muu tutkimustoimenpide","General and Unspecified, Other diagnostic procedure",ICPC2,NA,45590815
A44,"Yleiset ja epämääräiset, Rokotus / ennaltaehkäisevä lääkitys","General and Unspecified, Preventive immunization/medic",ICPC2,NA,45605203
A45,"Yleiset ja epämääräiset, Seuranta/terveysneuvonta/ruokavalioneuvonta","General and Unspecified, Observ/health educat/advice/diet",ICPC2,NA,NA
A46,"Yleiset ja epämääräiset, Perusterveydenhuollon asiantuntijan konsultaatio","General and Unspecified, Consultation primary care provider",ICPC2,NA,45561706
A47,"Yleiset ja epämääräiset, Erikoislääkärin konsultaatio","General and Unspecified, Consultation with specialist",ICPC2,NA,NA
A48,"Yleiset ja epämääräiset, Potilaan tarpeiden/tulosyyn selvittäminen","General and Unspecified, Clarification/discussion RFE/demand",ICPC2,NA,45755303
A49,"Yleiset ja epämääräiset, Muu ennaltaehkäisevä toimenpide","General and Unspecified, Other preventive procedure",ICPC2,NA,45561708
