concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type
46,192819,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
47,133685,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
48,201780,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
49,193402,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
50,441500,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
51,438959,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
52,196325,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
53,198678,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
54,201618,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
58,261774,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
59,434557,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
60,434271,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
61,441781,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
62,441497,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
63,433690,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
64,4266323,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
65,432246,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
66,432545,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
68,432821,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
69,440631,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
70,438059,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
71,133024,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
72,4091321,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
73,435740,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
74,4265179,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
75,257778,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
76,141213,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
77,436621,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
78,40489908,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
79,132797,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
80,436020,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
81,4104668,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
82,440330,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
84,138346,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
86,432545,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
87,432545,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
88,434279,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
89,4089985,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
90,435739,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
91,436033,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
92,433417,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
93,194287,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
94,45757283,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
95,138973,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
96,199726,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
97,434872,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
98,4093145,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
101,440647,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
102,440647,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
103,436636,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
104,432829,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
105,433966,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
106,440637,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
107,433967,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
108,438967,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
109,380640,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
112,438066,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
113,4080602,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
115,434575,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
116,434567,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
117,436906,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
118,378679,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
119,381783,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
120,377793,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
121,372547,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
122,372547,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
123,372547,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
124,433403,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
125,381783,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
126,381783,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
127,440022,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
128,4049502,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
129,438685,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
130,440029,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
131,438685,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
132,441210,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
133,442783,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
134,440022,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
135,4347554,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
136,4347554,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
138,443943,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
139,4234275,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
140,440032,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
141,4290000,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
142,437784,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
145,380038,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
148,440029,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
149,440029,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
150,135473,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
151,4077081,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
152,433968,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
153,437217,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
154,433134,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
155,433146,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
156,439733,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
157,434859,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
158,4241110,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
159,434281,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
160,440035,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
161,432830,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
162,4257827,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
163,433701,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
164,433701,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
165,438343,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
166,433960,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
167,438353,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
168,438067,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
169,438067,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
170,433407,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
171,438344,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
172,436334,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
173,440653,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
174,438350,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
175,442176,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
179,442176,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
180,436038,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
