"","CODE1","n_codes","n_patients"
"1","A28",1231819,10014
"2","A98",1221173,151424
"3","T90",336753,22153
"4","P20",172797,7881
"5","S18",167911,43785
"6","K78",143938,6385
"7","L28",140660,12695
"8","D82",132897,41414
"9","A29",126905,9317
"10","P70",118885,918
"11","A04",115349,10780
"12","W78",100308,9062
"13","P72",90717,2210
"14","A97",88836,14211
"15","A99",81534,6231
"16","R74",73417,31179
"17","T89",71036,3782
"18","P29",63698,4754
"19","S97",61245,3368
"20","K90",61196,1581
"21","L03",58915,21465
"22","L17",55775,23628
"23","D19",49798,25975
"24","N18",49192,1042
"25","A69",48618,1851
"26","L15",48067,17911
"27","K85",47749,13601
"28","P76",47432,5231
"29","L08",45967,15513
"30","R05",45242,23959
"31","P01",44073,8402
"32","A01",42732,4923
"33","P03",41557,7742
"34","R21",40014,21836
"35","P15",39991,2214
"36","L88",38792,2757
"37","-1",37669,814
"38","P99",36784,2572
"39","L13",32473,11516
"40","S29",31066,15005
"41","B81",30986,2596
"42","H13",29500,15626
"43","H81",29098,14230
"44","R96",27388,6937
"45","A03",27202,16683
"46","L01",26965,10837
"47","P19",26201,542
"48","K86",26093,9376
"49","N87",26075,621
"50","R02",23356,9604
"51","N86",23135,313
"52","N17",22865,8604
"53","U02",22835,10967
"54","K99",22716,1766
"55","L99",21888,1125
"56","L12",21883,11911
"57","-60",21464,6067
"58","K22",20210,3974
"59","S21",19130,9635
"60","W11",18163,7342
"61","U04",18116,2499
"62","D11",17930,10212
"63","N01",17320,9133
"64","S82",17272,10406
"65","A23",17267,1367
"66","L29",17148,5397
"67","D01",16350,8926
"68","N88",16072,339
"69","P28",15942,719
"70","R95",15748,1409
"71","-50",15703,3896
"72","L02",15693,7778
"73","L16",15602,8090
"74","K77",15516,909
"75","H01",15054,9302
"76","K07",14952,2364
"77","F29",14924,6000
"78","Z29",14907,1247
"79","P06",14358,6330
"80","W12",14261,6720
"81","S76",13286,3779
"82","P74",12906,2472
"83","S10",12878,3804
"84","-31",12643,7018
"85","U05",12621,2824
"86","H02",12406,8470
"87","L81",12331,1379
"88","-44",11587,8225
"89","R09",11541,6719
"90","D06",11498,6381
"91","L90",11219,3699
"92","L86",11217,3825
"93","A08",11032,2357
"94","H29",10981,7584
"95","Y77",10935,1389
"96","L14",10637,5320
"97","A05",10474,5290
"98","F05",10470,1388
"99","L11",10453,5867
"100","T86",10418,2652
"101","P80",10101,397
"102","S04",10066,6963
"103","U01",9826,5671
"104","T82",9696,2231
"105","U13",9576,2208
"106","N19",9378,581
"107","K80",9325,4731
"108","F93",9320,135
"109","A48",9300,3417
"110","P25",9152,2591
"111","A11",9135,5059
"112","P05",8855,139
"113","R29",8653,4813
"114","S22",8363,4053
"115","U71",8305,4572
"116","U07",8290,3594
"117","S19",8260,2863
"118","K91",8176,706
"119","R07",8000,5122
"120","R81",7975,2165
"121","A60",7806,4101
"122","S12",7665,5900
"123","D10",7538,5148
"124","F03",7196,4374
"125","T93",7183,3509
"126","W84",7055,1475
"127","W85",7037,1613
"128","P73",6922,453
"129","X23",6857,3448
"130","D02",6721,3923
"131","S14",6692,2249
"132","L09",6677,2823
"133","K93",6631,558
"134","-69",6629,3851
"135","S06",6619,4452
"136","A79",6557,575
"137","N99",6388,536
"138","P98",6265,703
"139","K29",6247,2804
"140","A44",6191,4888
"141","L04",6086,3950
"142","N29",6069,1086
"143","W14",5974,3272
"144","K83",5808,555
"145","R75",5784,3725
"146","K84",5729,1569
"147","-34",5654,2584
"148","L05",5640,3623
"149","A50",5551,2015
"150","T05",5525,327
"151","S15",5468,4109
"152","K04",5387,3365
"153","L76",5261,1455
"154","-45",5243,2767
"155","K94",5167,885
"156","L18",5166,2259
"157","L10",5149,2845
"158","X76",5101,1047
"159","-62",5021,2505
"160","L84",5002,2934
"161","D09",5000,3157
"162","U14",4975,734
"163","L95",4970,1392
"164","R04",4944,2011
"165","A27",4881,2564
"166","U28",4792,382
"167","L20",4780,2204
"168","P18",4681,412
"169","-48",4617,2154
"170","K28",4614,1068
"171","-30",4542,3537
"172","-56",4513,1244
"173","A91",4499,2761
"174","L89",4498,1681
"175","S20",4438,1243
"176","S08",4395,2968
"177","N89",4392,1878
"178","U29",4348,1701
"179","F16",4314,3253
"180","-2",4283,353
"181","P02",4240,2483
"182","D20",4162,2952
"183","L75",4091,532
"184","B82",4063,1198
"185","S17",3997,1587
"186","K05",3990,1695
"187","K25",3893,2604
"188","X15",3884,2293
"189","D12",3806,2052
"190","Y06",3740,1658
"191","U08",3728,736
"192","S01",3723,2758
"193","P16",3691,1129
"194","N28",3690,761
"195","F02",3681,2945
"196","P45",3672,164
"197","T45",3648,1299
"198","S02",3608,2268
"199","K74",3602,677
"200","P58",3588,741
"201","T99",3516,1021
"202","K76",3427,1469
"203","-59",3399,2325
"204","A77",3317,2178
"205","P50",3302,301
"206","B60",3255,1021
"207","W90",3245,1836
"208","L92",3240,1364
"209","S09",3191,1997
"210","A87",3179,483
"211","D99",3179,618
"212","-64",3174,1200
"213","A62",3133,2046
"214","T29",2954,1280
"215","L91",2937,783
"216","D03",2935,1938
"217","L19",2935,1347
"218","S03",2934,1108
"219","K87",2928,1273
"220","L73",2928,598
"221","S28",2921,149
"222","S54",2856,2390
"223","Z12",2809,899
"224","A31",2739,2125
"225","S16",2713,1985
"226","H04",2711,1910
"227","P79",2711,217
"228","D75",2682,302
"229","W31",2675,773
"230","R08",2651,2135
"231","A92",2647,1656
"232","D18",2633,1082
"233","S13",2563,1860
"234","Z28",2561,300
"235","R83",2531,1130
"236","D73",2521,1773
"237","S56",2517,574
"238","K92",2476,592
"239","H84",2468,1635
"240","U70",2453,531
"241","-54",2446,1864
"242","S99",2432,1142
"243","H70",2407,1271
"244","D77",2369,137
"245","T83",2363,1012
"246","U72",2274,1571
"247","K96",2257,1334
"248","T28",2252,557
"249","Y25",2251,1221
"250","S70",2210,1188
"251","S87",2200,1472
"252","R78",2198,1607
"253","R97",2171,1033
"254","X02",2170,1338
"255","T92",2165,909
"256","T07",2157,585
"257","F94",2119,19
"258","S44",2119,1021
"259","R23",2105,1346
"260","F70",2064,1634
"261","U06",2033,1173
"262","W29",2030,1144
"263","F28",2011,239
"264","T60",1980,672
"265","D29",1976,1171
"266","S91",1964,455
"267","F01",1947,1565
"268","R99",1945,892
"269","D95",1925,394
"270","K02",1923,1432
"271","P22",1921,301
"272","K24",1918,1445
"273","D21",1888,601
"274","L74",1878,1126
"275","A70",1877,45
"276","T31",1874,557
"277","S11",1872,902
"278","X21",1872,1059
"279","X14",1805,1190
"280","S50",1801,441
"281","L72",1800,802
"282","F13",1799,1503
"283","L70",1792,201
"284","R06",1742,1163
"285","B80",1685,880
"286","T91",1666,370
"287","-57",1631,332
"288","D16",1629,1138
"289","N80",1622,853
"290","Z05",1621,755
"291","P85",1605,79
"292","Z03",1600,440
"293","-58",1597,454
"294","R28",1597,649
"295","-35",1587,993
"296","F99",1574,281
"297","A30",1562,1311
"298","K60",1557,535
"299","P17",1551,847
"300","R03",1539,558
"301","-55",1520,521
"302","B29",1516,198
"303","D76",1507,79
"304","A45",1505,1200
"305","S88",1493,1169
"306","K01",1492,747
"307","Z08",1491,705
"308","S74",1482,1089
"309","A63",1464,181
"310","-43",1459,1170
"311","F73",1450,1125
