CodeId;Abbreviation;ShortName;LongName;ParentId;HierarchyLevel;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;CreatedDate;A:Alakomponentti (icpc);ALONG:Anm.;ALONG:Ensisijainen ICD-10;ALONG:Exkluderar;A:Harkitse (icpc);ALONG:Huom.;ALONG:ICD-10;ALONG:Inkluderar;A:Komponent (icpc);A:Komponentti (icpc);ALONG:Kriteerit (icpc);ALONG:Kriterier (icpc);A:Lehtisolmu;A:Långt_namn;ALONG:Mukaan lukien;ALONG:Pois lukien;A:Subkomponent (icpc);A:Sukupuoli;A:Överväg (icpc);ALONG:Consider_EN;ALONG:Criteria_EN;ALONG:Exclusion_EN;ALONG:Inclusion_EN;A:Long_name;A:Päivystysapu116117
A;Yleiset ja epämääräiset;Yleiset ja epämääräiset;Yleiset ja epämääräiset;;0;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1384;04.02.2008;;I denna klassifikation syftar allmän eller multipla till tre eller flera kroppsdelar eller organsystem. Tillstånd, som berör en eller två av kroppens delar kodas till vederbörliga platser.;;;;Yleisellä ja usealla viitataan tässä luokituksessa tilaan, joka käsittää vähintään vähintään kolme kehonosaa tai elinjärjestelmää. Yksi tai kaksi kehonosaa tai elinjärjestelmää koskevat tilat kirjataan ko. asiayhteyteen soveltuviin luokkiin.;;;;;;;F;Generella och ospecifika;;;;;;;;;;;
A01;Kipu, yleinen / monessa paikassa;Kipu, yleinen / monessa paikassa;Kipu, yleinen / monessa paikassa;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1385;04.02.2008;;;R52.9;;;;R52.0,R52.1,R52.2,R52.9;kronisk generaliserad smärta./värk på många ställen;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Smärta, allmän / flera platser;krooninen yleistynyt kipu./särky eri paikoissa;;;;;;;;chronic general pain, multiple aches;Pain general/multiple sites;T
A02;Vilunväristykset;Vilunväristykset;Vilunväristykset;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1386;04.02.2008;;;R68.88;feber A03;;;R68.8,R68.81,R68.88;frossa./frossbrytningar;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Frossbrytningar;horkka./vilunväreet;kuume A03;;;;;;fever A03;rigors, shivers;Chills;
A03;Kuume;Kuume;Kuume;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1387;04.02.2008;;;R50.9;feber med utslag A76./värmeslag eller slag A88;;;R50.8,R50.9;pyrexi./stegring;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Feber;kuumetila;kuume ihottumaan liittyneenä A76./lämpöhalvaus A88;;;;;;fever with rash A76, heat exhaustion/stroke A88;pyrexia;Fever;T
A04;Heikkous/väsymys, yleinen;Heikkous/väsymys, yleinen;Heikkous/väsymys, yleinen;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1388;04.02.2008;;;R53;allmän sjukdomskänsla./illamående A05./sömnighet A29./värmeslag A88./jetlag A88./sömnstörning P06;;;G93.3,R53;kroniskt trötthetssyndrom./uttröttning./svaghetstillstånd./letargi./trötthet efter virusinfektion;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Svaghet / trötthet, allmän;krooninen uupumusoireyhtymä./raukeus./uupumus./virustulehduksen jälkeinen heikkous./väsymys;sairauden tunne A05./uneliaisuus A29./lämpöhalvaus A88./jet lag A88./unihäiriö P06;;;;;;malaise/feeling ill A05, drowsiness A29, heat exhaustion A88, jetlag A88, Sleep disturbance P06;chronic fatigue syndrome, exhaustion, fatigue, lassitude, lethargy, postviral fatigue;Weakness/tiredness general;T
A05;Sairauden tunne;Sairauden tunne;Sairauden tunne;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1389;04.02.2008;;;R53;ålderdom./senilitet P05./kakexi T08./undernäring T91;;;R53;svaghetstillstånd;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Sjukdomskänsla;huonovointisuus;vanhuuden tunne / seniliteetti P05./näivetys T08./ravitsemushäiriö T91;;;;;;senescence/senility P05, cachexia T08, malnutrition T91;malaise;Feeling ill;T
A06;Pyörtyminen;Pyörtyminen;Pyörtyminen;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1390;04.02.2008;;;R55;koma A07./svimningskänsla / svindel / yrsel N17;;;R55;blackout./kollaps./vasovagal attack./syncope;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Svimning;kollapsi./silmissä musteneminen./synkopee./vasovagaalireaktio;kooma A07./ pyörtymisen tunne./huimaus N17;;;;;;coma A07, feeling faint/giddiness/dizziness N17;blackout, collapse, vasovagal attack;Fainting/syncope;T
A07;Tajuttomuus;Tajuttomuus;Tajuttomuus;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1391;04.02.2008;;;R40.2;syncope./svimning A06;;;E11.00,E11.01,E11.09,R40.0,R40.1,R40.2;stupor./koma;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Medvetslöshet;horros, kooma;pyörtyminen A06;;;;;;syncope A06;stupor;Coma;T
A08;Turvotus;Turvotus;Turvotus;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1392;04.02.2008;;;R68.88;lymfknut B02./ödem K07./ledsvullnad L20./knöl i bröstet hos kvinna X19./manlig bröstkörtel symptom Y16;;;R68.8,R68.81,R68.88;ansvällning./knöl UNS;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Svullnad;kohouma./patti;suurentunut imusolmuke B02./ turvotus K07./ nivelturvotus l20./kyhmy naisen rinnassa X19./ rintarauhasen oire/vaiva miehellä Y16;;;;;;enlarged lymph gland B02, oedema K07, swelling joint L20, swelling breast (breast lump/mass female) X19, swelling breast (breast symptom/complaint male) Y16;lump, mass NOS;Swelling;
A09;Hikoiluongelma;Hikoiluongelma;Hikoiluongelma;A;1;01.01.2000;31.12.2030;05.05.2020;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1393;04.02.2008;;;R61.9;svettkörtelsjukdom S92;;;R61.0,R61.1,R61.9;hyperhidros./perspirationsproblem;1 Symptom/besvär;1 Oireet ja vaivat;;;T;Svettningsproblem;liikahikoilu, yleinen ja paikallinen;hikirauhassairaus S92;;;;;;sweat gland disease S92;hyperhydrosis, diffuse and localised;Sweating problem;
