concept_id,concept_synonym_name,language_concept_id
5,Laaja terveydentilan arviointi/tarkastus,4181730
6,Suppea terveydentilan arviointi/tarkastus,4181730
7,Allergiatutkimus,4181730
8,Mikrobiologinen/immunologinen koe,4181730
9,Veritutkimus,4181730
10,Virtsatutkimus,4181730
11,Ulostetutkimus,4181730
12,Histologinen/sytologinen tutkimus,4181730
13,Muu laboratoriotutkimus,4181730
14,Kliininen toimintakoe,4181730
15,Diagnostinen endoskopia,4181730
16,Diagnostinen kuvantaminen,4181730
17,Elektrofysiologinen tutkimus,4181730
18,Muu tutkimustoimenpide,4181730
19,Rokotus / ennaltaehkäisevä lääkitys,4181730
20,Seuranta/terveysneuvonta/ruokavalioneuvonta,4181730
21,Perusterveydenhuollon asiantuntijan konsultaatio,4181730
22,Erikoislääkärin konsultaatio,4181730
23,Potilaan tarpeiden/tulosyyn selvittäminen,4181730
24,Muu ennaltaehkäisevä toimenpide,4181730
25,Lääkitys/lääkemääräys/uusinta/injektio,4181730
26,Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto,4181730
27,Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto,4181730
28,Katetrointi/intubointi/laajentaminen,4181730
29,Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto),4181730
30,Paikallinen lääkeaineinjektio,4181730
31,Sidos/kompressi/tamponointi,4181730
32,Fysikaalinen hoito / kuntoutus,4181730
33,Terapeuttinen neuvonta / kuuntelu,4181730
34,Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia,4181730
35,Tutkimustulosten kuuleminen,4181730
36,Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta,4181730
37,Hallinnollinen toimenpide,4181730
38,Muu seurantakäynti,4181730
39,Hoidonantajan käynnistämä tapahtuma,4181730
40,Muun henkilön käynnistämä tapahtuma,4181730
41,Lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri),4181730
42,Lähete erikoislääkärille/sairaalaan,4181730
43,Muu lähete,4181730
44,Muu käynnin syy,4181730
45,Yleiset ja epämääräiset,4181730
46,"Kipu, yleinen / monessa paikassa",4181730
47,Vilunväristykset,4181730
48,Kuume,4181730
49,"Heikkous/väsymys, yleinen",4181730
50,Sairauden tunne,4181730
51,Pyörtyminen,4181730
52,Tajuttomuus,4181730
53,Turvotus,4181730
54,Hikoiluongelma,4181730
55,"Verenvuoto, määrittämätön",4181730
56,"Rintakipu, määrittämätön",4181730
57,Huoli lääkkeen/hoidon sivuvaikutuksesta,4181730
58,Ärtyisä vauva,4181730
59,Huoli ulkonäöstä,4181730
