CodeId;Abbreviation;ShortName;LongName;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;CreatedDate;A:Harkitse (icpc);ALONG:Huom.;ALONG:Kriteerit (icpc);A:Långt_namn;ALONG:Mukaan lukien;ALONG:Pois lukien
-30;Laaja tutkimus/arviointi;Laaja tutkimus/arviointi;Laaja terveydentilan arviointi/tarkastus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Suppea terveydentilan arviointi/tarkastus-31, Kliininen toimintakoe -39;;;Medicinsk undersökning / grundlig;kattava yhden elinjärjestelmän tai koko kehon käsittävä tarkastus, laaja terveydentilan tarkastus, laaja-alainen terveystarkastus lastenneuvolassa, laaja-alainen terveystarkastus kouluterveydenhuollossa;
-31;Suppea tutkimus/arviointi;Suppea tutkimus/arviointi;Suppea terveydentilan arviointi/tarkastus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Laaja terveydentilan arviointi/tarkastus -30, Kliininen toimintakoe -39;;yksittäisen elinjärjestelmän osan käsittävä tai osittainen tarkastus, esim. sydämen kuuntelu tai verenpaineen mittaus (K31) tai kehon lämpötilan mittaaminen (A31);Medicinsk undersökning / partiell;kohdennettu terveydentilan tarkastus, yksittäisen terveysongelman kliininen seulonta;
-32;Allergiatutkimus;Allergiatutkimus;Allergiatutkimus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Veritutkimus -34;;allergian tai intoleranssin toteamiseksi tai poissulkemiseksi tehtävä testi;Allergitest;ihon prick-testi, lapputesti, Mantoux´n koe,  radioimmuunisorbenttitesti (RAST), ruoka-ainealtistuskoe, metakoliinikoe;siedätyshoito -44
-33;Mikrobiol./immun. koe;Mikrobiol./immun. koe;Mikrobiologinen/immunologinen koe;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Veritutkimus -34, Virtsatutkimus  -35, Ulostetutkimus -36, Histologinen/sytologinen koe -37, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto -52;Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37;bakteeriin, virukseen tai muihin mikro-organismeihin liittyvä tutkimus;Mikrobiologiskt / annat immunologiskt prov;veriviljely, virtsaviljely, ulosteviljely, yskösviljely, nieluviljely, ihon pintamärkäviljely, fluoriviljely, antigeeni- tai vasta-ainemääritys (esim. HIV-, HPV- tai hepatiitti B-infektiossa), vasta-ainepitoisuuden määritys;Mantoux’n testi -32, veriryhmä ja tyyppi -34, siemennesteanalyysi -38
-34;Veritutkimus;Veritutkimus;Veritutkimus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Mikrobiologinen/immunologinen koe -33;Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37;verinäytteestä tehtävä laboratoriotutkimus;Blodprov;veriryhmä ja tyyppi, lasko (B-La), veren valkosolut (fB-Leuk), metabolinen peruspaneeli, veren hormonipitoisuus, veren entsyymitaso, veren lääkepitoisuus, veren alkoholitaso, C-reaktiivinen proteiini (B-CRP), protrombiiniaika (B-INR), fibriinin D-dimeerit (B-FIDD), valtimoveren kaasut, kreatiniinin puhdistuman laskeminen, raskaustesti verestä;radioimmuunisorbenttitesti (RAST) -32, veriviljely -33, kreatiniinipuhdistuman laskeminen -35, albumiini-kreatiniini -suhde -35
-35;Virtsatutkimus;Virtsatutkimus;Virtsatutkimus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Mikrobiologinen/immunologinen koe -33;Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37;virtsanäytteestä tehtävä laboratoriotutkimus;Urinprov;virtsan liuskatesti, lääkkeen osoitus virtsasta, raskaustesti virtsasta, albumiini-kreatiniini -suhteen määritys virtsasta;virtsan sedimentin tutkimus -37, raskaustesti verestä -34, kreatiniinipuhdistuman laskeminen -34
-36;Ulostetutkimus;Ulostetutkimus;Ulostetutkimus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;Kemialliset kokeet luokitellaan sen substraatin tai aineen mukaisesti jota käyttäen tutkimus on tehty, kun taas mikrobiologiset/immunologiset kokeet kuuluvat luokkaan -33 ja histologiset/sytologiset kokeet luokkaan -37;ulostenäytteestä tehtävä laboratoriotutkimus, ulosteviljely pois lukien;Avföringsprov;ulostenäytteen tutkiminen (munat, kystat, parasiitit), piilevän veren osoittaminen ulosteesta;ulosteviljely -33
-37;Histol./sytol. koe;Histol./sytol. koe;Histologinen/sytologinen tutkimus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;histologinen tai sytologinen tutkimus soluista, joita on kerätty kehosta solumuutosten toteamiseksi;Histologiskt / cytologiskt prov;histologinen tai sytologinen tutkimus kudoksesta tai nesteestä, joka on saatu punktiolla, biopsialla, ekskiisiolla, harjaamisella tai keräämällä, virtsan sytologia, ysköksen mikroskopia, siemennesteanalyysi;mikrobiologinen koe -33, ihon raaputusnäytteiden tutkiminen -33
-38;Muu lab.tutkimus;Muu lab.tutkimus;Muu laboratoriotutkimus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Kun kyseessä raskauden aikainen kromosomiseulonta, kaksoiskoodaa verikoe -34 ja kuvantaminen -41;;;Annat laboratorieprov;DNA-, geneettinen- tai kromosomitesti, isyyskoe, siemennesteanalyysi, hikikoe, kyynelnesteen eritystesti, Helicobacter pylori -hengitystesti -38, mikä tahansa muu laboratoriokoe, joka ei sisälly tutkimuksiin liittyviin luokkiin  -32,- 33, -34, -35, -36 tai -37;rasituskoe käyttäen kuvantamista -41, sähkökäyrän rekisteröinti -42, Holter-monitorointi -42
-39;Kliin. toimintakoe;Kliin. toimintakoe;Kliininen toimintakoe;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;kvantitatiivinen koe, joka on tarkoitettu mittaamaan kehon toimintojen kapasiteettia, lukuun ottamatta henkistä tilaa;Kliniskt funktionstest;tympanometria, audiometria, tonometria, näkötesti, näkökentän tutkimus, värinäön tutkiminen, kalorimetrinen tai vestibulaarifunktion testaus, spirometria, virtsan virtausmittaus;rasituskoe käyttäen kuvantamista -41, rasituskoe elektrofysiologisella rekisteröinnillä -42, Holter-monitorointi -42, psyykkisen toimintakyvyn testi -43
