code,name_fi,name_en,ICPC_version,main_icd10fi,concept_id,mappingStatus
-30,Laaja terveydentilan arviointi/tarkastus,Medical examin/health eval complete,ICPC2_proc,NA,NA,NOT_MAPPED
-31,Suppea terveydentilan arviointi/tarkastus,Medical examin/health eval partial,ICPC2_proc,NA,NA,NOT_MAPPED
-32,Allergiatutkimus,Sensitivity test,ICPC2_proc,NA,NA,NOT_MAPPED
-33,Mikrobiologinen/immunologinen koe,Microbiological/immunological test,ICPC2_proc,NA,NA,NOT_MAPPED
-34,Veritutkimus,Blood test,ICPC2_proc,NA,NA,NOT_MAPPED
-35,Virtsatutkimus,Urine test,ICPC2_proc,NA,NA,NOT_MAPPED
-36,Ulostetutkimus,Faeces test,ICPC2_proc,NA,NA,NOT_MAPPED
-37,Histologinen/sytologinen tutkimus,Histological/exfoliative cytology,ICPC2_proc,NA,NA,NOT_MAPPED
-38,Muu laboratoriotutkimus,Other laboratory test NEC,ICPC2_proc,NA,NA,NOT_MAPPED
-39,Kliininen toimintakoe,Physical function test,ICPC2_proc,NA,NA,NOT_MAPPED
-40,Diagnostinen endoskopia,Diagnostic endoscopy,ICPC2_proc,NA,NA,NOT_MAPPED
-41,Diagnostinen kuvantaminen,Diagnostic radiology/imaging,ICPC2_proc,NA,NA,NOT_MAPPED
-42,Elektrofysiologinen tutkimus,Electrical tracing,ICPC2_proc,NA,NA,NOT_MAPPED
-43,Muu tutkimustoimenpide,Other diagnostic procedure,ICPC2_proc,NA,NA,NOT_MAPPED
-44,Rokotus / ennaltaehkäisevä lääkitys,Preventive immunization/medic,ICPC2_proc,NA,NA,NOT_MAPPED
-45,Seuranta/terveysneuvonta/ruokavalioneuvonta,Observ/health educat/advice/diet,ICPC2_proc,NA,NA,NOT_MAPPED
-46,Perusterveydenhuollon asiantuntijan konsultaatio,Consultation primary care provider,ICPC2_proc,NA,NA,NOT_MAPPED
-47,Erikoislääkärin konsultaatio,Consultation with specialist,ICPC2_proc,NA,NA,NOT_MAPPED
-48,Potilaan tarpeiden/tulosyyn selvittäminen,Clarification/discussion RFE/demand,ICPC2_proc,NA,NA,NOT_MAPPED
-49,Muu ennaltaehkäisevä toimenpide,Other preventive procedure,ICPC2_proc,NA,NA,NOT_MAPPED
