code,freq_finngen,freq_total
A28,1231819,1231819
A98,1221173,1221173
T90,336753,336753
P20,172797,172797
S18,167911,167911
K78,143938,143938
L28,140660,140660
D82,132897,132897
A29,126905,126905
P70,118885,118885
A04,115349,115349
W78,100308,100308
P72,90717,90717
A97,88836,88836
A99,81534,81534
R74,73417,73417
T89,71036,71036
P29,63698,63698
S97,61245,61245
K90,61196,61196
L03,58915,58915
L17,55775,55775
D19,49798,49798
N18,49192,49192
A69,48618,48618
L15,48067,48067
K85,47749,47749
P76,47432,47432
L08,45967,45967
R05,45242,45242
P01,44073,44073
A01,42732,42732
P03,41557,41557
R21,40014,40014
P15,39991,39991
L88,38792,38792
-1,37669,37669
P99,36784,36784
L13,32473,32473
S29,31066,31066
B81,30986,30986
H13,29500,29500
H81,29098,29098
R96,27388,27388
A03,27202,27202
L01,26965,26965
P19,26201,26201
K86,26093,26093
N87,26075,26075
R02,23356,23356
N86,23135,23135
N17,22865,22865
U02,22835,22835
K99,22716,22716
L99,21888,21888
L12,21883,21883
-60,21464,21464
K22,20210,20210
S21,19130,19130
W11,18163,18163
U04,18116,18116
D11,17930,17930
N01,17320,17320
S82,17272,17272
A23,17267,17267
L29,17148,17148
D01,16350,16350
N88,16072,16072
P28,15942,15942
R95,15748,15748
-50,15703,15703
L02,15693,15693
L16,15602,15602
K77,15516,15516
H01,15054,15054
K07,14952,14952
F29,14924,14924
Z29,14907,14907
P06,14358,14358
W12,14261,14261
S76,13286,13286
P74,12906,12906
S10,12878,12878
-31,12643,12643
U05,12621,12621
H02,12406,12406
L81,12331,12331
-44,11587,11587
R09,11541,11541
D06,11498,11498
L90,11219,11219
L86,11217,11217
A08,11032,11032
H29,10981,10981
Y77,10935,10935
L14,10637,10637
A05,10474,10474
F05,10470,10470
L11,10453,10453
T86,10418,10418
P80,10101,10101
S04,10066,10066
U01,9826,9826
T82,9696,9696
U13,9576,9576
N19,9378,9378
K80,9325,9325
F93,9320,9320
A48,9300,9300
P25,9152,9152
A11,9135,9135
P05,8855,8855
R29,8653,8653
S22,8363,8363
U71,8305,8305
U07,8290,8290
S19,8260,8260
K91,8176,8176
R07,8000,8000
R81,7975,7975
A60,7806,7806
S12,7665,7665
D10,7538,7538
F03,7196,7196
T93,7183,7183
W84,7055,7055
W85,7037,7037
P73,6922,6922
X23,6857,6857
D02,6721,6721
S14,6692,6692
L09,6677,6677
K93,6631,6631
-69,6629,6629
S06,6619,6619
A79,6557,6557
N99,6388,6388
P98,6265,6265
K29,6247,6247
A44,6191,6191
L04,6086,6086
N29,6069,6069
W14,5974,5974
K83,5808,5808
R75,5784,5784
K84,5729,5729
-34,5654,5654
L05,5640,5640
A50,5551,5551
T05,5525,5525
S15,5468,5468
K04,5387,5387
L76,5261,5261
-45,5243,5243
K94,5167,5167
L18,5166,5166
L10,5149,5149
X76,5101,5101
-62,5021,5021
L84,5002,5002
D09,5000,5000
U14,4975,4975
L95,4970,4970
R04,4944,4944
A27,4881,4881
U28,4792,4792
L20,4780,4780
P18,4681,4681
-48,4617,4617
K28,4614,4614
-30,4542,4542
-56,4513,4513
A91,4499,4499
L89,4498,4498
S20,4438,4438
S08,4395,4395
N89,4392,4392
U29,4348,4348
F16,4314,4314
-2,4283,4283
P02,4240,4240
D20,4162,4162
L75,4091,4091
B82,4063,4063
S17,3997,3997
K05,3990,3990
K25,3893,3893
X15,3884,3884
D12,3806,3806
Y06,3740,3740
U08,3728,3728
S01,3723,3723
P16,3691,3691
N28,3690,3690
F02,3681,3681
P45,3672,3672
T45,3648,3648
S02,3608,3608
K74,3602,3602
P58,3588,3588
T99,3516,3516
K76,3427,3427
-59,3399,3399
A77,3317,3317
P50,3302,3302
B60,3255,3255
W90,3245,3245
L92,3240,3240
S09,3191,3191
A87,3179,3179
D99,3179,3179
-64,3174,3174
A62,3133,3133
T29,2954,2954
L91,2937,2937
D03,2935,2935
L19,2935,2935
S03,2934,2934
K87,2928,2928
L73,2928,2928
S28,2921,2921
S54,2856,2856
Z12,2809,2809
A31,2739,2739
S16,2713,2713
H04,2711,2711
P79,2711,2711
D75,2682,2682
W31,2675,2675
R08,2651,2651
A92,2647,2647
D18,2633,2633
S13,2563,2563
Z28,2561,2561
R83,2531,2531
D73,2521,2521
S56,2517,2517
K92,2476,2476
H84,2468,2468
U70,2453,2453
-54,2446,2446
S99,2432,2432
H70,2407,2407
D77,2369,2369
T83,2363,2363
U72,2274,2274
K96,2257,2257
T28,2252,2252
Y25,2251,2251
S70,2210,2210
S87,2200,2200
R78,2198,2198
R97,2171,2171
X02,2170,2170
T92,2165,2165
T07,2157,2157
F94,2119,2119
S44,2119,2119
R23,2105,2105
F70,2064,2064
U06,2033,2033
W29,2030,2030
F28,2011,2011
T60,1980,1980
D29,1976,1976
S91,1964,1964
F01,1947,1947
R99,1945,1945
D95,1925,1925
K02,1923,1923
P22,1921,1921
K24,1918,1918
D21,1888,1888
L74,1878,1878
A70,1877,1877
T31,1874,1874
S11,1872,1872
X21,1872,1872
X14,1805,1805
S50,1801,1801
L72,1800,1800
F13,1799,1799
L70,1792,1792
R06,1742,1742
B80,1685,1685
T91,1666,1666
-57,1631,1631
D16,1629,1629
N80,1622,1622
Z05,1621,1621
P85,1605,1605
Z03,1600,1600
-58,1597,1597
R28,1597,1597
-35,1587,1587
F99,1574,1574
A30,1562,1562
K60,1557,1557
P17,1551,1551
R03,1539,1539
-55,1520,1520
B29,1516,1516
D76,1507,1507
A45,1505,1505
S88,1493,1493
K01,1492,1492
Z08,1491,1491
S74,1482,1482
A63,1464,1464
-43,1459,1459
F73,1450,1450
P86,1447,1447
S77,1436,1436
-42,1398,1398
R01,1390,1390
S79,1386,1386
D25,1385,1385
T03,1385,1385
Z11,1385,1385
L77,1378,1378
L87,1354,1354
A34,1349,1349
X19,1332,1332
K89,1326,1326
S94,1304,1304
P27,1302,1302
Y85,1288,1288
A55,1264,1264
U99,1264,1264
L82,1263,1263
D28,1254,1254
H03,1232,1232
K43,1223,1223
H51,1218,1218
-38,1213,1213
T08,1213,1213
D89,1200,1200
A13,1179,1179
W79,1176,1176
F72,1174,1174
A80,1163,1163
W92,1151,1151
-51,1136,1136
D17,1135,1135
A81,1130,1130
D04,1117,1117
Z06,1110,1110
H82,1077,1077
K95,1074,1074
R44,1068,1068
T27,1059,1059
S59,1051,1051
F92,1043,1043
D94,1042,1042
K79,1039,1039
S24,1039,1039
Y28,1030,1030
P04,1014,1014
-49,1010,1010
Z27,1006,1006
A06,967,967
H71,961,961
A54,951,951
H27,947,947
S96,945,945
F43,936,936
P24,936,936
X11,928,928
X16,925,925
L50,922,922
X18,922,922
L48,921,921
S85,907,907
D91,904,904
K34,892,892
F21,891,891
T69,890,890
R84,880,880
X05,878,878
Z63,877,877
X06,875,875
L83,868,868
X92,857,857
N74,850,850
D97,847,847
R27,833,833
L78,826,826
A78,819,819
X07,816,816
T48,810,810
X29,809,809
X72,805,805
X77,801,801
L07,799,799
D92,791,791
R43,789,789
R80,787,787
N05,786,786
U75,770,770
R76,766,766
D93,762,762
Y29,762,762
X86,760,760
N27,759,759
L93,752,752
T73,751,751
A09,746,746
N81,736,736
X37,736,736
X08,735,735
Y05,730,730
N93,717,717
Z07,709,709
S75,694,694
H28,691,691
B04,678,678
K88,674,674
B28,667,667
A82,663,663
S26,654,654
Z30,654,654
S93,648,648
X17,636,636
W45,630,630
S71,616,616
Z25,615,615
A61,609,609
K50,606,606
A38,599,599
F27,599,599
N06,599,599
R72,597,597
P55,596,596
X01,590,590
D98,587,587
W05,586,586
U60,581,581
R48,575,575
A02,573,573
B74,571,571
S78,570,570
Z21,568,568
A85,565,565
P49,558,558
W27,556,556
A57,553,553
Z09,552,552
W01,551,551
Z22,534,534
B72,531,531
W83,529,529
-37,527,527
K27,526,526
T62,523,523
A59,522,522
Z15,521,521
B99,518,518
N03,516,516
Y02,516,516
K31,513,513
D62,511,511
S72,511,511
-65,509,509
B02,509,509
T85,505,505
X84,502,502
X99,502,502
A49,499,499
L57,499,499
L98,492,492
P63,485,485
D70,476,476
D74,475,475
T30,473,473
U27,463,463
K48,462,462
S92,459,459
S55,458,458
Y08,458,458
K45,457,457
P23,457,457
S98,457,457
A76,451,451
X26,438,438
D84,435,435
S07,433,433
S48,432,432
A35,430,430
W30,425,425
B73,423,423
F76,420,420
W82,419,419
Z18,417,417
Z20,415,415
T66,414,414
Z01,412,412
L85,407,407
R39,403,403
H76,397,397
D08,396,396
W15,396,396
-67,390,390
Y04,388,388
Z16,387,387
P77,381,381
-61,376,376
Z23,376,376
P48,374,374
X87,369,369
D27,367,367
Z14,366,366
N07,359,359
U77,352,352
Z10,352,352
R24,351,351
A10,350,350
Y16,344,344
N73,337,337
L71,335,335
D05,333,333
W03,333,333
Y07,329,329
X10,327,327
B50,324,324
W60,323,323
A89,322,322
Y99,321,321
B44,319,319
-39,315,315
S23,311,311
Z13,310,310
A43,309,309
N95,308,308
S27,308,308
S84,307,307
D83,306,306
T81,303,303
W02,302,302
K75,300,300
R85,300,300
N79,299,299
N94,298,298
W94,298,298
N04,296,296
U48,296,296
U76,295,295
P69,292,292
D07,289,289
X12,286,286
R82,283,283
W48,281,281
N76,278,278
W70,278,278
Z19,278,278
X04,275,275
W18,274,274
K39,272,272
A26,271,271
R60,270,270
D40,263,263
A12,262,262
A56,262,262
N43,260,260
Z48,260,260
L80,259,259
P81,256,256
D48,255,255
D87,255,255
D81,254,254
-63,253,253
-33,252,252
N75,249,249
R77,244,244
S86,238,238
A21,236,236
-46,235,235
R50,232,232
T71,227,227
D24,226,226
P31,226,226
X90,225,225
F04,224,224
S05,223,223
P82,217,217
Z24,217,217
