CODE1,freq,n_pats
Z3231,311458,36159
TK800,217138,1158
Z2221,198593,43753
ZXD10,136428,57260
GD1AA,128466,52196
ZX012,102925,5358
ZXE00,98819,50787
ZY010,95324,4923
Z3226,77843,19769
R4110,71796,23220
ZXE10,68534,43088
LC2BE,64994,28981
ZXD05,55070,39263
ZXA00,50922,32335
ZX120,50858,7789
UJD10,49758,31773
WF003,47132,2513
ZXA05,46950,30145
WF002,44495,2022
FM1AE,43571,16475
UJF32,40267,26325
CJE20,37852,25667
FM1EE,33828,16422
WX404,33243,20933
AA1AD,32345,21603
WZC00,31870,16143
WX408,31777,24099
ZXE11,31399,6246
R4160,31182,1919
ZXA10,30795,19673
Z3229,30383,8710
FN1AC,29706,20350
MA2AE,29507,9904
WX110,29488,21740
XFP20,29351,4555
UKC02,28945,14622
XCW99,28388,9796
HA003,28136,1697
XF400,28107,15575
XCK10,28038,11323
JN4BD,28015,11506
Z2445,26277,4081
TPH04,26217,14937
MA2HE,25164,11858
CKD05,23975,2716
XKD00,23666,12967
WX320,19788,15677
Z3232,19459,6925
ZXD20,19194,14526
JN3AE,18254,13130
LC2AE,18189,10164
XLD00,17501,10058
NG1AA,17487,8766
GD1QA,17479,11552
TNX10,17181,5611
ZXE06,17036,4810
WX700,16953,11450
Z2446,16642,5718
ULA02,16322,7918
KC1EE,16293,9883
WD125,16228,2440
FM1DE,15729,8479
R2130,15606,5678
NGD05,15398,12709
ZXE20,15122,12070
GD1UA,14555,9462
R5110,14367,7203
JN3BD,14270,10446
XCK00,13594,6450
WD105,13571,1997
NF1AA,13397,6194
R4120,13387,4680
XF402,13042,10571
ZX070,12955,807
NK4XE,12864,4839
ZXE02,12805,2946
TFP20,12508,5584
R5140,12485,6229
ZY020,12348,4722
NA3AA,12202,7807
TK810,12091,184
LX1AE,11869,5947
UJF45,11807,7728
PH2AE,11776,8964
HA013,11633,583
ZXE03,11624,3846
XF404,11602,7454
QDB10,11382,3128
ZXE04,11345,4581
WB113,11306,2941
TQX10,11183,7872
WXQ27,11180,610
LCA06,11016,8999
HA1AA,10730,5755
WZC30,10714,6131
ZX112,10515,1385
NH3AA,10514,6439
ND2AA,10332,6559
SAA03,10289,5767
WZB00,10200,5430
ZX090,10172,2727
MA2DE,10157,4261
UJF30,10003,7208
WX002,9995,7904
MA1AE,9941,6477
MA2JE,9797,6286
JAB30,9782,8573
ZXE13,9782,3594
XPX99,9776,4856
NH1AA,9739,5005
UDC00,9624,4812
W0A12,9612,455
JKA21,9583,9387
JN1AE,9551,7361
MCA10,9412,7086
ZX080,9385,625
XMA22,9343,3725
ZXE05,9250,4415
HA1AE,9089,4922
NGB20,9028,7190
NA3BG,8906,7337
MA2XE,8846,3973
ND1AA,8755,4428
AA400,8749,677
R2110,8748,5894
AA1CG,8621,6215
MAX99,8465,6052
R4140,8434,491
QAE10,8429,6404
WD405,8316,977
XQ800,8252,6942
WX100,8082,5902
IEY05,7935,1223
EB1HA,7910,6446
TKC20,7841,4614
