TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
GD1AA,Thorax rtg,Thoraxin röntgen,Toraxröntgen,190792
S2600,,,,181056
ZX070,Intensiteettimuokattu sädehoito (IMRT),Intensiteettimuokattu sädehoito (IMRT),Intensitetsmodifierad strålbehandling (IMRT),161676
TK800,Hemodialyysi,Hemodialyysi,Hemodialys,120193
WF003,Sädehoito primaarikasvaimen liitännäishoitona,Sädehoito primaarikasvaimen liitännäishoitona,Adjuvant strålbehandling av primärtumör,114193
WX408,Balansoitu yleisanestesia,Yleisanestesian ylläpito sekä laskimoon annettavalla että inhaloitavalla anesteetilla,"Generell anestesi, balanserad",113618
WX110,Infiltraatiopuudutus,Infiltraatiopuudutus,Infiltrationsanestesi,93561
WF002,Radikaali primaarikasvaimen sädehoito,Radikaali primaarikasvaimen sädehoito,Radikal strålbehandling av primärtumör,89472
ZX080,Kuvantaohjattu sädehoito (IGRT),Kuvantaohjattu sädehoito (IGRT),Bildassisterad strålbehandling  (IGRT),85805
ZXE00,Toimenpiteen kesto enintään 1 tunti,Toimenpiteen kesto enintään 1 tunti,Tidsåtgång maximalt 1 timme,83305
ZX012,Sädeh muot laajakentillä - isosentr,Sädehoito muotoilluilla laajakentillä - isosentrinen hoito,Strålbehandling med formulerade utsträckta fält - isocentrisk behandling,76420
H0434,,,,55791
H0519,,,,52053
ZXE10,Toimenpiteen kesto vähintään 1 mutta alle 3 tuntia,Toimenpiteen kesto vähintään 1 mutta alle 3 tuntia,"Vårdkontakt, tidsåtgång 1-3 timmar",48069
WZC00,Hoidon suunnittelu tai konsultaatio,Hoidon suunnittelu tai konsultaatio,Vårdplanering eller konsultation,44241
GD1UA,"Thorax-rtg, ulkop",Thoraxin röntgen radiologian yksikön ulkopuolella,Toraxröntgen utanför radiologisk enhet,43336
WX404,Suonensisäinen yleisanestesia,Yleisanestesian ylläpito laskimoon annettavalla anesteetilla,Generell anestesi baserad på i.v. anestesi,43198
JN4BD,Vartalon laaja TT,Vartalon laaja tietokonetomografiatutkimus,"Kropp,  omfattande DT",42677
FM1EE,"Sydän,rakenteell.UÄ",Sydämen kattava rakenteellinen ja toiminnallinen ultraäänitutkimus,"Hjärta, omfattande strukturellt och funktionellt UL",42326
WX320,Spinaalipuudutus,Spinaalipuudutus,Spinalanestesi,40069
JN3AE,Abdomenin UÄ,Vatsan ultraäänitutkimus,"Buk, UL",37964
ZX095,Yhdistetty sädehoito ja kemoterapia,Yhdistetty sädehoito ja kemoterapia,Kombinerad strålbehandling och kemoterapi,35048
ZXD05,Kiireellinen toimenpide,Kiireellinen toimenpide,Akut operation,31788
XX3DW,Työläs työasematyö,Laaja lisäanalyysi radiologisesta tutkimusaineistosta,Tidskrävande tilläggsanalys av  existerande radiologisk  material,31538
