CodeId,ShortName,TOIMENPIDE,freq_tays,freq_tays_per
S2600,NA,S2600,181056,3.950319%
H0434,NA,H0434,55791,1.217260%
H0519,NA,H0519,52053,1.135704%
RS221,NA,RS221,22833,0.498175%
H0275,NA,H0275,21465,0.468328%
H0142,NA,H0142,20850,0.454910%
H0113,NA,H0113,20668,0.450939%
H0188,NA,H0188,19077,0.416226%
H0130,NA,H0130,16341,0.356531%
H0476,NA,H0476,16253,0.354611%
H0049,NA,H0049,15839,0.345579%
H0157,NA,H0157,14511,0.316604%
H0030,NA,H0030,11747,0.256299%
H0316,NA,H0316,10308,0.224902%
F763,NA,F763,10274,0.224160%
H0054,NA,H0054,10246,0.223549%
H0414,NA,H0414,10192,0.222371%
H0112,NA,H0112,9657,0.210699%
H0473,NA,H0473,9615,0.209782%
H0702,NA,H0702,8427,0.183862%
H0003,NA,H0003,8298,0.181048%
H0266,NA,H0266,8170,0.178255%
6007,NA,6007,8091,0.176531%
H0468,NA,H0468,7749,0.169069%
1246,NA,1246,6274,0.136887%
RS220,NA,RS220,6193,0.135120%
H0900,NA,H0900,5849,0.127615%
RS222,NA,RS222,5647,0.123207%
XX9DW,NA,XX9DW,5626,0.122749%
F000,NA,F000,5196,0.113367%
RS121,NA,RS121,5126,0.111840%
F309,NA,F309,5077,0.110771%
H0139,NA,H0139,4949,0.107978%
H0569,NA,H0569,4849,0.105797%
H0110,NA,H0110,4720,0.102982%
F310,NA,F310,4486,0.097877%
H0943,NA,H0943,4291,0.093622%
H0577,NA,H0577,4223,0.092138%
F220,NA,F220,4012,0.087535%
RS120,NA,RS120,3997,0.087207%
H0451,NA,H0451,3934,0.085833%
H0901,NA,H0901,3849,0.083978%
H0631,NA,H0631,3803,0.082975%
H0941,NA,H0941,3645,0.079527%
H0320,NA,H0320,3609,0.078742%
RS230,NA,RS230,3602,0.078589%
K123,NA,K123,3521,0.076822%
K250,NA,K250,3496,0.076276%
XX9EW,NA,XX9EW,3357,0.073244%
F100,NA,F100,3303,0.072066%
H0077,NA,H0077,3220,0.070255%
K2,NA,K2,3217,0.070189%
K220,NA,K220,3181,0.069404%
H0146,NA,H0146,3108,0.067811%
1302,NA,1302,3074,0.067069%
H0144,NA,H0144,3034,0.066196%
H0951,NA,H0951,2946,0.064276%
