concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1,NOMESCO Finnish modification,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA
2,NOMESCOfi Level 0,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA
3,NOMESCOfi Level 1,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA
4,NOMESCOfi Level 2,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA
5,NOMESCOfi Level 3,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA
6,NOMESCOfi Level 4,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA
7,Nervous system,Procedure,NOMESCOfi,NOMESCOfi Level 0,NA,A,1900-01-01,2030-12-31,NA
8,Skull and intracranial structures,Procedure,NOMESCOfi,NOMESCOfi Level 1,NA,AA,1900-01-01,2030-12-31,NA
9,Diagnostic radiology of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 2,NA,AA_,1900-01-01,2030-12-31,NA
10,Head X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AA,1999-01-01,2030-12-31,NA
11,CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AD,1999-01-01,2030-12-31,NA
12,Short MRI examination of brain with low intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AF,1999-01-01,2016-12-31,NA
13,Short MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AG,1999-01-01,2030-12-31,NA
14,Short MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AM,2009-01-01,2016-12-31,NA
15,Extenxive X-ray examination of head,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BA,1999-01-01,2030-12-31,NA
16,Extensive CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BD,1999-01-01,2030-12-31,NA
17,Standard MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BF,1999-01-01,2016-12-31,NA
18,Standard MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BG,1999-01-01,2030-12-31,NA
19,MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BM,2009-01-01,2016-12-31,NA
20,Very extensive CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CD,1999-01-01,2030-12-31,NA
21,Extensive MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CF,1999-01-01,2016-12-31,NA
22,Extensive MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CG,1999-01-01,2030-12-31,NA
23,Extensive MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CM,2009-01-01,2016-12-31,NA
24,Head and neck CT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DD,2009-01-01,2030-12-31,NA
25,Very extensive MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DF,1999-01-01,2016-12-31,NA
