concept_id,concept_synonym_name,language_concept_id
7,Hermosto,4181730
8,Kallo ja kallon sisäiset elimet,4181730
9,Pään diagnostinen radiologia,4181730
10,Kallon röntgen,4181730
11,Pään tietokonetomografiatutkimus,4181730
12,Pään suppea magneettitutkimus keskikenttälaitteella,4181730
13,Pään suppea magneettitutkimus,4181730
14,Pään suppea 3 Teslan MT,4181730
15,Kallon laaja röntgen,4181730
16,Pään laaja tietokonetomografiatutkimus,4181730
17,Pään magneettitutkimus keskikenttälaitteella,4181730
18,Pään magneettitutkimus,4181730
19,Pään 3 Teslan MT,4181730
20,Pään erittäin laaja tietokonetomografiatutkimus,4181730
21,Pään laaja magneettitutkimus keskikenttälaitteella,4181730
22,Pään laaja magneettitutkimus,4181730
23,Pään laaja 3 Teslan MT,4181730
24,Pään ja kaularangan tietokonetomografiatutkimus,4181730
25,Pään erittäin laaja magneettitutkimus keskikenttälaitteella,4181730
26,Pään erittäin laaja magneettitutkimus,4181730
27,Pään erittäin laaja 3 Teslan MT,4181730
28,Pään ja kaulan trauma-tietokonetomografiatutkimus,4181730
29,Pään ja kasvojen trauma-tietokonetomografiatutkimus,4181730
30,Pään alueen läpivalaisututkimus,4181730
31,Pään muu TT,4181730
32,Kallonpohjan natiiviröntgen *,4181730
33,Kasvonluiden röntgen,4181730
34,Kasvojen tietokonetomografiatutkimus,4181730
35,Kasvon luiden kartiokeilatutkimus,4181730
36,Kasvojen laaja tietokonetomografiatutkimus,4181730
37,Kasvojen erittäin laaja tietokonetomografiatutkimus,4181730
38,Sellan natiiviröntgen *,4181730
39,Sellan tietokonetomografiatutkimus,4181730
40,Sellan kartiokeilatutkimus,4181730
41,Sellan laaja tietokonetomografiatutkimus,4181730
42,Sellan magneettitutkimus keskikenttälaitteella,4181730
43,Sellan magneettitutkimus,4181730
44,Sellan 3 Teslan MT,4181730
45,Sellan erittäin laaja tietokonetomografiatutkimus,4181730
46,Sellan laaja magneettitutkimus keskikenttälaitteella,4181730
47,Sellan laaja magneettitutkimus,4181730
48,Sellan laaja 3 Teslan MT,4181730
49,Sellan erittäin laaja magneettitutkimus keskikenttälaitteella,4181730
