code,name_fi,name_en,name_se,name_en_source,valid_start_date,valid_end_date,freq_finngen,freq_tays,freq_total
TK800,Hemodialyysi,Hemodialysis,Hemodialys,THL,1997-01-01,2030-12-31,217138,120193,337331
GD1AA,Thoraxin röntgen,Thorax X-ray examination,Toraxröntgen,THL,1999-01-01,2030-12-31,128466,190792,319258
Z3231,Sairaanhoitaja,Registered nurse,Sjukskötare,THL,2005-01-01,2030-12-31,311458,91,311549
ZXE00,Toimenpiteen kesto enintään 1 tunti,One hour or less,Tidsåtgång maximalt 1 timme,THL,1900-01-01,2017-12-31,98819,83305,182124
ZX012,Sädehoito muotoilluilla laajakentillä - isosentrinen hoito,Radiotherapy with large shaped fields - isocentric therapy,Strålbehandling med formulerade utsträckta fält - isocentrisk behandling,THL,1997-01-01,2030-12-31,102925,76420,179345
ZX070,Intensiteettimuokattu sädehoito (IMRT),Intensity modified radiotherapy,Intensitetsmodifierad strålbehandling (IMRT),THL,2010-01-01,2030-12-31,12955,161676,174631
WF003,Sädehoito primaarikasvaimen liitännäishoitona,Adjuvant radiotherapy,Adjuvant strålbehandling av primärtumör,THL,2011-01-01,2030-12-31,47132,114193,161325
WX408,Yleisanestesian ylläpito sekä laskimoon annettavalla että inhaloitavalla anesteetilla,"General anesthesy, balanced","Generell anestesi, balanserad",THL,1997-01-01,2019-02-28,31777,113618,145395
ZXD10,Suunniteltu toimenpide,Scheduled procedure,Elektiv operation,THL,1900-01-01,2030-12-31,136428,72,136500
WF002,Radikaali primaarikasvaimen sädehoito,Radical radiotherapy,Radikal strålbehandling av primärtumör,THL,2011-01-01,2030-12-31,44495,89472,133967
WX110,Infiltraatiopuudutus,Local anesthesy,Infiltrationsanestesi,THL,1997-01-01,2030-12-31,29488,93561,123049
ZXE10,Toimenpiteen kesto vähintään 1 mutta alle 3 tuntia,More than one and less than three hours,"Vårdkontakt, tidsåtgång 1-3 timmar",THL,1900-01-01,2017-12-31,68534,48069,116603
ZY010,Poliklinikalla tapahtuva hoitokontakti,Hospital outpatient,Vårdkontakt i öppenvården,THL,2005-01-01,2030-12-31,95324,432,95756
ZX080,Kuvantaohjattu sädehoito (IGRT),Image guided radiotherapy,Bildassisterad strålbehandling (IGRT),THL,2010-01-01,2030-12-31,9385,85805,95190
ZXD05,Kiireellinen toimenpide,Urgent procedure,Akut operation,THL,1900-01-01,2030-12-31,55070,31788,86858
LC2BE,"Kohdun, sivuelinten ja alavatsan ultraäänitutkimus emättimen kautta","Transvaginal ultrasound examination of uterus, parametria and lower abdomen","Livmoder, parametrier och nedre delen av buken, UL, transvaginal",THL,1999-01-01,2030-12-31,64994,17324,82318
R4110,Fysioterapia,Physiotherapy,Fysioterapi,THL,1997-01-01,2030-12-31,71796,7919,79715
WX404,Yleisanestesian ylläpito laskimoon annettavalla anesteetilla,Intravenous generell anesthesy,Generell anestesi baserad på i.v. anestesi,THL,1997-01-01,2019-02-28,33243,43198,76441
FM1EE,Sydämen kattava rakenteellinen ja toiminnallinen ultraäänitutkimus,Extensive structural and functional ultrasound examination of heart,"Hjärta, omfattande strukturellt och funktionellt UL",THL,1999-01-01,2030-12-31,33828,42326,76154
WZC00,Hoidon suunnittelu tai konsultaatio,Planning of intervention or health care consultation,Vårdplanering eller konsultation,THL,2000-01-01,2030-12-31,31870,44241,76111
JN4BD,Vartalon laaja tietokonetomografiatutkimus,Extensive body CT,"Kropp, omfattande DT",THL,1999-01-01,2030-12-31,28015,42677,70692
UJD10,"Ruokatorven, mahalaukun ja duodenumin tähystys","Esophagoscopy, gastroscopy and duodenoscopy","Esofago-, gastro- och duodenoskopi",THL,1997-01-01,2030-12-31,49758,19029,68787
AA1AD,Pään tietokonetomografiatutkimus,CT of head and brain,"Skalle och hjärna, DT",THL,1999-01-01,2030-12-31,32345,28973,61318
WX320,Spinaalipuudutus,Spinalanesthesy,Spinalanestesi,THL,1997-01-01,2030-12-31,19788,40069,59857
UJF32,"Koko paksusuolen tähystys, kolonoskopia",Coloscopy,"Kolonoskopi, hela kolon",THL,1900-01-01,2030-12-31,40267,17804,58071
GD1UA,Thoraxin röntgen radiologian yksikön ulkopuolella,Thorax X-ray examination outside radiological department,Toraxröntgen utanför radiologisk enhet,THL,1999-01-01,2030-12-31,14555,43336,57891
JN3AE,Vatsan ultraäänitutkimus,Abdominal ultrasound examination,"Buk, UL",THL,1999-01-01,2030-12-31,18254,37964,56218
ZX120,Laskimoon,Intravenous,Intravenös,THL,1900-01-01,2030-12-31,50858,2536,53394
ZXA00,Oikea puoli,Right side,Höger sida,THL,1900-01-01,2030-12-31,50922,1041,51963
ZXA05,Vasen puoli,Left side,Vänster sida,THL,1900-01-01,2030-12-31,46950,1099,48049
CJE20,"Kaihimykiön ultraäänipoisto, takakammiotekomykiö",Phakoemulsification with implantation of artificial lens in posterior chamber,Fakoemulsifikation med implantation av linsprotes i bakre kammaren,THL,1900-01-01,2030-12-31,37852,10083,47935
WD125,Laajalle levinneen kasvaimen vaativa solusalpaajahoito,Demanding cystostatic therapy of methastized malignancy,Krävande behandling av spridd tumör med cellhämmare,THL,1997-01-01,2030-12-31,16228,28399,44627
XFP20,Sydämen tahdistinlaitteen kontrolli,Check up of cardiac pacemaker,Kontrol av pacemaker i hjärtat,THL,1997-01-01,2030-12-31,29351,15001,44352
UKC02,Virtsarakon tähystys,Cystoscopy,Cystoskopi (inkl uretroskopi),THL,1900-01-01,2030-12-31,28945,14951,43896
GD1QA,Thoraxin röntgen makuuasennossa,Supine thorax X-ray examination,Toraxröntgen i liggande,THL,1999-01-01,2030-12-31,17479,26359,43838
FM1AE,Sydämen yleinen ultraäänitutkimus,Standard cardiac ultrasound examination,"Hjärta, UL",THL,1999-01-01,2030-12-31,43571,199,43770
ZX095,Yhdistetty sädehoito ja kemoterapia,Combined chemoradiotherapy,Kombinerad strålbehandling och kemoterapi,THL,2010-01-01,2030-12-31,7227,35048,42275
ZXA10,Molemminpuolinen,Bilateral,Bilateral,THL,1900-01-01,2030-12-31,30795,9262,40057
CKD05,Lääkkeen ruiskutus lasiaiseen,Puncture of vitreous body with injection of medication,Injektion av läkemedel i glaskroppen,THL,1900-01-01,2030-12-31,23975,15928,39903
XKD00,"Virtsasuihkun virtausmittaus, flowmetria",Uroflowmetry,Urinflödesmätning,THL,1900-01-01,2030-12-31,23666,15547,39213
LX1AE,Gynekologinen ultraäänitutkimus kliinisen tutkimuksen yhteydessä,Gynecological ultrasound examination as part of clinical examination,Gynekologiskt UL i samband med klinisk undersökning,THL,2000-01-01,2030-12-31,11869,26396,38265
XX3DW,Laaja lisäanalyysi radiologisesta tutkimusaineistosta,Time consuming IT work,Tidskrävande tilläggsanalys av existerande radiologisk material,THL,1999-01-01,2030-12-31,6143,31538,37681
HA1AE,Rintarauhasten ultraäänitutkimus,Ultrasound examination of mammary glands,"Bröstkörtlar, UL",THL,1999-01-01,2030-12-31,9089,27263,36352
