CodeId,LongName,ParentId,HierarchyLevel,BeginningDate,ExpiringDate,LastModifiedDate,A:Long_name,freq_finngen,freq_tays,freq_total
A,Hermosto,NA,0,01.01.1900,31.12.2030,19.10.2012,Nervous system,0,0,0
AA,Kallo ja kallon sisäiset elimet,A,1,01.01.1900,31.12.2030,19.10.2012,Skull and intracranial structures,0,0,0
AA_,Pään diagnostinen radiologia,AA,2,01.01.1900,31.12.2030,27.11.2016,Diagnostic radiology of head and brain,0,0,0
AA1AA,Kallon röntgen,AA_,3,01.01.1999,31.12.2030,08.02.2017,Head X-ray examination,434,1310,1744
AA1AD,Pään tietokonetomografiatutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,CT of head and brain,32345,28973,61318
AA1AF,Pään suppea magneettitutkimus keskikenttälaitteella,AA_,3,01.01.1999,31.12.2016,08.02.2017,Short MRI examination of brain with low intensity magnet,0,0,0
AA1AG,Pään suppea magneettitutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Short MRI examination of brain with median intensity magnet,979,153,1132
AA1AM,Pään suppea 3 Teslan MT,AA_,3,01.01.2009,31.12.2016,08.02.2017,Short MRI examination of brain with 3 Tesla magnet,130,73,203
AA1BA,Kallon laaja röntgen,AA_,3,01.01.1999,31.12.2030,08.02.2017,Extenxive X-ray examination of head,7,35,42
AA1BD,Pään laaja tietokonetomografiatutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Extensive CT of head and brain,2201,5014,7215
AA1BF,Pään magneettitutkimus keskikenttälaitteella,AA_,3,01.01.1999,31.12.2016,08.02.2017,Standard MRI examination of brain with median intensity magnet,10,4,14
AA1BG,Pään magneettitutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Standard MRI examination of brain with high intensity magnet,6552,3233,9785
AA1BM,Pään 3 Teslan MT,AA_,3,01.01.2009,31.12.2016,08.02.2017,MRI examination of brain with 3 Tesla magnet,856,261,1117
AA1CD,Pään erittäin laaja tietokonetomografiatutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Very extensive CT of head and brain,1410,4835,6245
AA1CF,Pään laaja magneettitutkimus keskikenttälaitteella,AA_,3,01.01.1999,31.12.2016,08.02.2017,Extensive MRI examination of brain with median intensity magnet,68,0,0
AA1CG,Pään laaja magneettitutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Extensive MRI examination of brain with high intensity magnet,8621,9399,18020
AA1CM,Pään laaja 3 Teslan MT,AA_,3,01.01.2009,31.12.2016,08.02.2017,Extensive MRI examination of brain with 3 Tesla magnet,1977,4122,6099
