code,freq,freq_per
XLA10,7408,0.127%
RD211,3200,0.055%
XF640,2477,0.043%
1LA05,1632,0.028%
1XC03,1619,0.028%
WQ066,1300,0.022%
4AA12,1102,0.019%
6BA02,993,0.017%
1XC02,830,0.014%
1XC07,774,0.013%
3AC01,700,0.012%
1CX01,667,0.011%
4AB02,588,0.010%
1CD01,580,0.010%
3AX01,571,0.010%
XMA00,562,0.010%
1BC07,555,0.010%
1CD02,539,0.009%
WQ053,521,0.009%
XLA00,490,0.008%
XCK20,469,0.008%
1XX32,417,0.007%
XX9XW,414,0.007%
TFN04,372,0.006%
PHD79,371,0.006%
4AA33,362,0.006%
FM2CE,339,0.006%
XFP02,328,0.006%
WQ064,310,0.005%
RJ421,294,0.005%
RJ410,292,0.005%
4AA23,288,0.005%
WQ021,288,0.005%
4CJ01,282,0.005%
1XC13,281,0.005%
RJ411,260,0.004%
1AA09,257,0.004%
RS224,211,0.004%
3DX05,206,0.004%
WQ054,202,0.003%
5BA08,201,0.003%
0192,186,0.003%
WQ068,185,0.003%
4AC07,184,0.003%
90621,175,0.003%
WQ045,155,0.003%
WQ026,152,0.003%
WQ007,150,0.003%
1BA04,145,0.002%
0189,133,0.002%
1008,131,0.002%
RJ190,127,0.002%
WQ031,124,0.002%
WQ020,119,0.002%
RF220,116,0.002%
2AB04,112,0.002%
XQ817,109,0.002%
0103,107,0.002%
RD160,106,0.002%
RD210,100,0.002%
JDA02,96,0.002%
0,94,0.002%
1XC06,94,0.002%
4AA24,94,0.002%
0701,93,0.002%
RP210,92,0.002%
1200,87,0.001%
1CX08,86,0.001%
5BA03,83,0.001%
1XC14,82,0.001%
5AB14,81,0.001%
TNX03,77,0.001%
RJ425,72,0.001%
ZX197,71,0.001%
WQ055,71,0.001%
0601,70,0.001%
1XC08,70,0.001%
PX1AE,68,0.001%
RJ414,68,0.001%
XP60W,65,0.001%
0193,63,0.001%
TAD00,63,0.001%
XX3ZW,61,0.001%
1XC17,60,0.001%
90494,60,0.001%
0702,59,0.001%
1LA04,59,0.001%
RS340,58,0.001%
XX7FW,58,0.001%
1XC18,57,0.001%
4AB0M,57,0.001%
0116,56,0.001%
WQ056,56,0.001%
JJ5AT,55,0.001%
WQ032,54,0.001%
0602,53,0.001%
1CD04,53,0.001%
