code,freq_finngen,freq_tays,freq_total
TK800,217138,120193,337331
GD1AA,128466,190792,319258
Z3231,311458,91,311549
ZXE00,98819,83305,182124
ZX012,102925,76420,179345
ZX070,12955,161676,174631
WF003,47132,114193,161325
WX408,31777,113618,145395
ZXD10,136428,72,136500
WF002,44495,89472,133967
WX110,29488,93561,123049
ZXE10,68534,48069,116603
ZY010,95324,432,95756
ZX080,9385,85805,95190
ZXD05,55070,31788,86858
LC2BE,64994,17324,82318
R4110,71796,7919,79715
WX404,33243,43198,76441
FM1EE,33828,42326,76154
WZC00,31870,44241,76111
JN4BD,28015,42677,70692
UJD10,49758,19029,68787
AA1AD,32345,28973,61318
WX320,19788,40069,59857
UJF32,40267,17804,58071
GD1UA,14555,43336,57891
JN3AE,18254,37964,56218
ZX120,50858,2536,53394
ZXA00,50922,1041,51963
ZXA05,46950,1099,48049
CJE20,37852,10083,47935
WD125,16228,28399,44627
XFP20,29351,15001,44352
UKC02,28945,14951,43896
GD1QA,17479,26359,43838
FM1AE,43571,199,43770
ZX095,7227,35048,42275
ZXA10,30795,9262,40057
CKD05,23975,15928,39903
XKD00,23666,15547,39213
LX1AE,11869,26396,38265
XX3DW,6143,31538,37681
HA1AE,9089,27263,36352
JN3BD,14270,21348,35618
HA1AA,10730,24378,35108
WD105,13571,20567,34138
WF049,7023,26834,33857
FN1AC,29706,3807,33513
TPH04,26217,7201,33418
NG1AA,17487,14725,32212
NF1AA,13397,18554,31951
ZXE11,31399,11,31410
MA2AE,29507,1148,30655
HA003,28136,1493,29629
XF400,28107,1488,29595
XCW99,28388,668,29056
XCK10,28038,270,28308
WX400,3009,24834,27843
WZC30,10714,16937,27651
TQX10,11183,15596,26779
EP1AE,7048,19418,26466
JN1AE,9551,16732,26283
Z2445,26277,5,26282
ZXE20,15122,10518,25640
NA3AA,12202,13354,25556
MA2HE,25164,387,25551
TPH07,4399,21005,25404
TNX10,17181,6752,23933
WX602,3340,20413,23753
PH2AE,11776,11694,23470
RS221,38,22833,22871
LC2AE,18189,4464,22653
XPX99,9776,12247,22023
WF004,6949,14996,21945
NE1AA,7015,14439,21454
XLD00,17501,3706,21207
SAA03,10289,10724,21013
WX002,9995,10443,20438
FM1DE,15729,4635,20364
