code,freq,freq_per
S2600,181056,3.950%
H0434,55791,1.217%
H0519,52053,1.136%
RS221,22833,0.498%
H0275,21465,0.468%
H0142,20850,0.455%
H0113,20668,0.451%
H0188,19077,0.416%
H0130,16341,0.357%
H0476,16253,0.355%
H0049,15839,0.346%
H0157,14511,0.317%
H0030,11747,0.256%
H0316,10308,0.225%
F763,10274,0.224%
H0054,10246,0.224%
H0414,10192,0.222%
H0112,9657,0.211%
H0473,9615,0.210%
H0702,8427,0.184%
H0003,8298,0.181%
H0266,8170,0.178%
6007,8091,0.177%
H0468,7749,0.169%
1246,6274,0.137%
RS220,6193,0.135%
H0900,5849,0.128%
RS222,5647,0.123%
XX9DW,5626,0.123%
F000,5196,0.113%
RS121,5126,0.112%
F309,5077,0.111%
H0139,4949,0.108%
H0569,4849,0.106%
H0110,4720,0.103%
F310,4486,0.098%
H0943,4291,0.094%
H0577,4223,0.092%
F220,4012,0.088%
RS120,3997,0.087%
H0451,3934,0.086%
H0901,3849,0.084%
H0631,3803,0.083%
H0941,3645,0.080%
H0320,3609,0.079%
RS230,3602,0.079%
K123,3521,0.077%
K250,3496,0.076%
XX9EW,3357,0.073%
F100,3303,0.072%
H0077,3220,0.070%
K2,3217,0.070%
K220,3181,0.069%
H0146,3108,0.068%
1302,3074,0.067%
H0144,3034,0.066%
H0951,2946,0.064%
H0069,2905,0.063%
H0499,2887,0.063%
H0059,2803,0.061%
RP125,2775,0.061%
H0114,2763,0.060%
H0904,2604,0.057%
S2900,2588,0.056%
H0102,2550,0.056%
K412,2529,0.055%
H0009,2407,0.053%
H1201,2398,0.052%
H0567,2383,0.052%
F933,2374,0.052%
K320,2343,0.051%
H0293,2190,0.048%
H0284,2187,0.048%
RS311,2178,0.048%
H0060,2137,0.047%
H0121,2130,0.046%
H0141,2126,0.046%
K230,2064,0.045%
H0002,2063,0.045%
H0129,2014,0.044%
H0454,1985,0.043%
H0565,1976,0.043%
1279,1963,0.043%
H0479,1916,0.042%
F340,1893,0.041%
H0220,1877,0.041%
H0356,1832,0.040%
2682,1780,0.039%
H0014,1693,0.037%
H0150,1680,0.037%
K110,1645,0.036%
H0303,1637,0.036%
H0117,1621,0.035%
H0491,1619,0.035%
H0572,1594,0.035%
F300,1592,0.035%
H0561,1582,0.035%
2068,1538,0.034%
H0265,1520,0.033%
H0004,1517,0.033%
H0945,1514,0.033%
F904,1449,0.032%
H0120,1448,0.032%
H0115,1445,0.032%
6280,1442,0.031%
H0445,1430,0.031%
F921,1405,0.031%
RS130,1399,0.031%
