concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,tmp_name_en_source
1,NOMESCO Finnish modification,Metadata,Vocabulary,Vocabulary,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
2,NOMESCOfi Level 0,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
3,NOMESCOfi Level 1,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
4,NOMESCOfi Level 2,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
5,NOMESCOfi Level 3,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
6,NOMESCOfi Level 4,Metadata,Concept Class,Concept Class,NA,OMOP generated,1970-01-01,2099-12-31,NA,NA,NA
7,Nervous system,Procedure,NOMESCOfi,NOMESCOfi Level 0,NA,A,1900-01-01,2030-12-31,NA,Hermosto,THL
8,Skull and intracranial structures,Procedure,NOMESCOfi,NOMESCOfi Level 1,NA,AA,1900-01-01,2030-12-31,NA,Kallo ja kallon sisäiset elimet,THL
9,Diagnostic radiology of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 2,NA,AA_,1900-01-01,2030-12-31,NA,Pään diagnostinen radiologia,THL
10,Head X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AA,1999-01-01,2030-12-31,NA,Kallon röntgen,THL
11,CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AD,1999-01-01,2030-12-31,NA,Pään tietokonetomografiatutkimus,THL
12,Short MRI examination of brain with low intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AF,1999-01-01,2016-12-31,NA,Pään suppea magneettitutkimus keskikenttälaitteella,THL
13,Short MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AG,1999-01-01,2030-12-31,NA,Pään suppea magneettitutkimus,THL
14,Short MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1AM,2009-01-01,2016-12-31,NA,Pään suppea 3 Teslan MT,THL
15,Extenxive X-ray examination of head,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BA,1999-01-01,2030-12-31,NA,Kallon laaja röntgen,THL
16,Extensive CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BD,1999-01-01,2030-12-31,NA,Pään laaja tietokonetomografiatutkimus,THL
17,Standard MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BF,1999-01-01,2016-12-31,NA,Pään magneettitutkimus keskikenttälaitteella,THL
18,Standard MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BG,1999-01-01,2030-12-31,NA,Pään magneettitutkimus,THL
19,MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1BM,2009-01-01,2016-12-31,NA,Pään 3 Teslan MT,THL
20,Very extensive CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CD,1999-01-01,2030-12-31,NA,Pään erittäin laaja tietokonetomografiatutkimus,THL
21,Extensive MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CF,1999-01-01,2016-12-31,NA,Pään laaja magneettitutkimus keskikenttälaitteella,THL
22,Extensive MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CG,1999-01-01,2030-12-31,NA,Pään laaja magneettitutkimus,THL
23,Extensive MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1CM,2009-01-01,2016-12-31,NA,Pään laaja 3 Teslan MT,THL
24,Head and neck CT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DD,2009-01-01,2030-12-31,NA,Pään ja kaularangan tietokonetomografiatutkimus,THL
25,Very extensive MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DF,1999-01-01,2016-12-31,NA,Pään erittäin laaja magneettitutkimus keskikenttälaitteella,THL
26,Very extensive MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DG,1999-01-01,2030-12-31,NA,Pään erittäin laaja magneettitutkimus,THL
27,Very extensive MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1DM,2009-01-01,2016-12-31,NA,Pään erittäin laaja 3 Teslan MT,THL
28,Trauma CT of head and neck,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1ED,2010-01-01,2030-12-31,NA,Pään ja kaulan trauma-tietokonetomografiatutkimus,Translator
29,Trauma CT of head and face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1FD,2018-12-01,2030-12-31,NA,Pään ja kasvojen trauma-tietokonetomografiatutkimus,Translator
30,Fluoroscopy of head,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1LA,2006-01-01,2010-12-31,NA,Pään alueen läpivalaisututkimus,Translator
31,Other special CT of head and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA1XD,1999-01-01,2003-11-04,NA,Pään muu TT,THL
32,Cranial basis X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA2AA,1999-01-01,2010-12-31,NA,Kallonpohjan natiiviröntgen *,THL
33,Facial bones X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3AA,1999-01-01,2030-12-31,NA,Kasvonluiden röntgen,THL
34,CT of face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3AD,2011-01-01,2030-12-31,NA,Kasvojen tietokonetomografiatutkimus,Translator
35,Cone beam CT of facial bones,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3AI,2014-01-01,2030-12-31,NA,Kasvon luiden kartiokeilatutkimus,Translator
36,Extensive CT of face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3BD,2011-01-01,2030-12-31,NA,Kasvojen laaja tietokonetomografiatutkimus,Translator
37,Very extensive CT of face,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA3CD,2011-01-01,2030-12-31,NA,Kasvojen erittäin laaja tietokonetomografiatutkimus,Translator
38,Sella turcica X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4AA,1999-01-01,2013-12-31,NA,Sellan natiiviröntgen *,THL
39,CT of sella turcica,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4AD,1999-01-01,2030-12-31,NA,Sellan tietokonetomografiatutkimus,THL
40,Cone beam CT of sella turcica,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4AI,2017-01-01,2030-12-31,NA,Sellan kartiokeilatutkimus,Translator
