code,name_fi,name_en,name_se,name_en_source,valid_start_date,valid_end_date
A,Hermosto,Nervous system,Nervsystemet,THL,1900-01-01,2030-12-31
AA,Kallo ja kallon sisäiset elimet,Skull and intracranial structures,Kranium och intrakraniala strukturer,THL,1900-01-01,2030-12-31
AA_,Pään diagnostinen radiologia,Diagnostic radiology of head and brain,Diagnostisk radiologi av huvudet,THL,1900-01-01,2030-12-31
AA1AA,Kallon röntgen,Head X-ray examination,"Skalle, röntgen",THL,1999-01-01,2030-12-31
AA1AD,Pään tietokonetomografiatutkimus,CT of head and brain,"Skalle och hjärna, DT",THL,1999-01-01,2030-12-31
AA1AF,Pään suppea magneettitutkimus keskikenttälaitteella,Short MRI examination of brain with low intensity magnet,"Skalle och hjärna, begränsad MR (under 1,5T)",THL,1999-01-01,2016-12-31
AA1AG,Pään suppea magneettitutkimus,Short MRI examination of brain with median intensity magnet,"Skalle och hjärna, begränsad MR",THL,1999-01-01,2030-12-31
AA1AM,Pään suppea 3 Teslan MT,Short MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, begränsad MR (över 1,5T)",THL,2009-01-01,2016-12-31
AA1BA,Kallon laaja röntgen,Extenxive X-ray examination of head,"Skalle, omfattande röntgen",THL,1999-01-01,2030-12-31
AA1BD,Pään laaja tietokonetomografiatutkimus,Extensive CT of head and brain,"Skalle och hjärna, omfattande DT",THL,1999-01-01,2030-12-31
AA1BF,Pään magneettitutkimus keskikenttälaitteella,Standard MRI examination of brain with median intensity magnet,"Skalle och hjärna, MR (under 1,5T)",THL,1999-01-01,2016-12-31
AA1BG,Pään magneettitutkimus,Standard MRI examination of brain with high intensity magnet,"Skalle och hjärna, MR",THL,1999-01-01,2030-12-31
AA1BM,Pään 3 Teslan MT,MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, MR (över 1,5T)",THL,2009-01-01,2016-12-31
AA1CD,Pään erittäin laaja tietokonetomografiatutkimus,Very extensive CT of head and brain,"Skalle och hjärna, mycket omfattande DT",THL,1999-01-01,2030-12-31
AA1CF,Pään laaja magneettitutkimus keskikenttälaitteella,Extensive MRI examination of brain with median intensity magnet,"Skalle och hjärna, omfattande MR (under 1,5T)",THL,1999-01-01,2016-12-31
AA1CG,Pään laaja magneettitutkimus,Extensive MRI examination of brain with high intensity magnet,"Skalle och hjärna, omfattande MR",THL,1999-01-01,2030-12-31
AA1CM,Pään laaja 3 Teslan MT,Extensive MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, omfattande MR (över 1,5T)",THL,2009-01-01,2016-12-31
AA1DD,Pään ja kaularangan tietokonetomografiatutkimus,Head and neck CT,"Halsrygg och huvud, DT",THL,2009-01-01,2030-12-31
AA1DF,Pään erittäin laaja magneettitutkimus keskikenttälaitteella,Very extensive MRI examination of brain with median intensity magnet,"Skalle och hjärna, mycket omfattande MR (under 1,5T)",THL,1999-01-01,2016-12-31
AA1DG,Pään erittäin laaja magneettitutkimus,Very extensive MRI examination of brain with high intensity magnet,"Skalle och hjärna, mycket omfattande MR",THL,1999-01-01,2030-12-31
AA1DM,Pään erittäin laaja 3 Teslan MT,Very extensive MRI examination of brain with 3 Tesla magnet,"Skalle och hjärna, mycket omfattande MR (över 1,5T)",THL,2009-01-01,2016-12-31
AA1ED,Pään ja kaulan trauma-tietokonetomografiatutkimus,Trauma CT of head and neck,"Skalle och hals, DT för trauma",Translator,2010-01-01,2030-12-31
AA1FD,Pään ja kasvojen trauma-tietokonetomografiatutkimus,Trauma CT of head and face,"Huvud och ansikte, trauma-DT",Translator,2018-12-01,2030-12-31
AA1LA,Pään alueen läpivalaisututkimus,Fluoroscopy of head,Huvudområdets genomlysning,Translator,2006-01-01,2010-12-31
AA1XD,Pään muu TT,Other special CT of head and brain,"Hjärna, annan DT",THL,1999-01-01,2003-11-04
AA2AA,Kallonpohjan natiiviröntgen *,Cranial basis X-ray examination,"Skallbas, röntgen *",THL,1999-01-01,2010-12-31
AA3AA,Kasvonluiden röntgen,Facial bones X-ray examination,"Ansiktsskelett, röntgen",THL,1999-01-01,2030-12-31
AA3AD,Kasvojen tietokonetomografiatutkimus,CT of face,"Ansikte, DT",Translator,2011-01-01,2030-12-31
AA3AI,Kasvon luiden kartiokeilatutkimus,Cone beam CT of facial bones,"Ansiktets ben, cone-beam DT",Translator,2014-01-01,2030-12-31
AA3BD,Kasvojen laaja tietokonetomografiatutkimus,Extensive CT of face,"Ansikte, omfattande DT",Translator,2011-01-01,2030-12-31
AA3CD,Kasvojen erittäin laaja tietokonetomografiatutkimus,Very extensive CT of face,"Ansikte, mycket omfattande DT",Translator,2011-01-01,2030-12-31
AA4AA,Sellan natiiviröntgen *,Sella turcica X-ray examination,"Sella turcica, röntgen *",THL,1999-01-01,2013-12-31
AA4AD,Sellan tietokonetomografiatutkimus,CT of sella turcica,"Sella, DT",THL,1999-01-01,2030-12-31
AA4AI,Sellan kartiokeilatutkimus,Cone beam CT of sella turcica,"Sella, cone-beam DT",Translator,2017-01-01,2030-12-31
AA4BD,Sellan laaja tietokonetomografiatutkimus,Extensive CT of sella turcica,"Sella, omfattande DT",THL,1999-01-01,2030-12-31
AA4BF,Sellan magneettitutkimus keskikenttälaitteella,MRI examination of sella turcica with median intensity magnet,"Sella, MR (under 1,5T)",THL,1999-01-01,2016-12-31
AA4BG,Sellan magneettitutkimus,MRI examination of sella turcica with high intensity magnet,"Sella, MR",THL,1999-01-01,2030-12-31
AA4BM,Sellan 3 Teslan MT,MRI examination of sella turcica with 3 Tesla magnet,"Sella, MR (över 1,5T)",THL,2009-01-01,2016-12-31
AA4CD,Sellan erittäin laaja tietokonetomografiatutkimus,Very extensive CT of sella turcica,"Sella, mycket omfattande DT",THL,1999-01-01,2030-12-31
AA4CF,Sellan laaja magneettitutkimus keskikenttälaitteella,Extensive MRI examination of sella turcica with median intensity magnet,"Sella, omfattande MR (under 1,5T)",THL,2003-01-01,2016-12-31
AA4CG,Sellan laaja magneettitutkimus,Extensive MRI examination of sella turcica with high intensity magnet,"Sella, omfattande MR",THL,2003-01-01,2030-12-31
AA4CM,Sellan laaja 3 Teslan MT,Extensive MRI examination of sella turcica with 3 Tesla magnet,"Sella, omfattande MR (över 1,5T)",THL,2009-01-01,2016-12-31
AA4DF,Sellan erittäin laaja magneettitutkimus keskikenttälaitteella,Very extensive MRI examination of sella turcica with median intensity magnet,"Sella, mycket omfattande MR (under 1,5T)",THL,2003-01-01,2016-12-31
AA4DG,Sellan erittäin laaja magneettitutkimus,Very extensive MRI examination of sella turcica with high intensity magnet,"Sella, mycket omfattande MR",THL,2003-01-01,2030-12-31
AA4DM,Sellan erittäin laaja 3 Teslan MT,Very extensive MRI examination of sella turcica with 3 Tesla magnet,"Sella, mycket omfattande MR (över 1,5T)",THL,2009-01-01,2016-12-31
AA4XD,Sellan muu TT,Other special CT of sella turcica,DT av sella (övrig),THL,1999-01-01,2002-11-10
AA5AE,Intrakraniaalitilan ultraäänitutkimus,Brain ultrasound examination,Inrakraniellt UL,THL,1999-01-01,2030-12-31
AA5AK,Aivojen spektroskopia,Brain spectroscopy,Spektroskopi av hjärnan,THL,1999-01-01,2030-12-31
AA5AL,"Aivojen magneettikenttämittaus (magnetoenkefalografia, MEG)",Magnetoencephalography (MEG),Magnetencefalografi MEG,THL,1999-01-01,2016-12-31
AA5AN,Aivojen gammakuvaus,Brain isotope imaging,"Hjärna, isotopundersökning",THL,2009-01-01,2030-12-31
AA5AP,Aivojen PET,Brain PET,"Hjärna, PET undersökning",THL,2009-01-01,2018-11-30
AA5AR,Aivojen PET-tietokonetomografiatutkimus,PET-CT of brain,"Hjärna, PET-DT",Translator,2016-01-01,2030-12-31
AA5AS,Aivojen hapenkulutuksen suppea PET-magneettitutkimus,Restricted PET-MRI of brain oxygen consumption,"Hjärnans syreförbrukning, begränsad PET-MRI",Translator,2014-01-01,2030-12-31
