concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
10,4184771,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
11,4145739,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
11,4125350,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
13,4082979,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
16,46272801,Maps to,2015-07-31,2030-12-31,NA,USAGI,Procedure
16,36713176,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
16,4288538,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
16,4244986,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
18,4082979,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
18,37311324,Maps to,2020-03-09,2030-12-31,NA,USAGI,Procedure
19,37311324,Maps to,2020-03-09,2016-12-31,NA,USAGI,Procedure
20,46272801,Maps to,2015-07-31,2030-12-31,NA,USAGI,Procedure
20,36713176,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
20,4288538,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
20,4244986,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
22,4082979,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
22,4197203,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
23,4082979,Maps to,2009-01-01,2016-12-31,NA,USAGI,Procedure
23,4197203,Maps to,2009-01-31,2016-12-31,NA,USAGI,Procedure
23,36713262,Maps to,2017-01-31,2016-12-31,NA,USAGI,Procedure
23,36717294,Maps to,2017-01-31,2016-12-31,NA,USAGI,Procedure
26,36717294,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
26,4197203,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
26,36713262,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
26,4082979,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
27,4082979,Maps to,2009-01-01,2016-12-31,NA,USAGI,Procedure
27,4105925,Maps to,2009-01-01,2016-12-31,NA,USAGI,Procedure
27,36717294,Maps to,2017-01-31,2016-12-31,NA,USAGI,Procedure
27,36713262,Maps to,2017-01-31,2016-12-31,NA,USAGI,Procedure
27,4197203,Maps to,2009-01-31,2016-12-31,NA,USAGI,Procedure
35,37397604,Maps to,2016-07-31,2030-12-31,NA,USAGI,Procedure
47,36713234,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
47,4198767,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
60,4236310,Maps to,2016-01-01,2030-12-31,NA,USAGI,Condition
60,4319330,Maps to,2016-01-01,2030-12-31,NA,USAGI,Condition
84,4088016,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
96,4198764,Maps to,2009-01-31,2030-12-31,NA,USAGI,Procedure
121,37109061,Maps to,2017-07-31,2030-12-31,NA,USAGI,Procedure
124,37109061,Maps to,2017-07-31,2030-12-31,NA,USAGI,Procedure
124,36713289,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
126,4119903,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
128,4022024,Maps to,1999-01-01,2030-12-31,NA,USAGI,Procedure
133,45765481,Maps to,2015-01-31,2030-12-31,NA,USAGI,Procedure
136,37109061,Maps to,2017-07-31,2030-12-31,NA,USAGI,Procedure
136,45765485,Maps to,2015-01-31,2030-12-31,NA,USAGI,Procedure
136,36713289,Maps to,2017-01-31,2030-12-31,NA,USAGI,Procedure
136,37109061,Maps to,2017-07-31,2030-12-31,NA,USAGI,Procedure
142,4075430,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
151,4163842,Maps to,2007-01-01,2030-12-31,NA,USAGI,Procedure
154,4072537,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
155,40486442,Maps to,2011-01-31,2030-12-31,NA,USAGI,Procedure
160,4047008,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
163,4045870,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
170,4242877,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
171,4242877,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
192,4271587,Maps to,1970-01-01,2030-12-31,NA,USAGI,Procedure
